timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,203.1200,204.1500,202.5200,203.8600,203.8600,24153559,0.0000,1.0000
2019-04-17,199.5400,203.3800,198.6100,203.1300,203.1300,28906780,0.0000,1.0000
2019-04-16,199.4600,201.3700,198.5600,199.2500,199.2500,25696385,0.0000,1.0000
2019-04-15,198.5800,199.8500,198.0100,199.2300,199.2300,17536646,0.0000,1.0000
2019-04-12,199.2000,200.1400,196.2100,198.8700,198.8700,27760668,0.0000,1.0000
2019-04-11,200.8500,201.0000,198.4431,198.9500,198.9500,20900808,0.0000,1.0000
2019-04-10,198.6800,200.7400,198.1800,200.6200,200.6200,21695288,0.0000,1.0000
2019-04-09,200.3200,202.8500,199.2300,199.5000,199.5000,35768237,0.0000,1.0000
2019-04-08,196.4200,200.2300,196.3400,200.1000,200.1000,25881697,0.0000,1.0000
2019-04-05,196.4500,197.1000,195.9300,197.0000,197.0000,18526644,0.0000,1.0000
2019-04-04,194.7900,196.3700,193.1400,195.6900,195.6900,19114275,0.0000,1.0000
2019-04-03,193.2500,196.5000,193.1500,195.3500,195.3500,23271830,0.0000,1.0000
2019-04-02,191.0900,194.4600,191.0500,194.0200,194.0200,22765732,0.0000,1.0000
2019-04-01,191.6400,191.6800,188.3800,191.2400,191.2400,27861964,0.0000,1.0000
2019-03-29,189.8300,190.0800,188.5400,189.9500,189.9500,23563961,0.0000,1.0000
2019-03-28,188.9500,189.5590,187.5300,188.7200,188.7200,20780363,0.0000,1.0000
2019-03-27,188.7500,189.7600,186.5500,188.4700,188.4700,29848427,0.0000,1.0000
2019-03-26,191.6640,192.8800,184.5800,186.7900,186.7900,49800538,0.0000,1.0000
2019-03-25,191.5100,191.9800,186.6000,188.7400,188.7400,43845293,0.0000,1.0000
2019-03-22,195.3400,197.6900,190.7800,191.0500,191.0500,42407666,0.0000,1.0000
2019-03-21,190.0200,196.3300,189.8100,195.0900,195.0900,51034237,0.0000,1.0000
2019-03-20,186.2300,189.4900,184.7300,188.1600,188.1600,31035231,0.0000,1.0000
2019-03-19,188.3500,188.9900,185.9200,186.5300,186.5300,31646369,0.0000,1.0000
2019-03-18,185.8000,188.3900,185.7900,188.0200,188.0200,26219832,0.0000,1.0000
2019-03-15,184.8500,187.3300,183.7400,186.1200,186.1200,39042912,0.0000,1.0000
2019-03-14,183.9000,184.1000,182.5600,183.7300,183.7300,23579508,0.0000,1.0000
2019-03-13,182.2500,183.3000,180.9200,181.7100,181.7100,31032524,0.0000,1.0000
2019-03-12,180.0000,182.6700,179.3700,180.9100,180.9100,32467584,0.0000,1.0000
2019-03-11,175.4900,179.1200,175.3500,178.9000,178.9000,32011034,0.0000,1.0000
2019-03-08,170.3200,173.0700,169.5000,172.9100,172.9100,23999358,0.0000,1.0000
2019-03-07,173.8700,174.4400,172.0200,172.5000,172.5000,24796374,0.0000,1.0000
2019-03-06,174.6700,175.4900,173.9400,174.5200,174.5200,20810384,0.0000,1.0000
2019-03-05,175.9400,176.0000,174.5400,175.5300,175.5300,19737419,0.0000,1.0000
2019-03-04,175.6900,177.7500,173.9700,175.8500,175.8500,27436203,0.0000,1.0000
2019-03-01,174.2800,175.1500,172.8900,174.9700,174.9700,25886167,0.0000,1.0000
2019-02-28,174.3200,174.9100,172.9200,173.1500,173.1500,28215416,0.0000,1.0000
2019-02-27,173.2100,175.0000,172.7300,174.8700,174.8700,27835389,0.0000,1.0000
2019-02-26,173.7100,175.3000,173.1732,174.3300,174.3300,17070211,0.0000,1.0000
2019-02-25,174.1600,175.8700,173.9500,174.2300,174.2300,21873358,0.0000,1.0000
2019-02-22,171.5800,173.0000,171.3800,172.9700,172.9700,18913154,0.0000,1.0000
2019-02-21,171.8000,172.3700,170.3000,171.0600,171.0600,17249670,0.0000,1.0000
2019-02-20,171.1900,173.3200,170.9900,172.0300,172.0300,26114362,0.0000,1.0000
2019-02-19,169.7100,171.4400,169.4900,170.9300,170.9300,18972826,0.0000,1.0000
2019-02-15,171.2500,171.7000,169.7500,170.4200,170.4200,24626814,0.0000,1.0000
2019-02-14,169.7100,171.2615,169.3800,170.8000,170.8000,21835747,0.0000,1.0000
