timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,178.7200,179.0000,177.3900,178.6100,178.6100,1319577,0.0000,1.0000
2019-04-17,179.5800,180.0000,178.9000,178.9500,178.9500,1637446,0.0000,1.0000
2019-04-16,179.8000,179.9000,178.2600,179.0600,179.0600,1618240,0.0000,1.0000
2019-04-15,178.4100,179.6350,177.9450,179.3000,179.3000,1619779,0.0000,1.0000
2019-04-12,178.5000,179.3600,177.8000,178.6400,178.6400,2663423,0.0000,1.0000
2019-04-11,177.1800,178.4700,176.9000,178.3600,178.3600,1417211,0.0000,1.0000
2019-04-10,176.8000,177.7500,176.1000,177.0000,177.0000,1582598,1.4600,1.0000
2019-04-09,177.7500,178.4700,177.2800,177.7300,176.2760,1813989,0.0000,1.0000
2019-04-08,177.6700,179.0750,177.3700,178.9100,177.4463,1373468,0.0000,1.0000
2019-04-05,177.4400,178.4200,177.0400,178.1500,176.6925,1861494,0.0000,1.0000
2019-04-04,177.1900,177.4400,175.8600,177.1600,175.7106,2270157,0.0000,1.0000
2019-04-03,175.9000,177.3900,175.4800,177.1900,175.7404,2481837,0.0000,1.0000
2019-04-02,175.8300,176.5500,174.5550,175.3700,173.9353,1923551,0.0000,1.0000
2019-04-01,175.5000,176.5200,174.7850,176.3200,174.8775,2977921,0.0000,1.0000
2019-03-29,175.3000,176.9700,174.9500,176.0200,174.5800,2773014,0.0000,1.0000
2019-03-28,170.9200,177.4900,170.4800,175.1200,173.6873,5398714,0.0000,1.0000
2019-03-27,167.0000,167.8000,165.3700,166.4700,165.1081,2376173,0.0000,1.0000
2019-03-26,166.4800,167.6000,165.9400,166.9400,165.5742,1777791,0.0000,1.0000
2019-03-25,164.9800,165.4700,164.0000,165.0800,163.7295,1769893,0.0000,1.0000
2019-03-22,167.8000,168.4200,165.1100,165.2400,163.8882,1602613,0.0000,1.0000
2019-03-21,165.1800,168.9200,165.1800,168.2400,166.8636,1666372,0.0000,1.0000
2019-03-20,166.4000,167.2600,164.8100,166.2700,164.9097,2128784,0.0000,1.0000
2019-03-19,167.1100,167.6299,165.5300,166.2000,164.8403,1949569,0.0000,1.0000
2019-03-18,166.7500,167.4400,165.1400,166.4300,165.0684,1592110,0.0000,1.0000
2019-03-15,165.0000,167.0400,164.9000,166.3900,165.0287,3737186,0.0000,1.0000
2019-03-14,164.4600,164.9300,164.1100,164.8200,163.4716,2270066,0.0000,1.0000
2019-03-13,164.9700,165.2842,163.6600,164.1100,162.7674,2095157,0.0000,1.0000
2019-03-12,164.4900,165.8200,163.7200,163.9900,162.6484,2351166,0.0000,1.0000
2019-03-11,162.4800,164.0700,161.9901,163.9400,162.5988,1240427,0.0000,1.0000
2019-03-08,161.0000,161.8100,160.5000,161.6900,160.3672,1458083,0.0000,1.0000
2019-03-07,162.2100,162.4500,160.7800,161.8500,160.5259,1654983,0.0000,1.0000
