timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,140.1600,141.2900,136.7700,140.3100,140.3100,2107915,0.0000,1.0000
2019-04-17,145.6900,145.6900,137.5025,140.0300,140.0300,2854175,0.0000,1.0000
2019-04-16,144.6800,147.3000,144.0200,145.4100,145.4100,1742168,0.0000,1.0000
2019-04-15,144.8600,144.8600,142.6700,143.5800,143.5800,2364832,0.0000,1.0000
2019-04-12,145.7300,146.7700,144.3600,144.9500,144.9500,1632600,0.0000,1.0000
2019-04-11,146.1900,147.0000,144.1700,145.0400,145.0400,1693625,0.0000,1.0000
2019-04-10,147.5000,147.9300,145.1004,146.1000,146.1000,1545514,0.0000,1.0000
2019-04-09,149.8000,149.9900,147.1100,147.4400,147.4400,1224270,0.0000,1.0000
2019-04-08,150.1600,150.7600,149.3710,150.4900,150.4900,1180235,0.0000,1.0000
2019-04-05,150.0000,151.3600,149.4500,149.6400,149.6400,1641132,0.0000,1.0000
2019-04-04,146.5000,149.8500,146.3900,149.3500,149.3500,2302344,0.0000,1.0000
2019-04-03,146.7000,146.9850,145.2450,145.7100,145.7100,2236367,0.0000,1.0000
2019-04-02,148.0000,148.9500,146.2000,146.2600,146.2600,1262309,0.0000,1.0000
2019-04-01,147.5400,147.8000,144.9000,147.6500,147.6500,1892396,0.0000,1.0000
2019-03-29,147.0700,147.2980,145.3400,146.4100,146.4100,1980872,0.0000,1.0000
2019-03-28,147.6800,148.2065,146.0400,146.8600,146.8600,1496342,0.0000,1.0000
2019-03-27,149.3600,149.8600,147.0600,147.2200,147.2200,1694951,0.0000,1.0000
2019-03-26,147.1800,150.4100,146.8500,149.3900,149.3900,1934193,0.0000,1.0000
2019-03-25,148.8800,149.6100,145.8400,146.3400,146.3400,3233497,0.0000,1.0000
2019-03-22,152.2600,153.3600,149.1700,149.3000,149.3000,2289015,0.0000,1.0000
2019-03-21,153.3700,155.5100,152.3100,153.5300,153.5300,1790037,0.0000,1.0000
2019-03-20,153.9400,154.6600,152.7350,153.6700,153.6700,2375310,0.0000,1.0000
2019-03-19,150.8400,154.7700,150.8400,154.1000,154.1000,3025061,0.0000,1.0000
2019-03-18,151.9600,152.8600,150.5400,150.8400,150.8400,2204035,0.0000,1.0000
2019-03-15,149.3600,151.9600,148.7300,151.2500,151.2500,3043319,0.0000,1.0000
2019-03-14,150.6000,151.2900,149.0300,149.8000,149.8000,2198404,0.0000,1.0000
2019-03-13,148.3500,151.8400,147.5300,150.4700,150.4700,2420957,0.0000,1.0000
2019-03-12,146.6400,151.6087,146.6400,147.7600,147.7600,3362479,0.0000,1.0000
2019-03-11,145.4000,147.4500,143.7600,146.6400,146.6400,3607193,0.0000,1.0000
2019-03-08,141.9900,145.4500,140.4400,145.0600,145.0600,3994681,0.0000,1.0000
2019-03-07,135.8800,144.9100,135.8800,143.0000,143.0000,5747455,0.0000,1.0000
2019-03-06,140.5000,140.9800,137.2900,137.5100,137.5100,3088775,0.0000,1.0000
2019-03-05,139.3300,141.1800,137.3000,140.1600,140.1600,1773642,0.0000,1.0000
2019-03-04,141.5800,143.1721,138.1600,139.1200,139.1200,2698422,0.0000,1.0000
2019-03-01,138.4500,140.8200,138.0400,140.7200,140.7200,2328320,0.0000,1.0000
2019-02-28,136.0800,138.0200,135.8100,137.7100,137.7100,1668990,0.0000,1.0000
2019-02-27,137.4700,138.4900,135.6900,135.9400,135.9400,1815981,0.0000,1.0000
2019-02-26,136.6700,138.4428,136.4300,136.6100,136.6100,2921527,0.0000,1.0000
2019-02-25,137.2000,138.1800,136.1100,136.2000,136.2000,2561707,0.0000,1.0000
2019-02-22,136.5000,137.7499,135.5000,136.7000,136.7000,1780692,0.0000,1.0000
2019-02-21,140.1900,140.4100,135.9800,136.6000,136.6000,1688908,0.0000,1.0000
2019-02-20,137.9000,141.1500,137.9000,140.3300,140.3300,2527077,0.0000,1.0000
2019-02-19,138.6000,139.4500,137.7600,137.9600,137.9600,1849580,0.0000,1.0000
2019-02-15,140.0300,140.1900,138.3300,139.0700,139.0700,2996156,0.0000,1.0000
2019-02-14,139.3700,139.5100,137.8800,138.6700,138.6700,1782783,0.7400,1.0000
2019-02-13,138.7600,141.2278,138.2100,140.3300,139.5851,3118923,0.0000,1.0000
2019-02-12,135.7000,140.0000,135.3400,138.8000,138.0632,2868759,0.0000,1.0000
2019-02-11,132.1300,134.9300,131.7100,134.7400,134.0248,2174260,0.0000,1.0000
2019-02-08,131.5400,132.4700,130.3500,132.0900,131.3889,3317550,0.0000,1.0000
2019-02-07,137.1500,137.1500,132.0200,132.4400,131.7370,2985872,0.0000,1.0000
2019-02-06,137.9000,139.3500,136.6300,136.9800,136.2529,2144545,0.0000,1.0000
2019-02-05,141.0000,142.1500,137.5000,138.0100,137.2774,5179546,0.0000,1.0000
2019-02-04,143.8800,144.0700,137.6850,138.5300,137.7947,3841134,0.0000,1.0000
2019-02-01,144.1800,144.8800,142.2000,144.0700,143.3053,3788602,0.0000,1.0000
2019-01-31,143.0900,146.7200,143.0000,143.9800,143.2157,4164565,0.0000,1.0000
2019-01-30,142.6400,145.7100,140.1700,143.8900,143.1262,8207608,0.0000,1.0000
2019-01-29,149.6900,152.6200,144.5900,145.1200,144.3497,7089672,0.0000,1.0000
2019-01-28,159.1400,159.4700,156.0000,158.6900,157.8477,3697627,0.0000,1.0000
2019-01-25,158.6500,160.8500,158.5800,160.6600,159.8072,1725271,0.0000,1.0000
2019-01-24,159.5900,161.0300,156.5000,157.5700,156.7336,2520036,0.0000,1.0000
2019-01-23,157.8200,160.8900,156.0800,160.7900,159.9365,2365279,0.0000,1.0000
2019-01-22,158.7400,159.0700,156.1500,157.8000,156.9624,2629534,0.0000,1.0000
2019-01-18,157.7800,160.6600,156.3200,160.2200,159.3695,2891019,0.0000,1.0000
2019-01-17,153.0000,157.5100,152.1600,156.5600,155.7290,1780395,0.0000,1.0000
2019-01-16,153.2300,154.1500,152.7400,152.8900,152.0784,1910326,0.0000,1.0000
2019-01-15,149.8400,153.9800,149.5900,152.6900,151.8795,1934075,0.0000,1.0000
2019-01-14,148.5300,150.6800,148.0100,149.2600,148.4677,2042881,0.0000,1.0000
2019-01-11,145.3600,150.9000,145.3600,149.2600,148.4677,3039066,0.0000,1.0000
2019-01-10,144.6000,146.4800,143.0600,146.3000,145.5234,1853243,0.0000,1.0000
2019-01-09,145.8700,146.0000,144.1400,144.6000,143.8325,1948697,0.0000,1.0000
2019-01-08,143.1000,145.8200,142.3893,145.6000,144.8271,2484253,0.0000,1.0000
2019-01-07,143.4700,143.8600,140.4300,142.4400,141.6839,4501066,0.0000,1.0000
2019-01-04,137.5000,142.8400,137.2600,142.5700,141.8132,2853401,0.0000,1.0000
2019-01-03,135.8600,139.2400,134.6500,136.0700,135.3477,2743780,0.0000,1.0000
2019-01-02,132.2000,137.4500,131.4100,135.8800,135.1587,2187597,0.0000,1.0000
2018-12-31,133.1000,133.8000,131.5000,133.6600,132.9505,3040305,0.0000,1.0000
2018-12-28,132.8400,134.5800,131.8001,132.8000,132.0951,3309407,0.0000,1.0000
2018-12-27,131.2900,132.7000,127.5200,132.6700,131.9658,3187857,0.0000,1.0000
2018-12-26,130.6300,133.5300,125.8400,133.4100,132.7018,2864520,0.0000,1.0000
2018-12-24,129.9900,131.9200,128.7700,129.8200,129.1309,2336701,0.0000,1.0000
2018-12-21,135.2000,137.5900,131.1500,131.4600,130.7622,5773487,0.0000,1.0000
2018-12-20,135.0000,136.1600,131.3900,135.6300,134.9101,6031336,0.0000,1.0000
2018-12-19,142.9700,143.4900,134.0500,136.5600,135.8351,10339690,0.0000,1.0000
2018-12-18,149.3700,150.2100,145.9290,146.7600,145.9810,3551675,0.0000,1.0000
2018-12-17,147.4600,150.6200,146.1100,148.3300,147.5427,3130452,0.0000,1.0000
2018-12-14,149.0200,150.3940,147.6800,148.2300,147.4432,3574043,0.0000,1.0000
2018-12-13,152.2800,153.3800,150.2000,150.8600,150.0592,1308348,0.0000,1.0000
2018-12-12,151.8000,154.4200,151.5800,152.2700,151.4617,1749817,0.0000,1.0000
2018-12-11,152.9000,154.5500,149.3400,149.6900,148.8954,2845560,0.0000,1.0000
2018-12-10,152.2800,152.8900,149.0575,152.3800,151.5712,1876707,0.0000,1.0000
2018-12-07,155.4800,157.2000,151.0871,152.4200,151.6109,1645076,0.0000,1.0000
2018-12-06,152.0000,155.7200,149.8100,155.5200,154.6945,2840673,0.0000,1.0000
2018-12-04,158.0900,159.3700,153.4800,154.0000,153.1826,4053053,0.0000,1.0000
2018-12-03,157.7000,158.6400,156.5100,158.0900,157.2508,1574381,0.0000,1.0000
2018-11-30,155.9900,156.7200,154.5400,156.6000,155.7688,2283619,0.0000,1.0000
2018-11-29,154.6200,156.6500,154.0400,155.2400,154.4160,2032287,0.0000,1.0000
2018-11-28,152.8700,154.8100,150.5900,154.7500,153.9286,2571165,0.0000,1.0000
2018-11-27,151.7800,153.4000,150.2700,152.0300,151.2230,2333362,0.0000,1.0000
2018-11-26,154.2600,154.8400,151.5600,153.1600,152.3470,2020808,0.0000,1.0000
2018-11-23,153.3900,154.2700,152.3862,153.6100,152.7946,581163,0.0000,1.0000
2018-11-21,153.5300,155.2900,153.0400,154.3300,153.5108,1765656,0.0000,1.0000
2018-11-20,156.0000,156.7300,152.0000,153.4000,152.5857,2232289,0.0000,1.0000
2018-11-19,157.0900,157.4175,154.2100,156.0400,155.2117,2037462,0.0000,1.0000
2018-11-16,158.2200,158.9500,155.7250,157.3900,156.5546,2480034,0.0000,1.0000
2018-11-15,157.0400,159.4100,154.0000,159.3700,158.5241,4001440,0.0000,1.0000
2018-11-14,163.3800,163.9800,157.5000,157.7200,156.8828,3057533,0.0000,1.0000
2018-11-13,164.0100,164.9300,162.4800,162.6500,161.7866,2121791,0.0000,1.0000
2018-11-12,165.7800,165.9900,162.5300,163.8700,163.0002,2036125,0.0000,1.0000
2018-11-09,168.6600,169.3400,164.9000,165.5200,164.6414,2039730,0.7200,1.0000
2018-11-08,167.9000,170.3400,167.3000,169.3100,167.6819,1303558,0.0000,1.0000
2018-11-07,167.1000,170.1200,166.3500,169.6100,167.9790,1980643,0.0000,1.0000
2018-11-06,164.9800,166.0700,162.5800,165.2100,163.6213,1569704,0.0000,1.0000
2018-11-05,163.3000,166.2600,162.4958,165.4700,163.8788,1691909,0.0000,1.0000
2018-11-02,165.1700,165.9750,161.6800,163.0500,161.4821,2421368,0.0000,1.0000
2018-11-01,159.0300,165.5500,158.2600,164.4600,162.8785,2798653,0.0000,1.0000
2018-10-31,162.2700,164.5200,157.5000,158.0100,156.4905,4249064,0.0000,1.0000
2018-10-30,169.7100,170.3600,155.0000,160.6700,159.1250,8440225,0.0000,1.0000
2018-10-29,178.7700,179.7712,172.0100,173.8000,172.1287,2457370,0.0000,1.0000
2018-10-26,177.8200,179.4200,173.7900,177.2000,175.4960,2001688,0.0000,1.0000
2018-10-25,179.0000,182.5500,175.8510,180.2900,178.5563,2229219,0.0000,1.0000
2018-10-24,187.3900,189.0000,178.7300,178.9100,177.1896,2026697,0.0000,1.0000
2018-10-23,185.6400,188.6000,183.7000,187.6500,185.8455,1327943,0.0000,1.0000
2018-10-22,189.7300,190.3600,186.8300,187.6400,185.8356,1329475,0.0000,1.0000
2018-10-19,189.2900,191.7203,188.7500,189.5300,187.7074,1957715,0.0000,1.0000
2018-10-18,191.2800,191.8100,187.6800,188.8900,187.0736,1648109,0.0000,1.0000
2018-10-17,187.7600,192.6900,187.0000,191.0000,189.1633,1888462,0.0000,1.0000
2018-10-16,184.4000,188.1000,183.4000,187.9900,186.1823,1813102,0.0000,1.0000
2018-10-15,183.2500,184.7800,182.3600,182.9500,181.1907,1608231,0.0000,1.0000
2018-10-12,184.7400,184.8000,180.8800,183.2800,181.5175,2145770,0.0000,1.0000
2018-10-11,186.2400,186.5400,180.6400,182.2200,180.4677,2712620,0.0000,1.0000
2018-10-10,192.8700,193.4400,186.9800,187.1400,185.3404,1906751,0.0000,1.0000
