timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,45.9000,46.4400,45.8074,46.0400,46.0400,3729295,0.0000,1.0000
2019-04-17,46.7500,46.8000,45.6200,45.9700,45.9700,3650577,0.0000,1.0000
2019-04-16,46.0500,46.8900,46.0400,46.7400,46.7400,4709644,0.0000,1.0000
2019-04-15,46.1700,46.2950,45.7200,45.8000,45.8000,3766215,0.0000,1.0000
2019-04-12,46.0000,46.9500,45.9700,46.1900,46.1900,4937284,0.0000,1.0000
2019-04-11,45.3900,45.8200,45.0800,45.7100,45.7100,4330340,0.0000,1.0000
2019-04-10,44.5700,45.0100,44.2300,44.8800,44.8800,1904107,0.0000,1.0000
2019-04-09,44.5900,44.7300,44.1016,44.6300,44.6300,3396986,0.0000,1.0000
2019-04-08,44.9700,45.1500,44.6200,44.8700,44.8700,2147019,0.0000,1.0000
2019-04-05,44.7000,45.3000,44.6600,45.0500,45.0500,4063949,0.0000,1.0000
2019-04-04,43.8900,44.7100,43.8200,44.6000,44.6000,3753407,0.0000,1.0000
2019-04-03,43.9400,44.1700,43.6850,43.8700,43.8700,3490339,0.0000,1.0000
2019-04-02,43.9600,44.3300,43.3400,43.5500,43.5500,3423960,0.0000,1.0000
2019-04-01,43.5200,44.2750,43.4600,43.9900,43.9900,3715475,0.0000,1.0000
2019-03-29,43.4500,43.5700,42.8500,43.0600,43.0600,4308818,0.0000,1.0000
2019-03-28,43.2600,43.5000,42.4100,43.1000,43.1000,2978272,0.0000,1.0000
2019-03-27,43.0800,43.4600,42.9800,43.1400,43.1400,3075160,0.0000,1.0000
2019-03-26,42.7800,43.2771,42.6500,43.0500,43.0500,2958395,0.0000,1.0000
2019-03-25,42.6700,42.9100,42.1700,42.4500,42.4500,3914845,0.0000,1.0000
2019-03-22,43.0000,43.1300,42.1850,42.6200,42.6200,5410740,0.0000,1.0000
2019-03-21,42.5600,43.8700,42.5100,43.4300,43.4300,4711066,0.0000,1.0000
2019-03-20,43.6700,44.0100,42.8300,42.9600,42.9600,4823785,0.0000,1.0000
2019-03-19,44.5500,45.0000,43.7700,43.8600,43.8600,5090357,0.0000,1.0000
2019-03-18,44.2700,44.6800,44.1900,44.2800,44.2800,4745212,0.0000,1.0000
