timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,94.0000,94.7000,93.1700,93.2300,93.2300,383408,0.0000,1.0000
2019-04-17,95.4900,95.4900,94.0300,94.0600,94.0600,584211,0.0000,1.0000
2019-04-16,95.4300,96.0300,94.8700,95.2200,95.2200,499070,0.0000,1.0000
2019-04-15,95.8300,96.4450,94.8200,94.9400,94.9400,340205,0.0000,1.0000
2019-04-12,96.3600,96.9900,95.3800,95.8400,95.8400,460879,0.0000,1.0000
2019-04-11,94.7200,95.6800,94.3300,95.4400,95.4400,359999,0.0000,1.0000
2019-04-10,94.5300,94.7200,93.7000,94.4700,94.4700,524795,0.0000,1.0000
2019-04-09,94.8300,95.0400,93.8850,94.3100,94.3100,506964,0.0000,1.0000
2019-04-08,95.9900,96.0900,94.9761,95.4300,95.4300,335698,0.0000,1.0000
2019-04-05,95.8900,96.4000,95.3000,95.8700,95.8700,428064,0.0000,1.0000
2019-04-04,95.4200,96.0400,95.2800,95.9100,95.9100,465225,0.0000,1.0000
2019-04-03,96.2500,96.4300,94.7700,95.4500,95.4500,444744,0.0000,1.0000
2019-04-02,96.2900,96.2900,94.9500,95.4500,95.4500,471864,0.0000,1.0000
2019-04-01,95.3300,96.3600,95.3300,96.1500,96.1500,537061,0.0000,1.0000
2019-03-29,95.0900,95.4100,94.3900,94.9100,94.9100,709054,0.0000,1.0000
2019-03-28,95.0400,95.5800,94.0000,94.7700,94.7700,694817,0.0000,1.0000
2019-03-27,95.3700,96.3600,94.9700,94.9900,94.9900,624103,0.0000,1.0000
2019-03-26,94.9800,96.0000,94.3300,95.3700,95.3700,672018,0.0000,1.0000
2019-03-25,94.4600,95.8600,94.2500,94.5600,94.5600,1149137,0.0000,1.0000
2019-03-22,95.4500,95.8400,94.5400,94.5600,94.5600,776185,0.0000,1.0000
2019-03-21,94.4200,96.5300,94.4200,95.8800,95.8800,1693158,0.0000,1.0000
2019-03-20,96.9000,97.3800,94.4300,94.5800,94.5800,1833859,0.0000,1.0000
2019-03-19,98.5500,98.9400,96.9100,97.0000,97.0000,6016999,0.0000,1.0000
2019-03-18,98.8000,100.6500,98.7000,99.7000,99.7000,778948,0.0000,1.0000
2019-03-15,98.0800,99.1500,97.6000,98.7300,98.7300,1838025,0.0000,1.0000
2019-03-14,97.2500,99.7200,96.6200,98.2000,98.2000,1114876,0.0000,1.0000
2019-03-13,101.2900,102.0400,101.1119,101.2800,101.2800,508696,0.0000,1.0000
2019-03-12,101.1600,101.3600,100.4200,101.0100,101.0100,420823,0.0000,1.0000
2019-03-11,100.4200,101.2000,100.0100,100.8200,100.8200,337322,0.0000,1.0000
2019-03-08,99.6400,100.3300,99.3400,99.9600,99.9600,374774,0.0000,1.0000
2019-03-07,101.0100,101.1900,99.6200,100.3500,100.3500,428005,0.0000,1.0000
2019-03-06,102.8000,103.2100,101.0700,101.1700,101.1700,557386,0.0000,1.0000
2019-03-05,103.5500,104.1300,102.4250,103.2100,103.2100,665211,0.0000,1.0000
2019-03-04,104.6700,104.9300,103.2150,103.7800,103.7800,470056,0.0000,1.0000
2019-03-01,103.7400,104.3050,102.6000,104.1400,104.1400,461468,0.0000,1.0000
2019-02-28,101.0000,103.2800,101.0000,102.9900,102.9900,602586,0.0000,1.0000
2019-02-27,99.2700,100.8800,99.1000,100.8700,100.8700,503175,0.0000,1.0000
2019-02-26,98.8500,100.2900,98.8200,99.4300,99.4300,564340,0.0000,1.0000
2019-02-25,98.8000,99.9600,98.1200,99.0600,99.0600,444082,0.0000,1.0000
2019-02-22,98.0900,98.6300,97.6400,98.3400,98.3400,240748,0.6000,1.0000
2019-02-21,99.0200,99.2000,97.7100,98.1700,97.5747,567508,0.0000,1.0000
2019-02-20,98.3700,99.5500,98.0100,98.8300,98.2307,550338,0.0000,1.0000
2019-02-19,98.1900,98.4300,97.5100,98.2400,97.6442,419229,0.0000,1.0000
2019-02-15,97.9600,99.0800,97.8000,98.2100,97.6144,543465,0.0000,1.0000
2019-02-14,97.5900,97.8400,96.0800,97.1300,96.5410,546934,0.0000,1.0000
2019-02-13,98.3000,102.8100,96.6200,97.9100,97.3162,1478391,0.0000,1.0000
2019-02-12,98.2400,99.2300,98.0200,98.7400,98.1412,433982,0.0000,1.0000
2019-02-11,97.2300,97.6300,96.3100,97.5100,96.9187,296241,0.0000,1.0000
2019-02-08,97.0400,97.6400,95.8900,97.1300,96.5410,279253,0.0000,1.0000
2019-02-07,97.4900,97.7900,95.9500,97.3100,96.7199,458317,0.0000,1.0000
2019-02-06,97.6300,98.3000,97.1200,97.9100,97.3162,499263,0.0000,1.0000
2019-02-05,98.0400,98.1600,97.1300,98.0800,97.4852,608104,0.0000,1.0000
2019-02-04,97.2900,98.1300,96.7400,98.0000,97.4057,522227,0.0000,1.0000
2019-02-01,96.9200,97.4900,96.0300,97.1700,96.5807,486658,0.0000,1.0000
2019-01-31,95.0900,96.6500,94.5100,96.3900,95.8055,653227,0.0000,1.0000
2019-01-30,95.0600,96.1600,94.8300,95.5800,95.0004,410622,0.0000,1.0000
2019-01-29,94.6100,95.1000,94.1400,94.9400,94.3643,256739,0.0000,1.0000
2019-01-28,94.4700,94.8900,93.5100,94.4500,93.8772,536081,0.0000,1.0000
2019-01-25,96.9300,97.5200,95.0000,95.2400,94.6624,423514,0.0000,1.0000
2019-01-24,95.6100,96.5250,95.4200,96.3500,95.7657,347229,0.0000,1.0000
2019-01-23,95.3900,96.0200,94.2300,95.5800,95.0004,166612,0.0000,1.0000
2019-01-22,96.1400,96.8200,94.6200,95.0100,94.4338,218095,0.0000,1.0000
2019-01-18,95.8400,96.8000,95.4300,96.3800,95.7955,598438,0.0000,1.0000
2019-01-17,93.9300,95.4900,93.9300,95.4500,94.8712,723094,0.0000,1.0000
2019-01-16,94.8200,95.5000,94.3600,94.4100,93.8375,390120,0.0000,1.0000
2019-01-15,93.3700,94.5500,93.3700,94.5000,93.9269,284118,0.0000,1.0000
2019-01-14,92.0100,93.7600,91.7200,93.6000,93.0324,386546,0.0000,1.0000
2019-01-11,91.9000,93.2600,91.9000,92.5800,92.0186,210051,0.0000,1.0000
2019-01-10,91.3800,92.6400,91.2300,92.5000,91.9391,222175,0.0000,1.0000
2019-01-09,91.4600,92.2100,90.9400,91.4800,90.9252,312272,0.0000,1.0000
2019-01-08,91.4300,91.8200,90.2400,90.9200,90.3686,364067,0.0000,1.0000
2019-01-07,90.0900,91.7900,90.0100,90.8100,90.2593,277178,0.0000,1.0000
2019-01-04,89.4700,90.6000,89.4400,90.4500,89.9015,309812,0.0000,1.0000
2019-01-03,89.5600,90.2900,88.4800,88.6600,88.1223,349248,0.0000,1.0000
2019-01-02,88.3100,90.5300,88.3100,90.1000,89.5536,496219,0.0000,1.0000
2018-12-31,88.6300,89.5350,88.2427,89.4400,88.8976,287536,0.0000,1.0000
2018-12-28,88.3600,89.2400,87.5800,88.1600,87.6254,347622,0.0000,1.0000
2018-12-27,85.7900,88.0300,84.8400,87.9200,87.3868,405736,0.0000,1.0000
2018-12-26,83.1000,87.1700,82.3100,87.0700,86.5420,362811,0.0000,1.0000
2018-12-24,84.7000,84.8150,82.4700,82.6500,82.1488,298998,0.0000,1.0000
2018-12-21,86.4900,88.6300,85.0600,85.2900,84.7728,652051,0.0000,1.0000
2018-12-20,87.0400,88.0400,85.7600,86.7100,86.1842,585581,0.0000,1.0000
2018-12-19,88.9100,90.7600,88.0450,88.4000,87.8639,342365,0.0000,1.0000
2018-12-18,90.0400,91.2900,88.7300,88.8300,88.2913,457651,0.0000,1.0000
2018-12-17,90.0000,91.2650,89.4650,90.0000,89.4542,634800,0.0000,1.0000
2018-12-14,89.3700,90.3700,89.0900,90.2600,89.7126,529645,0.0000,1.0000
2018-12-13,90.3900,91.1300,89.5300,89.9700,89.4244,444247,0.0000,1.0000
2018-12-12,91.1100,91.5000,89.9000,90.3900,89.8418,325173,0.0000,1.0000
2018-12-11,91.7000,92.9400,89.5400,90.0100,89.4642,348277,0.0000,1.0000
2018-12-10,91.1100,91.1100,88.8600,90.6500,90.1003,403713,0.0000,1.0000
