timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,126.6600,128.2200,122.6800,126.0100,126.0100,2094946,0.0000,1.0000
2019-04-17,137.3200,137.7700,124.4000,125.9100,125.9100,3078009,0.0000,1.0000
2019-04-16,138.1500,139.9500,136.5800,136.9400,136.9400,1172902,0.0000,1.0000
2019-04-15,136.8700,137.9300,135.3900,137.4900,137.4900,855369,0.0000,1.0000
2019-04-12,138.4000,139.3900,135.8300,136.2000,136.2000,990477,0.0000,1.0000
2019-04-11,141.3800,141.5900,137.2400,137.4200,137.4200,947500,0.0000,1.0000
2019-04-10,138.0200,141.8600,137.3500,141.3000,141.3000,1148868,0.0000,1.0000
2019-04-09,139.1700,140.3467,137.2100,137.6500,137.6500,992084,0.0000,1.0000
2019-04-08,141.2100,141.2100,138.5800,139.7500,139.7500,929035,0.0000,1.0000
2019-04-05,139.9700,141.6500,139.6600,141.2000,141.2000,1208323,0.0000,1.0000
2019-04-04,140.0700,141.8000,139.0100,139.9300,139.9300,1189250,0.0000,1.0000
2019-04-03,139.6600,140.1800,138.3700,139.9900,139.9900,1699749,0.0000,1.0000
2019-04-02,135.5800,139.6500,135.0900,138.9200,138.9200,1516299,0.0000,1.0000
2019-04-01,136.5800,137.6200,135.2000,135.3200,135.3200,869886,0.0000,1.0000
2019-03-29,134.5000,135.7900,133.3700,135.1800,135.1800,1240751,0.0000,1.0000
2019-03-28,134.6500,135.7800,131.7300,133.2600,133.2600,1124939,0.0000,1.0000
2019-03-27,136.7100,137.5000,133.1000,134.6000,134.6000,1106432,0.0000,1.0000
2019-03-26,133.1500,136.9500,132.6100,136.7900,136.7900,1737728,0.0000,1.0000
2019-03-25,130.2900,132.3400,128.3000,132.2900,132.2900,1684001,0.0000,1.0000
2019-03-22,133.8600,134.9000,130.1000,130.2100,130.2100,1512041,0.0000,1.0000
2019-03-21,130.4700,134.5600,130.0300,134.2100,134.2100,1729770,0.0000,1.0000
2019-03-20,133.2000,133.5600,130.8500,131.6600,131.6600,1702945,0.0000,1.0000
2019-03-19,133.5700,134.5600,132.3900,132.9400,132.9400,1005729,0.0000,1.0000
2019-03-18,136.0400,136.3900,132.8600,133.5100,133.5100,1744496,0.0000,1.0000
2019-03-15,135.3100,136.6500,134.6200,136.0900,136.0900,2070737,0.0000,1.0000
2019-03-14,135.8700,136.3800,133.4800,134.8800,134.8800,1361377,0.0000,1.0000
2019-03-13,135.2200,136.9600,134.4800,135.7100,135.7100,1066753,0.0000,1.0000
2019-03-12,132.5500,134.8700,131.7900,134.3000,134.3000,1560978,0.0000,1.0000
2019-03-11,128.9700,132.2000,128.3463,132.0400,132.0400,1306377,0.0000,1.0000
2019-03-08,127.2600,128.7700,125.7000,128.6800,128.6800,1194344,0.0000,1.0000
2019-03-07,131.1800,131.2000,126.7100,128.1700,128.1700,1667303,0.0000,1.0000
2019-03-06,134.5700,134.9000,130.6000,131.1200,131.1200,1241863,0.0000,1.0000
2019-03-05,136.1500,136.5000,134.2600,134.7700,134.7700,1030273,0.0000,1.0000
2019-03-04,138.0000,138.3200,133.3900,136.0800,136.0800,1502223,0.0000,1.0000
2019-03-01,132.8900,137.8000,132.6600,137.7500,137.7500,1445884,0.0000,1.0000
2019-02-28,135.5800,137.3000,134.3700,135.3300,135.3300,1556101,0.0000,1.0000
2019-02-27,132.4900,136.1900,132.0000,136.0100,136.0100,1131456,0.0000,1.0000
2019-02-26,131.8500,134.9500,131.8500,133.2900,133.2900,1396553,0.0000,1.0000
2019-02-25,130.5000,133.3700,130.5000,133.1700,133.1700,1574532,0.0000,1.0000
2019-02-22,127.9300,129.8500,126.8600,129.7300,129.7300,1221577,0.0000,1.0000
2019-02-21,129.6300,130.0900,126.3000,127.5500,127.5500,1019720,0.0000,1.0000
2019-02-20,128.5100,130.4150,128.4500,129.8400,129.8400,1758158,0.0000,1.0000
2019-02-19,128.4800,129.7800,128.0500,128.9300,128.9300,1169679,0.0000,1.0000
2019-02-15,125.4350,129.4900,125.4350,129.4200,129.4200,1299915,0.0000,1.0000
2019-02-14,124.7300,126.2300,123.9400,125.9300,125.9300,1017026,0.0000,1.0000
2019-02-13,125.0000,125.3000,123.2100,125.1800,125.1800,1160511,0.0000,1.0000
2019-02-12,121.7000,124.3700,121.4300,124.2600,124.2600,1701834,0.0000,1.0000
2019-02-11,120.7600,121.4000,119.2850,120.0500,120.0500,969076,0.0000,1.0000
2019-02-08,118.0300,120.1900,117.8000,120.1400,120.1400,1057608,0.0000,1.0000
2019-02-07,119.5700,120.3700,117.3100,118.7900,118.7900,1479412,0.0000,1.0000
2019-02-06,122.7200,123.0950,120.9400,121.0300,121.0300,1556601,0.0000,1.0000
2019-02-05,123.3900,124.8800,121.5600,122.8700,122.8700,1889051,0.0000,1.0000
2019-02-04,128.6700,129.0000,121.4300,123.7500,123.7500,3629816,0.0000,1.0000
2019-02-01,124.4400,126.5099,123.1500,126.2800,126.2800,2470357,0.0000,1.0000
2019-01-31,121.4100,123.2100,120.4400,122.9600,122.9600,1678082,0.0000,1.0000
2019-01-30,119.6200,121.6450,117.6600,121.3200,121.3200,1427945,0.0000,1.0000
2019-01-29,119.3200,119.9900,117.1200,119.6100,119.6100,2276474,0.0000,1.0000
2019-01-28,119.8700,120.0050,117.0000,119.2100,119.2100,2012087,0.0000,1.0000
2019-01-25,118.9800,121.5900,118.3700,121.4400,121.4400,1501610,0.0000,1.0000
2019-01-24,117.2500,117.9800,116.3800,117.9100,117.9100,1557372,0.0000,1.0000
2019-01-23,115.1400,117.9800,114.8259,117.0000,117.0000,2480505,0.0000,1.0000
