timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,1868.7900,1870.8200,1859.4800,1861.6900,1861.6900,2749882,0.0000,1.0000
2019-04-17,1872.9900,1876.4700,1860.4400,1864.8200,1864.8200,2893517,0.0000,1.0000
2019-04-16,1851.3500,1869.7700,1848.0000,1863.0400,1863.0400,3044618,0.0000,1.0000
2019-04-15,1842.0000,1846.8500,1818.9000,1844.8700,1844.8700,3724423,0.0000,1.0000
2019-04-12,1848.4000,1851.5000,1841.3000,1843.0600,1843.0600,3114413,0.0000,1.0000
2019-04-11,1848.7000,1849.9500,1840.3100,1844.0700,1844.0700,2654842,0.0000,1.0000
2019-04-10,1841.0000,1848.0000,1828.8100,1847.3300,1847.3300,2963973,0.0000,1.0000
2019-04-09,1845.4900,1853.0900,1831.7800,1835.8400,1835.8400,3714368,0.0000,1.0000
2019-04-08,1833.2300,1850.2000,1825.1100,1849.8600,1849.8600,3752841,0.0000,1.0000
2019-04-05,1829.0000,1838.5800,1825.1900,1837.2800,1837.2800,3640476,0.0000,1.0000
2019-04-04,1820.6500,1828.7500,1804.2000,1818.8600,1818.8600,3623867,0.0000,1.0000
2019-04-03,1826.7200,1830.0000,1809.6200,1820.7000,1820.7000,3980590,0.0000,1.0000
2019-04-02,1811.0200,1820.0000,1805.1200,1813.9800,1813.9800,3448115,0.0000,1.0000
2019-04-01,1800.1100,1815.6700,1798.7300,1814.1900,1814.1900,4238752,0.0000,1.0000
2019-03-29,1786.5800,1792.8600,1776.6300,1780.7500,1780.7500,3320793,0.0000,1.0000
2019-03-28,1770.0000,1777.9300,1753.4700,1773.4200,1773.4200,3042958,0.0000,1.0000
2019-03-27,1784.1300,1787.5000,1745.6800,1765.7000,1765.7000,4324801,0.0000,1.0000
2019-03-26,1793.0000,1805.7700,1773.3600,1783.7600,1783.7600,4865880,0.0000,1.0000
2019-03-25,1757.7900,1782.6800,1747.5000,1774.2600,1774.2600,5103803,0.0000,1.0000
2019-03-22,1810.1700,1818.9800,1763.1100,1764.7700,1764.7700,6362983,0.0000,1.0000
2019-03-21,1796.2600,1823.7500,1787.2800,1819.2600,1819.2600,5767797,0.0000,1.0000
2019-03-20,1769.9400,1799.5000,1767.0300,1797.2700,1797.2700,6265633,0.0000,1.0000
2019-03-19,1753.5100,1784.1600,1753.5100,1761.8500,1761.8500,6364161,0.0000,1.0000
2019-03-18,1712.7000,1750.0000,1712.6300,1742.1500,1742.1500,5429058,0.0000,1.0000
2019-03-15,1703.0000,1718.8000,1693.1300,1712.3600,1712.3600,7550870,0.0000,1.0000
2019-03-14,1691.2000,1702.0000,1684.3400,1686.2200,1686.2200,2946618,0.0000,1.0000
2019-03-13,1683.0000,1700.0000,1679.3500,1690.8100,1690.8100,3552041,0.0000,1.0000
2019-03-12,1669.0000,1684.2700,1660.9800,1673.1000,1673.1000,3614498,0.0000,1.0000
2019-03-11,1626.1200,1672.2900,1626.0100,1670.6200,1670.6200,3876352,0.0000,1.0000
2019-03-08,1604.0100,1622.7200,1586.5700,1620.8000,1620.8000,4667014,0.0000,1.0000
2019-03-07,1667.3700,1669.7500,1620.5100,1625.9500,1625.9500,4957017,0.0000,1.0000
2019-03-06,1695.9700,1697.7500,1668.2800,1668.9500,1668.9500,3996001,0.0000,1.0000
2019-03-05,1702.9500,1707.8000,1689.0100,1692.4300,1692.4300,3681522,0.0000,1.0000
2019-03-04,1685.0000,1709.4300,1674.3600,1696.1700,1696.1700,6167358,0.0000,1.0000
2019-03-01,1655.1300,1674.2600,1651.0000,1671.7300,1671.7300,4974877,0.0000,1.0000
2019-02-28,1635.2500,1651.7700,1633.8300,1639.8300,1639.8300,3025891,0.0000,1.0000
2019-02-27,1628.1800,1641.8100,1615.1000,1641.0900,1641.0900,3148824,0.0000,1.0000
2019-02-26,1625.9800,1639.9900,1616.1300,1636.4000,1636.4000,2665815,0.0000,1.0000
2019-02-25,1641.4500,1654.6000,1630.3900,1633.0000,1633.0000,3184462,0.0000,1.0000
2019-02-22,1623.5000,1634.9400,1621.1700,1631.5600,1631.5600,3096191,0.0000,1.0000
2019-02-21,1619.8500,1623.5600,1600.9100,1619.4400,1619.4400,3483392,0.0000,1.0000
2019-02-20,1630.0000,1634.9300,1610.1200,1622.1000,1622.1000,3337589,0.0000,1.0000
2019-02-19,1601.0000,1634.0000,1600.5600,1627.5800,1627.5800,3681656,0.0000,1.0000
2019-02-15,1627.8600,1628.9100,1604.5000,1607.9500,1607.9500,4343893,0.0000,1.0000
2019-02-14,1624.5000,1637.9000,1606.0600,1622.6500,1622.6500,4120524,0.0000,1.0000
2019-02-13,1647.0000,1656.3800,1637.1100,1640.0000,1640.0000,3560321,0.0000,1.0000
2019-02-12,1604.0000,1639.3900,1598.8800,1638.0100,1638.0100,4858604,0.0000,1.0000
2019-02-11,1600.9800,1609.2900,1586.0000,1591.0000,1591.0000,3317328,0.0000,1.0000
2019-02-08,1586.0000,1588.5900,1566.7600,1588.2200,1588.2200,5657457,0.0000,1.0000
2019-02-07,1625.0000,1625.5400,1592.9100,1614.3700,1614.3700,4626589,0.0000,1.0000
2019-02-06,1670.7500,1672.2600,1633.3400,1640.2600,1640.2600,3939883,0.0000,1.0000
2019-02-05,1643.3400,1665.2600,1642.5000,1658.8100,1658.8100,4453105,0.0000,1.0000
2019-02-04,1623.0000,1649.6300,1613.5000,1633.3100,1633.3100,4929187,0.0000,1.0000
2019-02-01,1638.8800,1673.0600,1622.0100,1626.2300,1626.2300,11506213,0.0000,1.0000
2019-01-31,1692.8500,1736.4100,1679.0800,1718.7300,1718.7300,10910338,0.0000,1.0000
2019-01-30,1623.0000,1676.9500,1619.6800,1670.4300,1670.4300,5783822,0.0000,1.0000
2019-01-29,1631.2700,1632.3800,1590.7200,1593.8800,1593.8800,4632782,0.0000,1.0000
2019-01-28,1643.5900,1645.0000,1614.0900,1637.8900,1637.8900,4837711,0.0000,1.0000
2019-01-25,1670.5000,1683.4800,1661.6100,1670.5700,1670.5700,4959679,0.0000,1.0000
2019-01-24,1641.0700,1657.2600,1631.7800,1654.9300,1654.9300,4089943,0.0000,1.0000
2019-01-23,1656.0000,1657.4300,1612.0000,1640.0200,1640.0200,5225212,0.0000,1.0000
2019-01-22,1681.0000,1681.8700,1610.2000,1632.1700,1632.1700,6416796,0.0000,1.0000
2019-01-18,1712.0000,1716.2000,1691.5400,1696.2000,1696.2000,6020503,0.0000,1.0000
2019-01-17,1680.0000,1700.1700,1677.5000,1693.2200,1693.2200,4208875,0.0000,1.0000
2019-01-16,1684.2200,1705.0000,1675.8800,1683.7800,1683.7800,6366864,0.0000,1.0000
2019-01-15,1632.0000,1675.1600,1626.0100,1674.5600,1674.5600,5998510,0.0000,1.0000
