timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,38.1200,38.2900,37.2400,37.8300,37.8300,765083,0.0000,1.0000
2019-04-17,37.9600,38.3600,37.6000,37.9600,37.9600,503891,0.0000,1.0000
2019-04-16,37.2100,38.1400,37.1200,38.0600,38.0600,572170,0.0000,1.0000
2019-04-15,37.4100,37.7300,37.0400,37.3500,37.3500,528474,0.0000,1.0000
2019-04-12,36.7300,37.4100,36.4700,37.3400,37.3400,674273,0.0000,1.0000
2019-04-11,36.9400,37.1300,36.4700,36.5500,36.5500,690347,0.0000,1.0000
2019-04-10,36.2500,36.9000,35.9200,36.8600,36.8600,720963,0.0000,1.0000
2019-04-09,36.4500,36.5200,36.0900,36.1500,36.1500,521472,0.0000,1.0000
2019-04-08,35.7800,36.6300,35.4601,36.5000,36.5000,913154,0.0000,1.0000
2019-04-05,36.6900,36.7393,35.6600,35.8200,35.8200,1067551,0.0000,1.0000
2019-04-04,36.4100,36.9600,36.4100,36.6700,36.6700,709660,0.0000,1.0000
2019-04-03,36.0400,36.7900,35.9800,36.4100,36.4100,622437,0.0000,1.0000
2019-04-02,36.2200,36.2200,35.6100,35.8700,35.8700,701143,0.0000,1.0000
2019-04-01,36.0300,36.2500,35.6200,36.2200,36.2200,598782,0.0000,1.0000
2019-03-29,35.1900,36.1600,35.1900,35.7200,35.7200,890824,0.0000,1.0000
2019-03-28,35.4100,36.0600,34.9500,34.9900,34.9900,1480005,0.0000,1.0000
2019-03-27,34.0700,35.4100,34.0700,35.2500,35.2500,902124,0.0000,1.0000
2019-03-26,34.1100,34.6500,33.9600,34.3300,34.3300,626200,0.0000,1.0000
2019-03-25,33.5400,34.1800,33.4200,34.0000,34.0000,795432,0.0000,1.0000
2019-03-22,34.2000,34.5400,33.4800,33.5700,33.5700,995576,0.0000,1.0000
2019-03-21,33.4600,34.8900,33.2700,34.6800,34.6800,884508,0.0000,1.0000
2019-03-20,33.4700,34.0100,33.2850,33.6100,33.6100,926923,0.0000,1.0000
2019-03-19,33.8000,34.1100,33.3500,33.4600,33.4600,1001504,0.0000,1.0000
2019-03-18,33.0400,33.7700,32.9200,33.6600,33.6600,1409809,0.0000,1.0000
2019-03-15,32.9800,33.3400,32.8300,32.8700,32.8700,1607595,0.0000,1.0000
2019-03-14,33.6900,33.6900,32.8450,32.8900,32.8900,1233478,0.0000,1.0000
2019-03-13,34.0600,34.3700,33.7500,33.7700,33.7700,1067572,0.0000,1.0000
2019-03-12,34.3500,34.6300,33.9300,34.0400,34.0400,692924,0.0000,1.0000
2019-03-11,33.8300,34.7800,33.8000,34.4300,34.4300,1097873,0.0000,1.0000
2019-03-08,33.4800,33.7500,33.1700,33.6100,33.6100,1222404,0.0000,1.0000
2019-03-07,34.3000,34.3690,33.5600,33.7300,33.7300,953535,0.0000,1.0000
2019-03-06,34.8400,35.0200,34.3550,34.4300,34.4300,1008847,0.0000,1.0000
2019-03-05,34.6900,35.1200,34.3500,34.8800,34.8800,567424,0.0000,1.0000
2019-03-04,34.9000,35.0700,34.5000,34.6000,34.6000,924152,0.0000,1.0000
2019-03-01,35.5200,36.0500,34.8450,34.8900,34.8900,961706,0.0000,1.0000
2019-02-28,34.9100,35.5000,34.2200,35.2600,35.2600,1247932,0.0000,1.0000
2019-02-27,35.4100,35.8150,34.6400,34.7300,34.7300,1078483,0.0000,1.0000
2019-02-26,35.6800,36.1400,35.4300,35.6700,35.6700,1109422,0.0000,1.0000
2019-02-25,37.1600,37.2300,35.7100,35.7800,35.7800,1551773,0.0000,1.0000
2019-02-22,36.6000,37.9900,35.7000,37.2300,37.2300,1633749,0.0000,1.0000
2019-02-21,39.2100,39.7100,38.2550,38.3800,38.3800,1384088,0.0000,1.0000
2019-02-20,38.6500,39.3800,38.5880,39.1100,39.1100,553134,0.0000,1.0000
2019-02-19,38.1300,38.8500,38.0300,38.6700,38.6700,540224,0.0000,1.0000
2019-02-15,38.5000,39.5200,38.3400,39.0800,39.0800,1058242,0.0000,1.0000
2019-02-14,37.8400,38.8000,37.4755,38.2800,38.2800,620114,0.0000,1.0000
2019-02-13,38.1200,38.4100,37.3350,37.9500,37.9500,864445,0.0000,1.0000
2019-02-12,37.3200,38.1000,37.3200,38.0600,38.0600,560460,0.0000,1.0000
2019-02-11,37.0200,37.2600,36.6200,37.1800,37.1800,694346,0.0000,1.0000
2019-02-08,36.9100,37.5900,36.7800,36.9400,36.9400,865744,0.0000,1.0000
2019-02-07,38.8500,38.8500,37.1100,37.2800,37.2800,778434,0.0000,1.0000
2019-02-06,39.0700,39.3950,38.5000,38.8800,38.8800,738472,0.0000,1.0000
2019-02-05,38.7800,39.2600,38.2300,39.2400,39.2400,804964,0.0000,1.0000
2019-02-04,38.3100,38.7200,37.8100,38.7100,38.7100,868248,0.0000,1.0000
2019-02-01,38.5500,38.7562,38.1200,38.4600,38.4600,663202,0.0000,1.0000
2019-01-31,37.7100,38.8800,37.3600,38.7500,38.7500,1458924,0.0000,1.0000
2019-01-30,37.1300,37.8300,36.7900,37.6200,37.6200,731363,0.0000,1.0000
2019-01-29,37.5500,37.7400,36.8850,36.9500,36.9500,384805,0.0000,1.0000
2019-01-28,37.0000,37.5600,36.7850,37.5000,37.5000,460103,0.0000,1.0000
2019-01-25,37.1400,37.3600,36.8505,37.2000,37.2000,642766,0.0000,1.0000
2019-01-24,36.5200,37.0700,36.2316,36.8100,36.8100,878415,0.0000,1.0000
2019-01-23,37.0100,37.1950,35.9400,36.4300,36.4300,594954,0.0000,1.0000
2019-01-22,37.7500,37.9400,36.6600,37.0400,37.0400,475190,0.0000,1.0000
