timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,112.2500,114.1400,111.3200,113.6700,113.6700,6186823,0.0000,1.0000
2019-04-17,112.3100,112.5000,111.2500,111.7600,111.7600,3799882,0.0000,1.0000
2019-04-16,111.0900,112.0300,110.9400,111.8800,111.8800,2523403,0.0000,1.0000
2019-04-15,110.9200,110.9700,110.2500,110.5300,110.5300,2284994,0.0000,1.0000
2019-04-12,110.8200,111.5500,110.4500,110.9100,110.9100,2316865,0.0000,1.0000
2019-04-11,110.5100,110.8300,109.4200,109.8500,109.8500,2320615,0.0000,1.0000
2019-04-10,110.4800,110.4800,109.5200,110.1600,110.1600,2650052,0.0000,1.0000
2019-04-09,110.0100,110.3100,109.4900,109.8500,109.8500,2869282,0.0000,1.0000
2019-04-08,110.6200,110.8500,109.9150,110.7000,110.7000,4776570,0.0000,1.0000
2019-04-05,110.4800,111.2100,110.4400,110.9600,110.9600,4553715,0.0000,1.0000
2019-04-04,110.3300,110.4900,109.5000,110.1200,110.1200,3619815,0.3900,1.0000
2019-04-03,111.8200,112.0000,110.3450,110.5600,110.1698,3719883,0.0000,1.0000
2019-04-02,111.2100,111.4600,110.3700,111.0000,110.6083,3568956,0.0000,1.0000
2019-04-01,110.2900,112.0400,110.0800,111.7000,111.3058,5125113,0.0000,1.0000
2019-03-29,110.2000,110.3850,109.1400,109.3000,108.9143,4891096,0.0000,1.0000
2019-03-28,109.4200,109.8800,108.4900,109.1600,108.7748,2693293,0.0000,1.0000
2019-03-27,109.6800,110.0000,108.3300,108.9800,108.5954,3346629,0.0000,1.0000
2019-03-26,109.9900,110.4000,109.0500,109.5000,109.1136,2844509,0.0000,1.0000
2019-03-25,109.2800,110.0700,108.1900,109.0400,108.6552,3596230,0.0000,1.0000
2019-03-22,111.2900,111.3200,108.9883,109.4600,109.0737,3737581,0.0000,1.0000
2019-03-21,109.9600,112.1800,109.8100,111.8200,111.4254,3111049,0.0000,1.0000
2019-03-20,112.2600,112.4600,110.6000,110.7700,110.3791,3309303,0.0000,1.0000
2019-03-19,114.2200,114.2200,112.3600,112.6700,112.2724,3331270,0.0000,1.0000
2019-03-18,113.7500,114.2500,113.1600,113.5500,113.1493,2918271,0.0000,1.0000
2019-03-15,112.7100,113.7700,112.5300,113.5200,113.1194,4780401,0.0000,1.0000
2019-03-14,112.3900,112.7800,111.8800,112.3500,111.9535,3538237,0.0000,1.0000
2019-03-13,110.1800,112.2600,110.0900,112.1400,111.7442,4234169,0.0000,1.0000
2019-03-12,109.7400,111.2750,109.7400,110.4300,110.0403,3917755,0.0000,1.0000
2019-03-11,109.0100,109.7900,108.7100,109.5600,109.1734,3289261,0.0000,1.0000
2019-03-08,106.7900,108.0700,106.6800,107.9800,107.5989,2077156,0.0000,1.0000
2019-03-07,108.5600,108.6300,107.4000,107.8600,107.4794,3048239,0.0000,1.0000
2019-03-06,108.9300,109.4500,108.8500,108.9800,108.5954,2616046,0.0000,1.0000
2019-03-05,109.0300,109.3150,108.3200,108.8500,108.4659,2685668,0.0000,1.0000
2019-03-04,109.5600,110.0900,107.7600,109.0000,108.6153,4053186,0.0000,1.0000
2019-03-01,108.4000,109.6500,108.2000,108.9000,108.5157,2682041,0.0000,1.0000
2019-02-28,107.2200,108.4457,107.0800,107.7400,107.3598,3295799,0.0000,1.0000
2019-02-27,106.8600,107.6250,106.6000,107.4200,107.0409,2393450,0.0000,1.0000
2019-02-26,106.6700,107.6200,106.4200,106.9400,106.5626,2548075,0.0000,1.0000
2019-02-25,108.2000,108.8474,106.7600,106.9300,106.5526,3333498,0.0000,1.0000
2019-02-22,106.9800,107.5500,106.8600,107.4400,107.0608,2256445,0.0000,1.0000
2019-02-21,106.7400,106.9500,106.3200,106.6100,106.2338,2566460,0.0000,1.0000
2019-02-20,106.5700,107.1790,106.5000,106.7800,106.4032,3840786,0.0000,1.0000
2019-02-19,107.0500,107.2300,106.4600,106.5000,106.1242,3692762,0.0000,1.0000
2019-02-15,107.3300,108.0900,107.1200,107.3800,107.0010,3882306,0.0000,1.0000
2019-02-14,107.0000,107.3600,106.2400,106.6200,106.2437,2385903,0.0000,1.0000
2019-02-13,107.5500,108.4700,107.1000,107.5600,107.1804,3182109,0.0000,1.0000
2019-02-12,106.2700,107.4300,106.2600,107.0000,106.6224,3238637,0.0000,1.0000
2019-02-11,104.9500,105.5600,104.8100,105.4100,105.0380,2653833,0.0000,1.0000
2019-02-08,103.7300,104.5200,103.4300,104.5200,104.1511,2581890,0.0000,1.0000
2019-02-07,104.0568,104.7800,103.6100,104.3900,104.0216,3857255,0.0000,1.0000
2019-02-06,103.8500,105.0800,103.4300,104.9600,104.5896,3595668,0.0000,1.0000
2019-02-05,103.6300,104.1750,103.4100,103.9000,103.5333,2231188,0.0000,1.0000
2019-02-04,103.0400,103.4600,102.5200,103.4200,103.0550,2578258,0.0000,1.0000
2019-02-01,102.4100,103.5300,102.4100,103.0600,102.6963,4727795,0.0000,1.0000
2019-01-31,102.0000,102.9000,101.7000,102.7000,102.3376,4302055,0.0000,1.0000
2019-01-30,101.0900,102.8500,100.5400,102.6700,102.3077,3501688,0.0000,1.0000
2019-01-29,100.9400,101.4200,100.5400,100.9600,100.6037,2827361,0.0000,1.0000
2019-01-28,100.0500,100.4100,99.4800,100.3800,100.0257,3185376,0.0000,1.0000
2019-01-25,100.4300,101.5900,100.0900,100.7700,100.4144,3488839,0.0000,1.0000
2019-01-24,99.6900,100.5400,99.3800,99.7200,99.3681,3415966,0.0000,1.0000
2019-01-23,99.9300,100.1900,98.4600,99.7100,99.3581,3585120,0.0000,1.0000
2019-01-22,99.8500,100.6800,98.9600,99.8300,99.4777,4699835,0.0000,1.0000
2019-01-18,98.1900,100.8100,96.3700,100.4800,100.1254,9872459,0.0000,1.0000
2019-01-17,99.4100,100.2400,98.5650,99.4900,99.1389,5693263,0.0000,1.0000
2019-01-16,98.9400,99.9600,98.5140,99.4100,99.0592,4701930,0.0000,1.0000
2019-01-15,98.6100,98.8700,97.7400,97.9900,97.6442,5795081,0.0000,1.0000
2019-01-14,97.7600,99.0300,97.6200,98.4400,98.0926,4120483,0.0000,1.0000
2019-01-11,97.8800,98.6800,97.3600,98.5500,98.2022,2770739,0.0000,1.0000
2019-01-10,98.4500,98.6700,97.8200,98.2600,97.9132,3523808,0.0000,1.0000
2019-01-09,98.7400,99.5900,98.1500,98.8300,98.4812,2954557,0.0000,1.0000
2019-01-08,98.6900,99.5200,97.5200,98.6500,98.3019,3227198,0.0000,1.0000
2019-01-07,97.7700,98.9200,97.0200,98.1700,97.8235,3289030,0.0000,1.0000
2019-01-04,95.3700,98.3500,94.9000,97.6400,97.2954,4637540,0.0000,1.0000
2019-01-03,94.7900,95.1800,93.2300,93.4300,93.1003,4776595,0.3900,1.0000
2019-01-02,93.9100,96.2700,93.7700,95.6800,94.9460,4175396,0.0000,1.0000
2018-12-31,95.1300,95.6100,94.3000,95.3200,94.5888,2821052,0.0000,1.0000
2018-12-28,95.4000,95.6500,93.9500,94.4200,93.6957,3225144,0.0000,1.0000
2018-12-27,92.3600,94.6800,91.2600,94.6800,93.9537,4226572,0.0000,1.0000
2018-12-26,89.8500,93.8900,89.0500,93.8400,93.1201,5383666,0.0000,1.0000
2018-12-24,90.7400,91.5500,89.5000,89.5000,88.8134,3190855,0.0000,1.0000
2018-12-21,95.2000,96.6300,91.1500,91.3300,90.6294,11005372,0.0000,1.0000
2018-12-20,97.9100,98.8700,95.2600,95.7700,95.0353,7110453,0.0000,1.0000
2018-12-19,99.7600,102.0000,98.2000,98.7700,98.0123,6195553,0.0000,1.0000
2018-12-18,101.9800,102.5700,100.4700,101.0200,100.2450,5220755,0.0000,1.0000
2018-12-17,105.4600,105.4600,100.7800,101.1800,100.4038,7345570,0.0000,1.0000
2018-12-14,105.7700,106.4500,104.9300,105.7000,104.8891,5245408,0.0000,1.0000
2018-12-13,107.7700,108.3600,106.3300,106.7000,105.8815,3542572,0.0000,1.0000
2018-12-12,107.2700,108.7300,106.5000,107.4800,106.6555,4183755,0.0000,1.0000
2018-12-11,107.3900,108.0100,104.5100,105.4000,104.5914,3132405,0.0000,1.0000
2018-12-10,105.9400,106.7150,103.5000,105.7900,104.9785,4109993,0.0000,1.0000
2018-12-07,108.2000,109.6200,105.7600,106.6800,105.8616,4419413,0.0000,1.0000
2018-12-06,105.6400,108.3900,104.7800,108.2500,107.4196,7455223,0.0000,1.0000
2018-12-04,111.8600,112.1600,107.5401,107.6400,106.8143,5238402,0.0000,1.0000
2018-12-03,113.9900,114.5500,112.0000,112.3600,111.4981,3399533,0.0000,1.0000
2018-11-30,110.3700,112.4500,110.3700,112.2700,111.4087,3949667,0.0000,1.0000
2018-11-29,112.0000,112.2638,110.4750,111.3100,110.4561,4249467,0.0000,1.0000
2018-11-28,110.3300,113.1800,110.3300,112.8900,112.0240,3995867,0.0000,1.0000
2018-11-27,109.5000,110.3600,108.7300,110.1100,109.2653,2838345,0.0000,1.0000
2018-11-26,107.1500,109.7300,106.8300,109.6800,108.8386,4488477,0.0000,1.0000
2018-11-23,105.8800,106.4500,105.3100,105.7400,104.9288,938815,0.0000,1.0000
2018-11-21,106.3700,107.6700,106.1300,106.5000,105.6830,2790977,0.0000,1.0000
2018-11-20,107.5500,107.9000,105.4600,106.0900,105.2761,3778956,0.0000,1.0000
2018-11-19,109.9000,110.0150,107.4200,108.2500,107.4196,3161163,0.0000,1.0000
2018-11-16,108.5800,110.3800,108.5800,109.4600,108.6203,3486223,0.0000,1.0000
2018-11-15,106.6800,109.6950,106.3400,109.6000,108.7592,3742645,0.0000,1.0000
2018-11-14,108.6100,109.3300,106.8900,107.7700,106.9433,4978112,0.0000,1.0000
2018-11-13,106.6500,108.2000,106.4700,107.8600,107.0326,3021822,0.0000,1.0000
2018-11-12,108.1600,108.4400,106.3000,106.4900,105.6731,3154601,0.0000,1.0000
2018-11-09,108.3800,109.3300,107.3500,108.2800,107.4493,4444320,0.0000,1.0000
2018-11-08,107.0300,108.6300,107.0300,108.5000,107.6677,2896995,0.0000,1.0000
2018-11-07,105.7300,107.4799,104.8950,107.3100,106.4868,3606904,0.0000,1.0000
2018-11-06,104.9800,105.6600,104.3700,104.9800,104.1747,2856205,0.0000,1.0000
2018-11-05,104.0400,105.4000,103.8000,105.2100,104.4029,2697676,0.0000,1.0000
2018-11-02,104.9300,105.0500,102.8862,103.7100,102.9144,4322249,0.0000,1.0000
2018-11-01,103.2600,104.2700,103.0200,104.0400,103.2419,2786796,0.0000,1.0000
2018-10-31,103.0600,103.7050,102.5500,102.7300,101.9419,4511299,0.0000,1.0000
2018-10-30,101.6000,102.3900,100.4100,102.0800,101.2969,3778198,0.0000,1.0000
2018-10-29,102.4700,103.2500,100.0400,101.1900,100.4137,4238666,0.0000,1.0000
2018-10-26,102.5400,102.6600,100.1400,101.2500,100.4733,5395686,0.0000,1.0000
2018-10-25,102.4800,104.1700,101.8000,103.6000,102.8053,3379071,0.0000,1.0000
2018-10-24,104.4300,104.9500,101.5100,101.8400,101.0588,4057024,0.0000,1.0000
2018-10-23,102.4100,104.5195,101.8400,104.3800,103.5793,4223784,0.0000,1.0000
2018-10-22,106.6100,106.9600,104.4500,104.5100,103.7083,5003265,0.0000,1.0000
2018-10-19,104.0600,107.5500,104.0600,106.7300,105.9112,5726327,0.0000,1.0000
2018-10-18,104.5300,104.7590,102.2900,102.8400,102.0511,4538224,0.0000,1.0000
2018-10-17,104.3300,105.2900,103.9200,104.3400,103.5396,3792354,0.0000,1.0000
2018-10-16,103.0700,104.4700,102.6900,104.2700,103.4701,3121017,0.0000,1.0000
2018-10-15,102.8500,103.5599,102.2100,102.6200,101.8328,2780949,0.0000,1.0000
2018-10-12,104.3100,104.9200,101.7100,103.0000,102.2099,4855985,0.0000,1.0000
2018-10-11,103.2200,104.3400,101.5500,101.5800,100.8007,6069405,0.0000,1.0000
2018-10-10,106.9600,107.0100,103.5226,103.5700,102.7755,4555635,0.0000,1.0000
2018-10-09,106.3000,106.9300,105.9350,106.6600,105.8418,2604364,0.0000,1.0000
2018-10-08,106.6300,107.2300,105.5700,106.9900,106.1692,2723445,0.0000,1.0000
2018-10-05,108.0600,108.4700,106.7200,107.2300,106.4074,2399833,0.0000,1.0000
2018-10-04,108.2500,108.8500,106.8100,107.7400,106.9135,2478824,0.3900,1.0000
2018-10-03,109.2500,109.4000,108.2500,108.4500,107.2299,2505067,0.0000,1.0000
2018-10-02,108.0100,108.4700,107.3100,108.3900,107.1706,2223124,0.0000,1.0000
2018-10-01,107.8100,108.9900,107.6100,107.9000,106.6861,3361319,0.0000,1.0000
2018-09-28,107.2700,107.8700,106.2800,106.4900,105.2919,3931513,0.0000,1.0000
2018-09-27,108.0100,108.3500,107.3400,107.8500,106.6366,2121705,0.0000,1.0000
2018-09-26,110.0800,110.1100,107.8000,108.0100,106.7948,2944245,0.0000,1.0000
2018-09-25,110.2400,110.2400,109.3800,109.8700,108.6339,1910563,0.0000,1.0000
2018-09-24,110.7400,110.8350,109.3500,109.8500,108.6141,1871623,0.0000,1.0000
2018-09-21,111.2900,111.5100,110.7600,110.9000,109.6523,5662932,0.0000,1.0000
2018-09-20,110.8500,111.7700,110.6500,111.1100,109.8600,2844755,0.0000,1.0000
2018-09-19,110.0000,110.4600,109.7300,110.1000,108.8613,2365739,0.0000,1.0000
2018-09-18,109.4400,109.8700,108.9650,109.6400,108.4065,2173236,0.0000,1.0000
2018-09-17,110.2100,110.2400,108.9410,109.2000,107.9715,2383118,0.0000,1.0000
2018-09-14,108.8400,110.0100,108.8400,109.5600,108.3274,2999774,0.0000,1.0000
2018-09-13,108.2000,109.1900,107.9300,108.6600,107.4375,3429550,0.0000,1.0000
2018-09-12,108.3100,108.6850,107.6600,107.8800,106.6663,4103135,0.0000,1.0000
2018-09-11,106.7100,108.4650,106.4700,108.3100,107.0915,2795766,0.0000,1.0000
2018-09-10,106.5600,107.8000,106.5600,107.2900,106.0829,3337016,0.0000,1.0000
2018-09-07,105.6400,106.3450,105.3500,106.0800,104.8866,2498582,0.0000,1.0000
2018-09-06,105.5000,105.8700,104.5500,105.4000,104.2142,3623884,0.0000,1.0000
2018-09-05,107.0000,107.2500,104.8800,105.6800,104.4911,5511854,0.0000,1.0000
2018-09-04,106.3500,107.2700,105.5800,107.0100,105.8061,2941859,0.0000,1.0000
2018-08-31,105.5200,106.4000,105.3000,105.9800,104.7877,2115471,0.0000,1.0000
2018-08-30,106.6000,106.6700,105.9700,106.2300,105.0349,1868328,0.0000,1.0000
2018-08-29,107.0400,107.3100,105.8850,106.7100,105.5095,1896159,0.0000,1.0000
2018-08-28,107.0600,107.4300,106.6784,107.2800,106.0731,2275034,0.0000,1.0000
2018-08-27,106.7900,107.3300,106.2800,107.0500,105.8456,1971966,0.0000,1.0000
2018-08-24,105.9100,106.3400,105.4500,105.7600,104.5702,1844075,0.0000,1.0000
2018-08-23,105.5400,106.0165,105.1600,105.3700,104.1845,1866855,0.0000,1.0000
2018-08-22,104.9000,106.2600,104.5100,105.8300,104.6394,2761309,0.0000,1.0000
2018-08-21,103.9200,105.2500,103.7600,104.8100,103.6308,3218610,0.0000,1.0000
2018-08-20,103.0200,103.9650,102.9310,103.8300,102.6619,2267945,0.0000,1.0000
2018-08-17,102.6300,103.3100,102.0600,103.0300,101.8709,1950759,0.0000,1.0000
2018-08-16,101.9000,103.1400,101.8650,102.6500,101.4951,2290459,0.0000,1.0000
2018-08-15,101.5700,101.9300,100.8400,101.5100,100.3680,2219592,0.0000,1.0000
2018-08-14,101.9300,102.6000,101.8300,102.1800,101.0304,2327169,0.0000,1.0000
2018-08-13,101.4800,102.3000,101.4000,101.8100,100.6646,3389332,0.0000,1.0000
2018-08-10,102.0900,102.2000,101.1700,101.5800,100.4372,2473754,0.0000,1.0000
2018-08-09,102.4400,103.3200,102.2800,102.9900,101.8313,2435472,0.0000,1.0000
2018-08-08,102.0000,102.9500,101.8100,102.7800,101.6237,2228875,0.0000,1.0000
2018-08-07,101.4900,102.7500,101.3700,101.9700,100.8228,1852802,0.0000,1.0000
2018-08-06,100.7700,101.3200,100.4000,100.9200,99.7846,2004583,0.0000,1.0000
2018-08-03,99.9600,100.9000,99.7000,100.7900,99.6561,1830396,0.0000,1.0000
2018-08-02,98.9000,99.9250,98.6700,99.7300,98.6080,2481815,0.0000,1.0000
2018-08-01,99.9000,100.9300,99.1700,99.4500,98.3311,3315376,0.0000,1.0000
2018-07-31,101.0500,101.2000,99.4400,99.5200,98.4004,4330417,0.0000,1.0000
2018-07-30,102.7300,103.1100,100.3500,100.8500,99.7154,4423094,0.0000,1.0000
2018-07-27,102.8700,104.2400,102.6700,103.8500,102.6816,3815881,0.0000,1.0000
2018-07-26,102.8400,103.1500,102.3550,102.5000,101.3468,2743989,0.0000,1.0000
2018-07-25,101.2300,102.7800,101.0800,102.6300,101.4754,2545997,0.0000,1.0000
2018-07-24,101.4600,102.0900,101.1700,101.7100,100.5657,3155065,0.0000,1.0000
2018-07-23,100.1500,101.4008,100.0100,101.2200,100.0812,2617933,0.0000,1.0000
2018-07-20,100.1300,101.3000,99.9800,100.1500,99.0233,3326356,0.0000,1.0000
2018-07-19,100.2000,101.3700,99.2800,100.1700,99.0430,7171098,0.0000,1.0000
2018-07-18,101.5500,103.0700,101.4200,102.9800,101.8214,5923812,0.0000,1.0000
2018-07-17,100.7800,101.4600,100.6500,101.1500,100.0120,3092155,0.0000,1.0000
2018-07-16,100.6000,100.8750,100.0700,100.6900,99.5572,3265143,0.0000,1.0000
2018-07-13,101.0800,101.1500,99.6200,100.5000,99.3693,3456579,0.0000,1.0000
2018-07-12,101.0300,101.3300,100.6000,101.1500,100.0120,3688815,0.0000,1.0000
2018-07-11,99.6600,100.8000,99.6600,100.3000,99.1716,3469606,0.0000,1.0000
2018-07-10,99.9100,100.4700,99.5678,99.9100,98.7860,4675451,0.0000,1.0000
2018-07-09,99.2600,100.0100,99.0800,99.9100,98.7860,4991711,0.0000,1.0000
2018-07-06,98.4600,99.0300,98.2000,98.5200,97.4116,1996861,0.0000,1.0000
2018-07-05,98.3500,98.6300,97.6300,98.5300,97.4215,2385596,0.3500,1.0000
2018-07-03,99.3100,99.3100,97.7200,97.8400,96.3968,2041182,0.0000,1.0000
2018-07-02,97.4000,99.0400,97.1600,99.0000,97.5397,3148710,0.0000,1.0000
2018-06-29,98.1300,99.4800,97.6500,98.0000,96.5545,4698527,0.0000,1.0000
2018-06-28,97.0100,97.4500,96.5700,96.9700,95.5397,3142396,0.0000,1.0000
2018-06-27,98.4300,99.4100,96.9300,96.9600,95.5298,3693718,0.0000,1.0000
2018-06-26,99.5000,99.8300,98.0650,98.2100,96.7614,5166067,0.0000,1.0000
2018-06-25,97.0500,100.0978,95.6500,98.5400,97.0865,7996734,0.0000,1.0000
2018-06-22,97.3500,97.9600,97.0700,97.2300,95.7958,9083001,0.0000,1.0000
2018-06-21,96.1600,96.9600,95.7600,96.6300,95.2047,3350692,0.0000,1.0000
2018-06-20,97.7000,97.8900,96.3575,96.4200,94.9978,4495342,0.0000,1.0000
2018-06-19,97.1400,97.9300,96.6200,97.1400,95.7072,3119593,0.0000,1.0000
2018-06-18,97.8500,98.5500,97.3100,98.4700,97.0175,3621308,0.0000,1.0000
2018-06-15,99.2200,99.2700,97.3100,98.5200,97.0668,6741207,0.0000,1.0000
2018-06-14,100.5200,101.1000,99.5100,99.7600,98.2885,3285470,0.0000,1.0000
2018-06-13,100.8700,100.8800,99.9600,100.0200,98.5447,3183754,0.0000,1.0000
