timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,1048.9300,1050.2700,1032.0700,1045.0500,1045.0500,268835,0.0000,1.0000
2019-04-17,1067.0000,1069.4700,1040.5000,1051.3700,1051.3700,230671,0.0000,1.0000
2019-04-16,1069.3400,1069.9500,1057.9600,1061.5900,1061.5900,245914,0.0000,1.0000
2019-04-15,1064.3100,1074.6700,1057.3300,1064.5900,1064.5900,324063,0.0000,1.0000
2019-04-12,1069.8500,1072.2200,1055.0200,1060.3000,1060.3000,247449,0.0000,1.0000
2019-04-11,1063.6700,1070.9200,1058.7300,1068.5700,1068.5700,261472,0.0000,1.0000
2019-04-10,1046.8800,1062.5200,1042.3200,1060.1700,1060.1700,324925,0.0000,1.0000
2019-04-09,1050.0000,1054.4100,1037.6600,1040.4000,1040.4000,276688,0.0000,1.0000
2019-04-08,1048.1600,1058.3100,1044.0000,1052.5400,1052.5400,290116,0.0000,1.0000
2019-04-05,1045.0000,1049.7300,1037.2700,1048.5200,1048.5200,251980,0.0000,1.0000
2019-04-04,1044.4700,1048.8700,1033.9500,1040.6900,1040.6900,219153,0.0000,1.0000
2019-04-03,1046.5600,1049.5800,1041.8400,1045.5300,1045.5300,187071,0.0000,1.0000
2019-04-02,1032.0000,1044.3800,1029.7900,1041.9800,1041.9800,202711,0.0000,1.0000
2019-04-01,1039.3300,1048.5300,1018.2200,1029.7100,1029.7100,332428,0.0000,1.0000
2019-03-29,1010.1400,1028.1000,1005.0200,1024.1200,1024.1200,322034,0.0000,1.0000
2019-03-28,1004.9100,1011.4600,1003.6500,1005.1700,1005.1700,239988,0.0000,1.0000
2019-03-27,996.4200,1007.5800,989.5332,1003.2000,1003.2000,271271,0.0000,1.0000
2019-03-26,999.3100,1004.6200,987.2800,997.3100,997.3100,262281,0.0000,1.0000
2019-03-25,982.4700,1002.0000,982.4700,995.8600,995.8600,197090,0.0000,1.0000
2019-03-22,999.9700,1015.7800,979.2500,981.2700,981.2700,299034,0.0000,1.0000
2019-03-21,984.5000,1003.7400,983.4600,1001.0900,1001.0900,292434,0.0000,1.0000
2019-03-20,976.0900,982.9800,970.8000,980.9800,980.9800,323647,0.0000,1.0000
2019-03-19,980.0000,988.2400,976.3800,978.9900,978.9900,315334,0.0000,1.0000
2019-03-18,961.8400,984.7250,961.8400,975.5900,975.5900,418941,0.0000,1.0000
2019-03-15,950.7100,962.4600,943.8700,962.2300,962.2300,359105,0.0000,1.0000
2019-03-14,943.7000,952.7100,938.2850,950.2200,950.2200,375098,0.0000,1.0000
2019-03-13,936.5800,942.7300,932.9100,940.5800,940.5800,301160,0.0000,1.0000
2019-03-12,942.8200,942.8200,924.2500,934.6100,934.6100,249690,0.0000,1.0000
2019-03-11,948.1100,948.6952,937.6600,940.0300,940.0300,288341,0.0000,1.0000
2019-03-08,939.1200,942.0000,929.3350,934.7300,934.7300,252044,0.0000,1.0000
2019-03-07,933.9100,943.6200,932.1300,940.5500,940.5500,445882,0.0000,1.0000
2019-03-06,944.2200,952.9900,934.7800,935.3500,935.3500,298981,0.0000,1.0000
2019-03-05,935.0000,948.0000,930.4200,939.8300,939.8300,288713,0.0000,1.0000
2019-03-04,934.4100,939.0000,916.8500,932.9500,932.9500,298271,0.0000,1.0000
2019-03-01,945.3900,946.0000,919.5800,929.3200,929.3200,465676,0.0000,1.0000
2019-02-28,910.1600,938.9700,910.1600,938.9700,938.9700,667888,0.0000,1.0000
2019-02-27,900.0000,925.8500,900.0000,911.9300,911.9300,430636,0.0000,1.0000
2019-02-26,959.8900,964.3900,932.3900,935.0000,935.0000,781446,0.0000,1.0000
2019-02-25,913.4000,914.8300,886.9500,889.6000,889.6000,364329,0.0000,1.0000
2019-02-22,910.6500,914.2400,901.0400,911.6600,911.6600,240249,0.0000,1.0000
2019-02-21,921.9600,921.9600,905.3900,906.3300,906.3300,244553,0.0000,1.0000
2019-02-20,917.0000,925.0000,908.9200,921.1400,921.1400,271188,0.0000,1.0000
2019-02-19,920.0000,926.7500,910.0100,916.6800,916.6800,293176,0.0000,1.0000
2019-02-15,910.8300,922.2800,909.0000,919.7500,919.7500,293014,0.0000,1.0000
2019-02-14,888.0400,908.7700,885.5100,904.9600,904.9600,381988,0.0000,1.0000
2019-02-13,890.4400,894.5450,882.8700,891.3600,891.3600,289517,0.0000,1.0000
2019-02-12,888.5500,899.9900,887.9200,890.9000,890.9000,362748,0.0000,1.0000
2019-02-11,875.3800,888.8700,871.3300,887.9100,887.9100,276708,0.0000,1.0000
2019-02-08,873.1600,889.8800,868.7500,874.0800,874.0800,278804,0.0000,1.0000
2019-02-07,874.8800,879.9500,860.0000,878.7700,878.7700,316141,0.0000,1.0000
2019-02-06,870.8600,873.9800,863.9750,868.0800,868.0800,238830,0.0000,1.0000
2019-02-05,873.7400,878.0200,863.5900,869.4200,869.4200,281378,0.0000,1.0000
2019-02-04,852.3000,869.9130,848.3900,869.4400,869.4400,243032,0.0000,1.0000
2019-02-01,848.0000,854.4700,838.5250,849.9100,849.9100,253943,0.0000,1.0000
2019-01-31,844.6700,848.4400,832.6200,847.3400,847.3400,494711,0.0000,1.0000
