timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,57.0700,58.8000,57.0200,58.5100,58.5100,2430135,0.0000,1.0000
2019-04-17,57.9800,57.9800,57.0000,57.0500,57.0500,1650210,0.0000,1.0000
2019-04-16,58.1700,58.4600,57.3650,57.5600,57.5600,1643089,0.0000,1.0000
2019-04-15,58.2700,58.7400,58.1200,58.3400,58.3400,1420146,0.0000,1.0000
2019-04-12,58.7300,58.8550,57.9650,58.0300,58.0300,1889536,0.0000,1.0000
2019-04-11,58.3000,58.7000,58.0300,58.6200,58.6200,1541786,0.0000,1.0000
2019-04-10,57.8700,58.4700,57.6300,58.2500,58.2500,1909974,0.0000,1.0000
2019-04-09,57.7800,57.7800,57.4400,57.6400,57.6400,2191965,0.0000,1.0000
2019-04-08,58.0400,58.4800,57.3900,58.2000,58.2000,1662909,0.0000,1.0000
2019-04-05,57.9100,58.3500,57.8000,58.1100,58.1100,2416634,0.0000,1.0000
2019-04-04,57.9800,58.2100,57.7600,58.0000,58.0000,1316785,0.0000,1.0000
2019-04-03,58.1700,58.2900,57.8700,58.0200,58.0200,2377007,0.0000,1.0000
2019-04-02,58.5600,58.6300,57.9600,57.9800,57.9800,1640883,0.0000,1.0000
2019-04-01,58.0900,58.5700,57.8500,58.4000,58.4000,2181611,0.0000,1.0000
2019-03-29,58.2100,58.4000,57.6200,57.8600,57.8600,2795432,0.0000,1.0000
2019-03-28,58.3700,58.5300,57.8400,57.9400,57.9400,1918480,0.0000,1.0000
2019-03-27,58.2500,58.5900,57.7900,58.1900,58.1900,1808403,0.0000,1.0000
2019-03-26,58.4900,58.5800,57.8950,58.2500,58.2500,2291767,0.0000,1.0000
2019-03-25,57.8300,58.2900,57.6100,58.1100,58.1100,2483796,0.0000,1.0000
2019-03-22,58.6800,58.7950,57.9300,57.9400,57.9400,1378147,0.0000,1.0000
2019-03-21,58.0700,58.9500,57.9600,58.8400,58.8400,1261189,0.0000,1.0000
2019-03-20,58.0600,58.5000,57.6900,58.1200,58.1200,1905188,0.0000,1.0000
2019-03-19,58.0800,58.2400,57.7800,58.0600,58.0600,2555812,0.0000,1.0000
2019-03-18,57.5200,57.8800,57.2400,57.8800,57.8800,2252164,0.0000,1.0000
2019-03-15,57.2100,57.5000,56.8700,57.5000,57.5000,3153738,0.0000,1.0000
2019-03-14,57.0000,57.3900,56.9700,57.2700,57.2700,3171815,0.0000,1.0000
2019-03-13,56.7900,57.2700,56.6300,57.1100,57.1100,4073998,0.0000,1.0000
2019-03-12,55.7500,56.7250,55.6200,56.6300,56.6300,2518026,0.0000,1.0000
2019-03-11,55.0400,55.7300,55.0250,55.6000,55.6000,3404941,0.0000,1.0000
2019-03-08,53.9700,55.0800,53.7200,55.0100,55.0100,1872644,0.0000,1.0000
2019-03-07,55.0900,55.2499,54.4000,54.6800,54.6800,1833561,0.0000,1.0000
2019-03-06,56.0000,56.0100,55.1300,55.4200,55.4200,1395881,0.0000,1.0000
2019-03-05,55.2500,56.1000,55.1100,55.9600,55.9600,1996962,0.0000,1.0000
2019-03-04,55.4300,55.6400,54.3781,55.2500,55.2500,1533321,0.0000,1.0000
2019-03-01,55.0600,55.5000,54.8300,55.2100,55.2100,2349125,0.0000,1.0000
2019-02-28,55.2600,55.6400,54.7000,54.7800,54.7800,3253140,0.1000,1.0000
2019-02-27,54.5800,55.6100,54.5800,55.5000,55.3989,2507020,0.0000,1.0000
2019-02-26,54.9200,55.0600,54.6400,54.6700,54.5704,1295588,0.0000,1.0000
2019-02-25,55.4700,55.5000,54.7900,54.8800,54.7800,1813494,0.0000,1.0000
2019-02-22,54.7500,55.3100,54.5600,55.2600,55.1593,1877729,0.0000,1.0000
2019-02-21,54.6400,54.6900,54.1400,54.4800,54.3807,2454150,0.0000,1.0000
2019-02-20,54.2000,54.7600,54.0900,54.4000,54.3009,1972013,0.0000,1.0000
2019-02-19,54.2200,54.2200,53.9700,54.0600,53.9615,2998548,0.0000,1.0000
2019-02-15,55.0700,55.1200,54.0800,54.1300,54.0314,3568245,0.0000,1.0000
2019-02-14,55.0000,55.2050,54.6300,54.9500,54.8499,1942936,0.0000,1.0000
2019-02-13,55.0900,55.4816,54.9700,55.2000,55.0994,2094961,0.0000,1.0000
2019-02-12,54.0000,54.9300,53.9100,54.9000,54.8000,2559511,0.0000,1.0000
2019-02-11,54.0000,54.2999,53.4600,53.8500,53.7519,3518379,0.0000,1.0000
2019-02-08,53.0800,53.9100,52.8400,53.9000,53.8018,2926368,0.0000,1.0000
2019-02-07,52.7500,53.3500,52.5100,53.2600,53.1630,3031383,0.0000,1.0000
2019-02-06,52.5600,53.4700,52.4000,53.2100,53.1130,2349380,0.0000,1.0000
2019-02-05,51.9800,53.0300,51.8200,53.0000,52.9034,3055287,0.0000,1.0000
2019-02-04,52.1600,52.4892,51.4800,51.9800,51.8853,2456548,0.0000,1.0000
2019-02-01,52.3700,53.1300,51.8750,52.0300,51.9352,4064450,0.0000,1.0000
2019-01-31,50.0000,52.6800,48.8100,52.2800,52.1847,7825375,0.0000,1.0000
2019-01-30,51.6600,51.9600,51.1600,51.1800,51.0867,3065787,0.0000,1.0000
2019-01-29,50.7800,51.3535,50.7400,51.3200,51.2265,2338799,0.0000,1.0000
2019-01-28,51.5800,51.5960,50.7100,50.7900,50.6975,2543049,0.0000,1.0000
2019-01-25,51.2600,52.1800,51.1500,51.7500,51.6557,2970224,0.0000,1.0000
2019-01-24,51.1100,51.7600,50.6400,50.8600,50.7673,3401403,0.0000,1.0000
2019-01-23,50.8500,51.2100,50.0200,50.7800,50.6875,2198753,0.0000,1.0000
2019-01-22,50.0800,50.9900,49.9200,50.7200,50.6276,3093816,0.0000,1.0000
2019-01-18,49.7000,50.3900,49.4800,50.2600,50.1684,2328041,0.0000,1.0000
2019-01-17,48.6300,49.6000,48.5350,49.5000,49.4098,2477037,0.0000,1.0000
2019-01-16,49.2300,49.5600,48.3500,48.4400,48.3517,3273504,0.0000,1.0000
2019-01-15,48.3800,49.4600,48.3450,49.3000,49.2102,2827773,0.0000,1.0000
2019-01-14,47.8600,48.5000,47.7300,48.4700,48.3817,2387190,0.0000,1.0000
2019-01-11,47.5200,48.2200,47.5200,48.1200,48.0323,1783278,0.0000,1.0000
2019-01-10,46.8200,47.8100,46.7300,47.6500,47.5632,2058424,0.0000,1.0000
2019-01-09,46.9200,47.2950,46.3500,47.0900,47.0042,2445129,0.0000,1.0000
2019-01-08,46.7800,47.3500,46.7200,46.9100,46.8245,3122772,0.0000,1.0000
2019-01-07,45.6200,47.1150,45.3600,46.4400,46.3554,2973285,0.0000,1.0000
