timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-11-06,44.4400,44.4400,44.4400,44.4400,44.4400,0,0.0000,1.0000
2018-11-05,44.4400,44.4400,44.4400,44.4400,44.4400,111611,0.0000,1.0000
2018-11-02,44.4400,44.4700,44.4100,44.4400,44.4400,23218460,0.0000,1.0000
2018-11-01,44.3100,44.4400,44.3000,44.4100,44.4100,7257477,0.0000,1.0000
2018-10-31,44.2800,44.4000,44.1500,44.3600,44.3600,5562383,0.0000,1.0000
2018-10-30,44.2100,44.3800,44.1800,44.2700,44.2700,6284845,0.0000,1.0000
2018-10-29,44.1400,44.3000,44.0200,44.1700,44.1700,4781582,0.0000,1.0000
2018-10-26,43.7900,44.0500,43.7200,43.9600,43.9600,5029549,0.0000,1.0000
2018-10-25,43.8000,43.9800,43.7000,43.9000,43.9000,3181145,0.0000,1.0000
2018-10-24,43.9000,43.9400,43.5900,43.6100,43.6100,8195073,0.0000,1.0000
2018-10-23,43.8500,44.0400,43.8200,43.8800,43.8800,4754687,0.0000,1.0000
2018-10-22,43.8800,44.0100,43.8700,43.9200,43.9200,2270704,0.0000,1.0000
2018-10-19,44.0000,44.0800,43.8900,43.9600,43.9600,3833727,0.0000,1.0000
2018-10-18,43.9800,44.0050,43.8500,43.9000,43.9000,4021622,0.0000,1.0000
2018-10-17,43.8000,44.0000,43.7400,43.9800,43.9800,4942684,0.0000,1.0000
2018-10-16,43.9000,43.9800,43.7300,43.8100,43.8100,3980616,0.0000,1.0000
2018-10-15,44.0000,44.0000,43.7700,43.8300,43.8300,7340613,0.0000,1.0000
2018-10-12,43.4600,43.9300,43.3300,43.7000,43.7000,10570085,0.0000,1.0000
2018-10-11,42.8500,43.6200,42.8200,43.4700,43.4700,11825453,0.0000,1.0000
2018-10-10,43.9800,44.0200,41.0400,42.8300,42.8300,22434272,0.0000,1.0000
2018-10-09,44.0200,44.0900,44.0000,44.0000,44.0000,2244968,0.0000,1.0000
2018-10-08,44.0600,44.1000,43.9350,43.9700,43.9700,2840426,0.0000,1.0000
2018-10-05,44.0600,44.1000,44.0400,44.0600,44.0600,1836312,0.0000,1.0000
2018-10-04,44.0700,44.1300,44.0000,44.0600,44.0600,3253900,0.0000,1.0000
2018-10-03,44.1000,44.1500,44.0700,44.0700,44.0700,3650504,0.0000,1.0000
2018-10-02,44.1100,44.1500,44.0500,44.0600,44.0600,2185853,0.0000,1.0000
2018-10-01,44.1600,44.1800,44.0750,44.1000,44.1000,1610504,0.0000,1.0000
2018-09-28,44.0400,44.1500,44.0100,44.1500,44.1500,3800980,0.0000,1.0000
2018-09-27,44.0800,44.1100,44.0100,44.0100,44.0100,2118128,0.0000,1.0000
2018-09-26,44.0900,44.1100,44.0600,44.0600,44.0600,1974424,0.0000,1.0000
2018-09-25,44.0500,44.1000,44.0300,44.0600,44.0600,1512649,0.0000,1.0000
2018-09-24,44.0000,44.1200,44.0000,44.0700,44.0700,2226851,0.0000,1.0000
2018-09-21,44.0900,44.1150,44.0000,44.0900,44.0900,4318578,0.0000,1.0000
2018-09-20,44.1000,44.1900,43.9850,44.0200,44.0200,3964528,0.0000,1.0000
2018-09-19,44.0400,44.1300,44.0400,44.1000,44.1000,2366453,0.0000,1.0000
2018-09-18,44.0100,44.1200,44.0100,44.0100,44.0100,2381842,0.0000,1.0000
2018-09-17,44.0300,44.0800,44.0200,44.0300,44.0300,2137556,0.0000,1.0000
2018-09-14,44.0000,44.0650,43.9500,44.0500,44.0500,2378892,0.0000,1.0000
2018-09-13,44.1700,44.1700,43.9200,43.9500,43.9500,6333761,0.0000,1.0000
2018-09-12,43.9500,44.0500,43.9000,43.9200,43.9200,3597001,0.0000,1.0000
2018-09-11,43.9100,43.9700,43.9100,43.9700,43.9700,1583587,0.0000,1.0000
2018-09-10,43.9400,43.9800,43.8800,43.9100,43.9100,2266309,0.0000,1.0000
2018-09-07,43.7995,43.9700,43.7995,43.8800,43.8800,2672609,0.0000,1.0000
2018-09-06,43.8200,43.9100,43.7500,43.8500,43.8500,2884920,0.0000,1.0000
2018-09-05,43.8000,43.9500,43.8000,43.8800,43.8800,2013200,0.0000,1.0000
2018-09-04,43.7400,43.8600,43.7400,43.8100,43.8100,2961877,0.0000,1.0000
2018-08-31,43.8500,43.9000,43.7000,43.8000,43.8000,3357549,0.0000,1.0000
2018-08-30,43.8200,43.8900,43.7200,43.8200,43.8200,2815000,0.0000,1.0000
2018-08-29,43.8000,43.9800,43.7600,43.8200,43.8200,4030351,0.0000,1.0000
2018-08-28,43.9000,43.9337,43.7600,43.8500,43.8500,3641011,0.0000,1.0000
2018-08-27,44.0500,44.0500,43.8500,43.9000,43.9000,2984839,0.0000,1.0000
2018-08-24,43.9200,44.0750,43.8500,43.9400,43.9400,8401451,0.0000,1.0000
2018-08-23,43.5900,43.7700,43.5500,43.7500,43.7500,2818178,0.0000,1.0000
2018-08-22,43.5000,43.6500,43.4800,43.6400,43.6400,2546731,0.2550,1.0000
2018-08-21,43.7100,43.8800,43.6900,43.7000,43.4461,3153083,0.0000,1.0000
2018-08-20,43.6300,43.7600,43.5800,43.7200,43.4660,3816582,0.0000,1.0000
2018-08-17,43.5500,43.7000,43.5400,43.6300,43.3765,2742691,0.0000,1.0000
2018-08-16,43.4900,43.7500,43.4600,43.6100,43.3567,5848765,0.0000,1.0000
2018-08-15,43.5100,43.6700,43.5000,43.5900,43.3368,3676423,0.0000,1.0000
2018-08-14,43.4600,43.7700,43.4400,43.6300,43.3765,4841852,0.0000,1.0000
2018-08-13,43.4100,43.6800,43.3600,43.4600,43.2075,5890926,0.0000,1.0000
2018-08-10,43.3200,43.5200,43.2200,43.3800,43.1280,5026157,0.0000,1.0000
2018-08-09,43.7000,43.7100,43.3300,43.3600,43.1081,5818675,0.0000,1.0000
2018-08-08,43.8200,43.8500,43.7000,43.7100,43.4561,4235534,0.0000,1.0000
2018-08-07,43.8900,43.9100,43.6400,43.8000,43.5456,6920280,0.0000,1.0000
2018-08-06,44.0600,44.0800,43.8700,43.8900,43.6350,8072926,0.0000,1.0000
2018-08-03,44.0400,44.0800,44.0200,44.0800,43.8239,3983201,0.0000,1.0000
2018-08-02,44.0300,44.0900,44.0100,44.0300,43.7742,3064633,0.0000,1.0000
2018-08-01,44.1500,44.1900,43.9900,44.0800,43.8239,6397034,0.0000,1.0000
2018-07-31,44.0100,44.2500,44.0100,44.2100,43.9532,6291133,0.0000,1.0000
2018-07-30,43.9800,44.1200,43.9500,44.0400,43.7842,5718463,0.0000,1.0000
2018-07-27,43.9600,44.0000,43.9100,43.9700,43.7146,4049767,0.0000,1.0000
2018-07-26,44.0600,44.1900,43.9000,43.9000,43.6450,7553592,0.0000,1.0000
2018-07-25,43.9900,44.0800,43.9500,44.0500,43.7941,7931265,0.0000,1.0000
2018-07-24,43.9700,44.0000,43.9100,43.9800,43.7245,6387517,0.0000,1.0000
2018-07-23,43.9700,43.9900,43.9000,43.9600,43.7046,6514238,0.0000,1.0000
2018-07-20,43.9900,44.0000,43.9500,43.9800,43.7245,8794621,0.0000,1.0000
2018-07-19,44.0300,44.0600,43.9500,43.9900,43.7344,8417091,0.0000,1.0000
2018-07-18,44.0900,44.1200,43.9950,44.0200,43.7643,10738938,0.0000,1.0000
2018-07-17,44.0500,44.1200,44.0250,44.0900,43.8339,7948637,0.0000,1.0000
2018-07-16,44.0600,44.0900,44.0000,44.0500,43.7941,8849216,0.0000,1.0000
2018-07-13,44.1100,44.1900,43.9900,44.0600,43.8040,21305577,0.0000,1.0000
2018-07-12,43.9000,44.2000,43.8300,44.1500,43.8935,76595709,0.0000,1.0000
2018-07-11,36.8800,37.2500,36.8497,37.2100,36.9938,2874943,0.0000,1.0000
2018-07-10,37.1600,37.2000,36.9430,37.1500,36.9342,2010625,0.0000,1.0000
2018-07-09,36.7900,37.0200,36.7450,37.0200,36.8049,1437280,0.0000,1.0000
2018-07-06,36.5000,36.9000,36.3700,36.7300,36.5166,1436503,0.0000,1.0000
2018-07-05,36.0900,36.4700,35.9800,36.4700,36.2581,1852336,0.0000,1.0000
2018-07-03,36.2500,36.3500,35.8750,35.9100,35.7014,1755927,0.0000,1.0000
2018-07-02,35.5500,36.1650,35.4800,36.1500,35.9400,2083223,0.0000,1.0000
2018-06-29,35.4700,35.8200,35.4700,35.6500,35.4429,2667428,0.0000,1.0000
2018-06-28,35.2700,35.5500,35.0101,35.5200,35.3137,2204232,0.0000,1.0000
2018-06-27,36.2200,36.2800,35.3100,35.3100,35.1049,2233388,0.0000,1.0000
2018-06-26,36.0000,36.2900,35.9500,36.1700,35.9599,2986401,0.0000,1.0000
2018-06-25,36.0400,36.1600,35.4900,35.8500,35.6417,3213648,0.0000,1.0000
2018-06-22,36.2300,36.2500,35.9200,36.1500,35.9400,2143730,0.0000,1.0000
2018-06-21,36.3700,36.5400,35.9550,36.1300,35.9201,2382948,0.0000,1.0000
2018-06-20,36.9300,36.9700,36.3500,36.3900,36.1786,2950352,0.0000,1.0000
2018-06-19,36.7700,36.9900,36.6800,36.9300,36.7155,2563624,0.0000,1.0000
2018-06-18,36.9900,37.2400,36.8000,37.1000,36.8845,1645043,0.0000,1.0000
2018-06-15,37.0600,37.3500,36.7700,37.2700,37.0535,4267081,0.0000,1.0000
2018-06-14,37.2100,37.3000,36.5000,37.0600,36.8447,2465943,0.0000,1.0000
2018-06-13,36.8800,37.2600,36.8250,37.0600,36.8447,2751661,0.0000,1.0000
2018-06-12,36.5100,36.8900,36.3900,36.8600,36.6459,2891531,0.0000,1.0000
2018-06-11,36.2800,36.5800,36.1900,36.4000,36.1885,2616087,0.0000,1.0000
2018-06-08,36.2000,36.3800,36.0331,36.2800,36.0692,2390657,0.0000,1.0000
2018-06-07,36.4700,36.5300,36.1500,36.3300,36.1189,2065365,0.0000,1.0000
2018-06-06,36.1400,36.4800,36.0100,36.4600,36.2482,1445433,0.0000,1.0000
2018-06-05,36.1400,36.3300,35.9800,36.1300,35.9201,2703461,0.0000,1.0000
2018-06-04,36.2200,36.2900,36.0100,36.1000,35.8903,2331639,0.0000,1.0000
2018-06-01,35.9000,36.1500,35.7600,36.0100,35.8008,2176491,0.0000,1.0000
2018-05-31,35.5400,35.7800,35.2600,35.7400,35.5324,3836436,0.0000,1.0000
2018-05-30,35.3600,35.7300,35.2800,35.5600,35.3534,2668480,0.0000,1.0000
2018-05-29,35.3900,35.5000,35.0400,35.2800,35.0750,2221785,0.0000,1.0000
2018-05-25,35.5700,35.8000,35.4100,35.5600,35.3534,1818822,0.0000,1.0000
2018-05-24,35.0800,35.8900,35.0800,35.5700,35.3634,2424890,0.0000,1.0000
2018-05-23,35.0100,35.4600,35.0100,35.4400,35.2341,2621415,0.0000,1.0000
2018-05-22,35.6000,35.6500,35.1940,35.2800,35.0750,1431401,0.0000,1.0000
2018-05-21,35.5200,35.7100,35.3600,35.5000,35.2938,1949254,0.0000,1.0000
2018-05-18,35.1400,35.3500,35.0000,35.1700,34.9657,1824416,0.0000,1.0000
2018-05-17,35.0000,35.3450,34.8200,35.0700,34.8663,2437785,0.0000,1.0000
2018-05-16,34.9300,35.2700,33.6000,35.1300,34.9259,2024154,0.2550,1.0000
2018-05-15,34.9200,35.3300,34.7200,35.2800,34.8223,2727530,0.0000,1.0000
2018-05-14,35.3700,35.4800,34.9250,35.0900,34.6347,3616670,0.0000,1.0000
2018-05-11,35.0400,35.4500,34.7800,35.3200,34.8618,2906097,0.0000,1.0000
2018-05-10,34.5400,35.2500,34.5400,35.1000,34.6446,3208514,0.0000,1.0000
2018-05-09,35.7700,35.7700,33.7700,34.4000,33.9537,4046985,0.0000,1.0000
2018-05-08,34.6000,34.6400,34.2800,34.5600,34.1116,3161384,0.0000,1.0000
2018-05-07,34.7300,34.9100,34.4600,34.5600,34.1116,2459300,0.0000,1.0000
2018-05-04,33.8400,34.7950,33.8400,34.7100,34.2597,1628107,0.0000,1.0000
2018-05-03,33.8700,34.2500,33.5100,34.0600,33.6181,2170300,0.0000,1.0000
2018-05-02,34.7900,34.7900,33.9400,33.9600,33.5194,2612372,0.0000,1.0000
2018-05-01,34.6800,34.9900,34.5400,34.9700,34.5163,1372745,0.0000,1.0000
2018-04-30,34.9300,35.0300,34.6500,34.8000,34.3485,1622527,0.0000,1.0000
2018-04-27,34.7700,35.0900,34.6250,34.8800,34.4275,1098307,0.0000,1.0000
2018-04-26,34.7200,34.9250,34.2700,34.7800,34.3288,1803800,0.0000,1.0000
2018-04-25,34.5900,34.7300,34.1600,34.5000,34.0524,1767241,0.0000,1.0000
2018-04-24,34.9700,35.2000,34.5600,34.7000,34.2498,2563024,0.0000,1.0000
2018-04-23,34.5900,34.8600,34.5450,34.7500,34.2992,1937540,0.0000,1.0000
2018-04-20,34.8900,34.9100,34.3400,34.5800,34.1314,1578789,0.0000,1.0000
2018-04-19,34.8800,35.0300,34.2620,34.8400,34.3880,1356814,0.0000,1.0000
2018-04-18,35.1800,35.2000,34.9100,35.0300,34.5755,1904943,0.0000,1.0000
2018-04-17,35.2300,35.2300,34.9150,35.0600,34.6051,2370772,0.0000,1.0000
2018-04-16,34.8100,35.1700,34.7000,35.0000,34.5459,2082881,0.0000,1.0000
2018-04-13,34.7000,34.7000,34.1300,34.5100,34.0623,1524583,0.0000,1.0000
2018-04-12,34.7100,34.9100,33.3300,34.5400,34.0919,2710715,0.0000,1.0000
2018-04-11,34.2200,34.7900,34.0400,34.4900,34.0425,2604050,0.0000,1.0000
2018-04-10,33.7900,34.6200,33.7800,34.5300,34.0820,4943729,0.0000,1.0000
2018-04-09,33.4000,33.8300,33.2700,33.2900,32.8581,1549632,0.0000,1.0000
2018-04-06,33.6300,33.8200,32.9500,33.1800,32.7495,2192775,0.0000,1.0000
2018-04-05,34.0700,34.1100,33.6500,33.9100,33.4701,1768231,0.0000,1.0000
2018-04-04,32.7300,33.9600,32.6000,33.8400,33.4010,3371788,0.0000,1.0000
2018-04-03,32.9000,33.2500,32.6100,33.1100,32.6804,3027063,0.0000,1.0000
2018-04-02,33.7200,33.8500,32.4500,32.7000,32.2758,3284507,0.0000,1.0000
2018-03-29,33.6800,34.1700,33.3900,33.9000,33.4602,2489463,0.0000,1.0000
2018-03-28,33.5200,33.7500,33.2800,33.4800,33.0456,2709086,0.0000,1.0000
2018-03-27,34.5500,34.5800,33.2400,33.4300,32.9963,2178803,0.0000,1.0000
2018-03-26,33.7100,34.2000,33.5600,34.1500,33.7069,2509725,0.0000,1.0000
2018-03-23,34.3200,34.4500,33.2300,33.2400,32.8087,2477019,0.0000,1.0000
2018-03-22,33.1100,35.0800,33.1100,34.3100,33.8649,2554943,0.0000,1.0000
2018-03-21,35.4200,35.6800,35.2000,35.3100,34.8519,2311032,0.0000,1.0000
2018-03-20,35.4100,35.8100,35.2550,35.4000,34.9407,2502889,0.0000,1.0000
2018-03-19,35.6400,35.7900,35.0900,35.3800,34.9210,1905907,0.0000,1.0000
2018-03-16,35.7300,36.1600,35.6100,35.7900,35.3257,4016108,0.0000,1.0000
2018-03-15,35.8700,35.9200,35.5800,35.6900,35.2270,2161566,0.0000,1.0000
2018-03-14,36.5000,36.5700,35.7500,35.8400,35.3750,2375177,0.0000,1.0000
2018-03-13,36.9500,37.0300,36.1500,36.2700,35.7994,2873208,0.0000,1.0000
2018-03-12,37.1600,37.2500,36.4750,36.8100,36.3324,2886081,0.0000,1.0000
2018-03-09,36.4700,37.1300,36.3100,37.1200,36.6384,3278240,0.0000,1.0000
2018-03-08,36.0500,36.2150,35.7700,36.1600,35.6909,2113586,0.0000,1.0000
2018-03-07,35.5900,36.0500,35.5798,35.9600,35.4935,1899921,0.0000,1.0000
2018-03-06,35.6400,35.7350,35.3500,35.7200,35.2566,1619412,0.0000,1.0000
2018-03-05,35.1100,35.6700,35.0450,35.5400,35.0789,2282959,0.0000,1.0000
2018-03-02,35.2000,35.3900,34.9850,35.3200,34.8618,2657112,0.0000,1.0000
2018-03-01,35.2100,35.5600,34.9000,35.2000,34.7433,4296464,0.0000,1.0000
2018-02-28,35.4200,35.7100,35.1000,35.1000,34.6446,2880556,0.0000,1.0000
2018-02-27,35.4600,35.8200,35.2500,35.2500,34.7927,2867300,0.0000,1.0000
2018-02-26,35.5000,35.6700,35.2400,35.3600,34.9012,3041100,0.0000,1.0000
2018-02-23,35.0600,35.4700,34.9550,35.4300,34.9703,3180916,0.0000,1.0000
2018-02-22,34.8100,35.2600,34.7700,34.8500,34.3979,3053049,0.0000,1.0000
2018-02-21,34.9000,35.2200,34.6750,34.6900,34.2399,3343420,0.2550,1.0000
2018-02-20,35.1400,35.4000,34.9350,35.0600,34.3526,2192403,0.0000,1.0000
2018-02-16,35.2900,35.7400,35.2350,35.3400,34.6270,1770418,0.0000,1.0000
2018-02-15,34.9300,35.3600,34.6500,35.2400,34.5290,2113455,0.0000,1.0000
2018-02-14,33.9500,34.7900,33.7600,34.7500,34.0489,2985373,0.0000,1.0000
2018-02-13,33.9100,34.2050,33.8300,34.1800,33.4904,2325834,0.0000,1.0000
2018-02-12,33.6300,34.1300,33.6300,34.0200,33.3336,2862482,0.0000,1.0000
2018-02-09,33.0100,33.7400,32.4700,33.4500,32.7751,4115337,0.0000,1.0000
2018-02-08,33.9300,33.9300,32.6400,32.6600,32.0010,3809299,0.0000,1.0000
2018-02-07,33.5500,34.4000,33.4500,34.0000,33.3140,4073162,0.0000,1.0000
2018-02-06,33.0800,33.8250,32.6400,33.7000,33.0201,3985713,0.0000,1.0000
2018-02-05,34.9400,35.0500,33.5500,33.5600,32.8829,3970663,0.0000,1.0000
2018-02-02,34.5300,35.4000,34.5300,34.9700,34.2644,2963798,0.0000,1.0000
2018-02-01,35.7400,35.8900,35.2300,35.3800,34.6662,3082626,0.0000,1.0000
2018-01-31,35.7500,36.5600,35.1800,35.8500,35.1267,4501032,0.0000,1.0000
2018-01-30,35.4900,35.9200,35.2200,35.5500,34.8327,3256475,0.0000,1.0000
2018-01-29,35.7900,35.9300,35.5600,35.6400,34.9209,2061775,0.0000,1.0000
2018-01-26,35.3100,35.9200,35.1400,35.9000,35.1757,2230182,0.0000,1.0000
2018-01-25,35.0600,35.4600,34.9300,35.1300,34.4212,3240278,0.0000,1.0000
2018-01-24,34.9500,35.2600,34.7300,34.9000,34.1958,2230182,0.0000,1.0000
2018-01-23,34.6300,35.1000,34.5500,34.7500,34.0489,2270739,0.0000,1.0000
2018-01-22,34.0800,34.7300,33.9800,34.7200,34.0195,1970881,0.0000,1.0000
2018-01-19,34.1900,34.4300,33.9100,34.0700,33.3826,2827027,0.0000,1.0000
2018-01-18,34.4400,34.6100,33.9200,34.1900,33.5002,2225536,0.0000,1.0000
2018-01-17,34.2800,34.5250,34.1500,34.4700,33.7745,1252488,0.0000,1.0000
2018-01-16,34.2600,34.5500,34.0000,34.0200,33.3336,2059305,0.0000,1.0000
