timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,142.8000,144.7700,142.4200,143.3600,143.3600,4504507,0.8600,1.0000
2019-04-17,143.0000,144.4950,142.4600,142.7400,141.8888,3469375,0.0000,1.0000
2019-04-16,140.5600,142.2100,139.5900,142.0300,141.1831,2673062,0.0000,1.0000
2019-04-15,141.6700,142.4300,139.6700,140.2500,139.4137,3030187,0.0000,1.0000
2019-04-12,141.0000,141.9200,139.8100,141.2000,140.3580,4382980,0.0000,1.0000
2019-04-11,137.5900,139.5850,136.9800,138.8700,138.0419,2762939,0.0000,1.0000
2019-04-10,137.1600,138.2099,136.2800,137.5300,136.7099,3310886,0.0000,1.0000
2019-04-09,138.6500,138.9050,136.0700,136.3500,135.5369,3316822,0.0000,1.0000
2019-04-08,140.0000,140.1200,138.6100,139.8200,138.9862,2497583,0.0000,1.0000
2019-04-05,141.1000,141.1500,139.9200,140.3600,139.5230,2812451,0.0000,1.0000
2019-04-04,139.1400,140.8700,139.0000,140.1300,139.2944,2988945,0.0000,1.0000
2019-04-03,139.8500,140.5500,138.4100,139.2600,138.4296,4821813,0.0000,1.0000
2019-04-02,140.1500,140.6900,139.2300,140.1900,139.3540,2529038,0.0000,1.0000
2019-04-01,137.6900,140.3700,136.3200,140.2500,139.4137,5081522,0.0000,1.0000
2019-03-29,134.0000,136.2800,133.6200,135.4900,134.6821,4681573,0.0000,1.0000
2019-03-28,131.9000,132.8000,131.1600,132.3700,131.5807,2487176,0.0000,1.0000
2019-03-27,132.2700,132.4700,130.2500,131.2000,130.4176,2378318,0.0000,1.0000
2019-03-26,132.6900,133.5600,131.1300,131.8400,131.0538,2638304,0.0000,1.0000
2019-03-25,129.5900,132.0000,129.2300,131.3800,130.5966,3199920,0.0000,1.0000
2019-03-22,132.9900,133.3000,129.4900,129.7700,128.9962,5745823,0.0000,1.0000
2019-03-21,132.1600,134.6000,132.0100,134.0600,133.2606,2635695,0.0000,1.0000
2019-03-20,133.8300,134.1500,132.0600,133.0100,132.2168,3522060,0.0000,1.0000
2019-03-19,135.3500,135.7100,133.5100,134.1500,133.3500,3315928,0.0000,1.0000
2019-03-18,132.7000,134.2000,132.5300,134.1000,133.3003,4095418,0.0000,1.0000
2019-03-15,133.8700,134.5300,131.9808,132.6700,131.8789,7049923,0.0000,1.0000
2019-03-14,132.8400,134.0700,132.0200,133.6900,132.8928,3742487,0.0000,1.0000
2019-03-13,133.9800,134.3100,132.6900,133.5000,132.7039,4285187,0.0000,1.0000
2019-03-12,133.2400,133.3800,131.9200,132.4800,131.6900,4208776,0.0000,1.0000
2019-03-11,131.9100,133.4000,131.5950,133.1100,132.3163,3914781,0.0000,1.0000
2019-03-08,130.5000,132.1300,130.2300,131.3500,130.5667,4237956,0.0000,1.0000
2019-03-07,134.3800,134.8100,131.6200,132.8000,132.0081,4290794,0.0000,1.0000
2019-03-06,137.5400,137.6589,134.7300,134.8300,134.0260,3886033,0.0000,1.0000
2019-03-05,138.0600,138.4600,137.0000,137.1400,136.3222,3122878,0.0000,1.0000
