timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,54.6500,54.7100,53.3822,53.6300,53.6300,4114260,0.0000,1.0000
2019-04-17,55.1200,55.3400,54.3000,54.5400,54.5400,4991907,0.0000,1.0000
2019-04-16,53.9000,54.8500,53.7900,54.8000,54.8000,3464575,0.0000,1.0000
2019-04-15,53.3900,53.8100,53.2500,53.7400,53.7400,3002048,0.0000,1.0000
2019-04-12,52.9600,53.5800,52.8750,53.5700,53.5700,3395939,0.0000,1.0000
2019-04-11,52.4100,52.7850,52.1800,52.4700,52.4700,4584243,0.0000,1.0000
2019-04-10,52.1900,52.4100,51.7900,52.2700,52.2700,2639831,0.0000,1.0000
2019-04-09,52.5000,52.6900,51.7700,51.9000,51.9000,4108538,0.0000,1.0000
2019-04-08,52.9900,53.0500,52.3200,52.5100,52.5100,3192084,0.0000,1.0000
2019-04-05,53.1100,53.3600,52.8100,53.0700,53.0700,3821248,0.0000,1.0000
2019-04-04,53.2400,53.3000,52.7750,53.1000,53.1000,2296667,0.0000,1.0000
2019-04-03,52.9100,53.6650,52.8500,53.1900,53.1900,4954117,0.0000,1.0000
2019-04-02,52.0500,52.6500,51.9700,52.3700,52.3700,4509167,0.0000,1.0000
2019-04-01,51.0000,52.2000,51.0000,52.1900,52.1900,5004850,0.0000,1.0000
2019-03-29,50.2100,50.8600,50.0600,50.7200,50.7200,4929563,0.0000,1.0000
2019-03-28,50.2700,50.8400,49.9100,50.3400,50.3400,5569186,0.0000,1.0000
2019-03-27,51.8100,52.0500,50.4600,50.6600,50.6600,7383039,0.0000,1.0000
2019-03-26,52.4500,54.0000,51.0800,51.7100,51.7100,18504970,0.0000,1.0000
2019-03-25,56.2800,56.9200,55.9900,56.6500,56.6500,4244292,0.0000,1.0000
2019-03-22,56.7800,57.1700,56.2500,56.4200,56.4200,3514541,0.0000,1.0000
2019-03-21,56.2300,57.3300,56.2300,57.2600,57.2600,2931942,0.0000,1.0000
2019-03-20,56.9300,57.1250,56.1500,56.5300,56.5300,4361382,0.0000,1.0000
2019-03-19,57.4300,57.6900,56.9200,57.1200,57.1200,3416090,0.0000,1.0000
2019-03-18,56.6500,57.5400,56.6400,57.3500,57.3500,4165589,0.0000,1.0000
2019-03-15,56.5300,57.3200,56.5300,56.6100,56.6100,4395208,0.0000,1.0000
2019-03-14,56.1300,56.4500,55.7800,56.4300,56.4300,3789919,0.0000,1.0000
2019-03-13,56.2100,56.8200,55.9600,56.0900,56.0900,4136420,0.0000,1.0000
2019-03-12,55.6300,55.7500,54.9000,55.2600,55.2600,4375142,0.0000,1.0000
2019-03-11,55.2700,55.7400,55.1100,55.4300,55.4300,3472472,0.0000,1.0000
2019-03-08,55.0000,55.0700,54.5300,54.9700,54.9700,3447842,0.0000,1.0000
2019-03-07,55.5800,55.6400,54.9700,55.3800,55.3800,3422826,0.0000,1.0000
2019-03-06,56.8900,57.1200,56.1200,56.1500,56.1500,3366098,0.0000,1.0000
2019-03-05,56.8100,57.5400,56.6300,57.1100,57.1100,3889292,0.0000,1.0000
2019-03-04,57.6600,57.7000,56.4600,56.5600,56.5600,3569022,0.0000,1.0000
2019-03-01,58.3400,58.6800,57.5350,57.8400,57.8400,2902584,0.0000,1.0000
2019-02-28,57.5700,57.9500,57.2600,57.7600,57.7600,4367151,0.0000,1.0000
2019-02-27,58.0300,58.3600,57.3900,57.6800,57.6800,2986550,0.0000,1.0000
2019-02-26,58.5100,58.9000,58.2200,58.2500,58.2500,2394680,0.0000,1.0000
2019-02-25,58.5700,58.8850,58.2542,58.5700,58.5700,3336096,0.0000,1.0000
2019-02-22,58.5500,58.8750,58.2600,58.8200,58.8200,2234599,0.0000,1.0000
2019-02-21,58.5700,59.2400,58.1500,58.2700,58.2700,3726425,0.5000,1.0000
2019-02-20,58.3800,58.9600,58.1500,58.8500,58.3493,3507474,0.0000,1.0000
2019-02-19,57.3200,58.5700,57.2250,58.3000,57.8040,3807503,0.0000,1.0000
