timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,246.7900,247.2500,244.7010,245.8100,245.8100,1365116,0.0000,1.0000
2019-04-17,246.3000,246.4600,244.3200,245.5600,245.5600,1363036,0.0000,1.0000
2019-04-16,246.6500,246.8200,244.2500,245.3400,245.3400,1360535,0.0000,1.0000
2019-04-15,242.3700,246.7500,241.9600,246.3300,246.3300,1859679,0.0000,1.0000
2019-04-12,241.5100,242.7200,240.9000,241.9500,241.9500,2187612,0.0000,1.0000
2019-04-11,243.6200,244.1800,240.9200,241.2400,241.2400,2719985,0.0000,1.0000
2019-04-10,245.2800,246.6700,244.7100,245.6100,245.6100,1556647,0.0000,1.0000
2019-04-09,245.1100,245.6800,244.0050,244.9100,244.9100,1450175,0.0000,1.0000
2019-04-08,245.9900,246.8300,245.2000,246.5200,246.5200,1244150,0.0000,1.0000
2019-04-05,244.9600,247.0900,244.0100,245.8700,245.8700,1616207,0.0000,1.0000
2019-04-04,242.1700,244.7600,241.2500,244.4000,244.4000,1320012,0.0000,1.0000
2019-04-03,241.6900,243.5500,241.0200,242.4800,242.4800,1663865,0.0000,1.0000
2019-04-02,244.0000,244.1900,240.3100,240.5000,240.5000,1574327,0.0000,1.0000
2019-04-01,243.0700,244.4100,242.5800,244.1900,244.1900,1610207,0.0000,1.0000
2019-03-29,241.6600,242.4400,240.7700,242.1400,242.1400,1967964,0.0000,1.0000
2019-03-28,239.9800,241.9500,239.5834,241.2200,241.2200,1396657,0.0000,1.0000
2019-03-27,238.7100,240.2100,238.1600,239.4100,239.4100,1351237,0.0000,1.0000
2019-03-26,238.0000,240.2500,237.3600,239.0700,239.0700,1193004,0.0000,1.0000
2019-03-25,236.9300,238.0800,235.7850,236.9700,236.9700,1357121,0.0000,1.0000
2019-03-22,239.7500,240.3400,236.9000,237.5600,237.5600,1873609,0.0000,1.0000
2019-03-21,236.6800,239.8500,236.5526,239.5400,239.5400,1617047,0.0000,1.0000
2019-03-20,237.0300,238.4900,235.7750,236.9800,236.9800,1499470,0.0000,1.0000
2019-03-19,237.5200,238.0500,236.2900,237.0500,237.0500,1852346,0.0000,1.0000
2019-03-18,233.5800,236.6800,233.4900,236.5900,236.5900,1735414,0.0000,1.0000
2019-03-15,234.1700,235.6500,233.1800,233.6000,233.6000,5073781,0.0000,1.0000
2019-03-14,236.1300,236.3800,233.2800,233.8400,233.8400,2300252,0.0000,1.0000
2019-03-13,234.2500,237.4500,232.9500,236.3800,236.3800,2421178,0.0000,1.0000
2019-03-12,230.3200,233.4000,229.9000,232.9600,232.9600,2647259,0.0000,1.0000
2019-03-11,227.5300,229.9100,227.0600,229.6900,229.6900,3748431,0.0000,1.0000
2019-03-08,225.4800,228.7000,223.7700,227.8200,227.8200,6782749,0.0000,1.0000
2019-03-07,218.1300,219.3900,216.2200,216.7900,216.7900,3279102,0.0000,1.0000
2019-03-06,220.5000,221.9100,218.2300,219.2300,219.2300,1985311,0.0000,1.0000
2019-03-05,218.9100,221.6100,218.9000,219.8200,219.8200,2160246,0.0000,1.0000
2019-03-04,220.4300,221.0800,215.8700,218.4100,218.4100,2444661,0.0000,1.0000
2019-03-01,219.7600,220.5700,215.7700,219.4400,219.4400,2178555,0.0000,1.0000
2019-02-28,218.4900,219.6917,217.5200,218.7400,218.7400,2055597,0.0000,1.0000
2019-02-27,216.5100,218.8600,216.4500,218.0500,218.0500,1482708,0.0000,1.0000
2019-02-26,216.8900,218.9100,216.1300,217.6100,217.6100,1884099,0.0000,1.0000
2019-02-25,217.3700,219.0900,216.5500,217.0500,217.0500,1794018,0.0000,1.0000
2019-02-22,215.1700,216.5900,214.2500,216.2900,216.2900,1542501,0.0000,1.0000
