timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,36.0900,36.1750,35.4400,35.9800,35.9800,12334982,0.0000,1.0000
2019-04-17,36.4600,36.7500,35.7200,35.9700,35.9700,12860194,0.0000,1.0000
2019-04-16,36.3400,36.5700,36.2800,36.3900,36.3900,7046383,0.0000,1.0000
2019-04-15,36.2500,36.4700,36.0200,36.2300,36.2300,9688267,0.0000,1.0000
2019-04-12,36.5900,36.7200,35.9900,36.1700,36.1700,14267358,0.0000,1.0000
2019-04-11,37.6300,37.6300,35.8900,36.3200,36.3200,19483275,0.0000,1.0000
2019-04-10,37.8600,37.8600,37.4600,37.7200,37.7200,7057609,0.0000,1.0000
2019-04-09,37.6400,37.8600,37.4730,37.7500,37.7500,7140801,0.0000,1.0000
2019-04-08,37.7900,37.9900,37.6950,37.8100,37.8100,6982766,0.0000,1.0000
2019-04-05,38.1100,38.3300,37.7400,37.8400,37.8400,7907443,0.0000,1.0000
2019-04-04,37.8800,38.1800,37.8250,38.0500,38.0500,6372561,0.0000,1.0000
2019-04-03,38.1800,38.2400,37.8600,37.9900,37.9900,10033512,0.0000,1.0000
2019-04-02,37.8000,38.1800,37.6200,37.9200,37.9200,7396528,0.0000,1.0000
2019-04-01,37.4100,37.7700,37.3600,37.6800,37.6800,6664123,0.0000,1.0000
2019-03-29,36.9500,37.1700,36.8700,37.1400,37.1400,8636432,0.0000,1.0000
2019-03-28,36.9200,37.4300,36.6200,36.7800,36.7800,9806831,0.0000,1.0000
2019-03-27,36.9500,37.0932,36.5800,36.8300,36.8300,8223030,0.0000,1.0000
2019-03-26,36.9200,37.0900,36.6400,36.9000,36.9000,7926711,0.0000,1.0000
2019-03-25,36.5900,36.8050,36.2800,36.7200,36.7200,5482255,0.0000,1.0000
2019-03-22,37.0600,37.4400,36.4900,36.6500,36.6500,8449254,0.0000,1.0000
2019-03-21,36.7400,37.3900,36.5750,37.2000,37.2000,10661050,0.0000,1.0000
2019-03-20,36.7600,36.9100,36.5700,36.7000,36.7000,11905421,0.0000,1.0000
2019-03-19,36.4600,37.2000,36.4000,36.8700,36.8700,14686923,0.0000,1.0000
2019-03-18,36.3100,36.5800,36.1800,36.2700,36.2700,9328101,0.0000,1.0000
2019-03-15,36.3500,36.5800,36.0200,36.3000,36.3000,24452525,0.0000,1.0000
2019-03-14,36.3800,36.6200,36.1700,36.3500,36.3500,10561015,0.0000,1.0000
2019-03-13,36.3000,36.7400,36.1600,36.4600,36.4600,13247760,0.0000,1.0000
2019-03-12,36.4400,36.4950,36.1100,36.2800,36.2800,10660879,0.0000,1.0000
2019-03-11,35.9300,36.3400,35.8200,36.2500,36.2500,15306371,0.0000,1.0000
2019-03-08,36.0200,36.0200,35.5100,35.8900,35.8900,16417026,0.0000,1.0000
2019-03-07,36.7300,36.7750,36.0800,36.2100,36.2100,14928005,0.0000,1.0000
2019-03-06,37.1400,37.5400,36.8000,36.8100,36.8100,10885498,0.0000,1.0000
2019-03-05,37.2000,37.4900,37.1100,37.1200,37.1200,12174375,0.0000,1.0000
2019-03-04,37.4800,37.5800,36.7000,37.2500,37.2500,11303952,0.0000,1.0000
2019-03-01,38.3600,39.1400,37.1800,37.3500,37.3500,17271812,0.0000,1.0000
2019-02-28,37.5000,37.5000,37.1000,37.1500,37.1500,7462772,0.1400,1.0000
2019-02-27,37.4500,38.0200,37.2800,37.5800,37.4389,10571082,0.0000,1.0000
2019-02-26,37.3400,37.5500,37.0600,37.3800,37.2397,12788049,0.0000,1.0000
2019-02-25,37.7500,37.8900,37.3100,37.3400,37.1998,10147800,0.0000,1.0000
2019-02-22,36.9900,37.5000,36.9700,37.4900,37.3492,6820615,0.0000,1.0000
2019-02-21,36.6300,37.1250,36.5000,36.9800,36.8412,8151634,0.0000,1.0000
2019-02-20,37.0200,37.2500,36.6850,36.7400,36.6021,11698695,0.0000,1.0000
2019-02-19,36.5500,37.1300,36.4600,37.0500,36.9109,12312123,0.0000,1.0000
2019-02-15,36.6100,36.8300,36.4200,36.5800,36.4427,10273127,0.0000,1.0000
2019-02-14,36.0400,36.5600,35.9800,36.3200,36.1836,6874462,0.0000,1.0000
2019-02-13,36.2100,36.5400,36.1600,36.2600,36.1239,7377994,0.0000,1.0000
2019-02-12,35.5900,36.2650,35.2100,36.1900,36.0541,12684831,0.0000,1.0000
2019-02-11,35.4800,35.9000,35.3200,35.5900,35.4564,9638437,0.0000,1.0000
2019-02-08,35.0000,35.3200,34.9078,35.2600,35.1276,10228012,0.0000,1.0000
2019-02-07,35.2200,35.3900,34.8200,35.2500,35.1177,9211019,0.0000,1.0000
2019-02-06,35.1200,35.7100,35.0000,35.4800,35.3468,11339952,0.0000,1.0000
2019-02-05,35.2700,35.5300,35.0650,35.3300,35.1974,13738223,0.0000,1.0000
2019-02-04,34.5500,35.1950,34.2000,35.0500,34.9184,19798506,0.0000,1.0000
2019-02-01,33.7500,34.4800,33.6300,34.3100,34.1812,19113790,0.0000,1.0000
2019-01-31,33.7600,33.9900,32.7700,33.6500,33.5237,24996875,0.0000,1.0000
2019-01-30,33.9700,34.3200,32.8800,34.0800,33.9521,27338550,0.0000,1.0000
2019-01-29,34.3700,34.4300,33.5400,33.6900,33.5635,19304039,0.0000,1.0000
2019-01-28,33.4900,34.2300,33.4000,34.0200,33.8923,22325483,0.0000,1.0000
2019-01-25,32.9500,33.7600,32.8000,33.7200,33.5934,17029714,0.0000,1.0000
2019-01-24,32.7000,32.8600,32.3300,32.6500,32.5274,11974821,0.0000,1.0000
2019-01-23,33.4000,33.5300,32.4600,32.6100,32.4876,19280576,0.0000,1.0000
2019-01-22,34.3400,34.7500,32.7300,32.9000,32.7765,56378653,0.0000,1.0000
2019-01-18,30.6100,31.0199,30.4400,31.0000,30.8836,13839748,0.0000,1.0000
2019-01-17,30.1500,30.5500,30.0600,30.3800,30.2659,12818475,0.0000,1.0000
2019-01-16,30.6600,30.7000,30.2700,30.2900,30.1763,12725717,0.0000,1.0000
2019-01-15,30.3000,30.7500,30.2700,30.6700,30.5549,7154657,0.0000,1.0000
2019-01-14,30.1800,30.2800,29.9900,30.2100,30.0966,7523141,0.0000,1.0000
2019-01-11,30.1500,30.5350,29.4200,30.4100,30.2958,13390884,0.0000,1.0000
