timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,182.0100,183.5250,180.0600,183.2000,183.2000,1026877,0.0000,1.0000
2019-04-17,185.9200,186.2700,182.8500,182.9600,182.9600,775283,0.0000,1.0000
2019-04-16,184.2800,185.7600,183.8300,185.3600,185.3600,1170609,0.0000,1.0000
2019-04-15,184.9000,185.0300,183.0600,183.7700,183.7700,1125778,0.0000,1.0000
2019-04-12,183.7800,185.3067,182.8200,185.0900,185.0900,769266,0.0000,1.0000
2019-04-11,182.3500,183.1700,181.8250,182.9800,182.9800,610934,0.0000,1.0000
2019-04-10,181.6100,182.6000,179.9300,182.5800,182.5800,688688,0.0000,1.0000
2019-04-09,180.6300,181.5400,179.7400,181.5000,181.5000,860618,0.0000,1.0000
2019-04-08,181.3000,181.7800,180.1700,181.2400,181.2400,685184,0.0000,1.0000
2019-04-05,182.5600,183.4100,180.8800,181.7100,181.7100,889941,0.0000,1.0000
2019-04-04,181.1300,182.5900,180.2098,182.5600,182.5600,1377056,0.0000,1.0000
2019-04-03,178.7500,182.5500,178.2844,181.4500,181.4500,2009371,0.0000,1.0000
2019-04-02,178.7500,178.7500,177.2400,178.1400,178.1400,634944,0.0000,1.0000
2019-04-01,177.4800,178.7500,177.1700,178.6700,178.6700,1009927,0.0000,1.0000
2019-03-29,176.5700,176.7600,175.2900,176.5400,176.5400,1031352,0.0000,1.0000
2019-03-28,175.8800,176.8600,175.4200,175.9500,175.9500,793157,0.0000,1.0000
2019-03-27,175.5700,176.6900,174.0800,175.2400,175.2400,828785,0.0000,1.0000
2019-03-26,174.9400,176.1300,173.7800,175.3500,175.3500,959253,0.0000,1.0000
2019-03-25,173.3500,174.5800,172.5384,174.0900,174.0900,811208,0.0000,1.0000
2019-03-22,174.6700,175.4600,172.8701,173.3800,173.3800,831047,0.0000,1.0000
2019-03-21,174.5600,175.9750,174.3000,175.8200,175.8200,864637,0.0000,1.0000
2019-03-20,175.1500,175.6700,173.7500,174.4700,174.4700,739446,0.0000,1.0000
2019-03-19,175.0400,175.9500,174.5850,175.0500,175.0500,1079561,0.0000,1.0000
2019-03-18,182.1800,182.1900,173.7000,175.1500,175.1500,1272184,0.4600,1.0000
2019-03-15,173.2500,174.9800,173.2500,174.4700,174.0130,1545100,0.0000,1.0000
2019-03-14,172.8200,174.0000,172.8200,173.6000,173.1453,1059198,0.0000,1.0000
2019-03-13,171.5800,173.6200,171.2300,173.1200,172.6665,971508,0.0000,1.0000
2019-03-12,170.6500,171.4600,169.8600,170.9900,170.5421,942378,0.0000,1.0000
2019-03-11,170.2800,170.9600,169.0900,170.2100,169.7641,1509904,0.0000,1.0000
2019-03-08,168.9100,169.7300,168.0500,169.5700,169.1258,782012,0.0000,1.0000
2019-03-07,170.0000,170.8000,168.8500,169.6000,169.1557,861829,0.0000,1.0000
2019-03-06,170.8700,171.9800,170.0000,170.3300,169.8838,1070354,0.0000,1.0000
2019-03-05,169.4700,171.1100,169.4700,170.5200,170.0733,786995,0.0000,1.0000
2019-03-04,171.0500,171.7100,168.0100,169.5800,169.1358,1338447,0.0000,1.0000
2019-03-01,169.7500,170.6600,168.9258,170.1600,169.7143,1717433,0.0000,1.0000
2019-02-28,168.5600,169.2794,168.0700,168.9100,168.4676,1500031,0.0000,1.0000
2019-02-27,167.8900,168.9200,167.2100,168.4900,168.0487,725938,0.0000,1.0000
2019-02-26,168.0000,169.4300,167.7900,168.2200,167.7794,823383,0.0000,1.0000
2019-02-25,167.7100,168.4900,166.7250,168.2200,167.7794,971279,0.0000,1.0000
2019-02-22,167.4100,167.4100,165.9400,167.0100,166.5725,858446,0.0000,1.0000
2019-02-21,165.2200,167.2200,165.2200,167.0900,166.6523,1083810,0.0000,1.0000
2019-02-20,165.6600,166.6600,164.5600,165.2900,164.8570,1774890,0.0000,1.0000
2019-02-19,165.0000,168.3200,163.5000,167.3100,166.8717,2009831,0.0000,1.0000
2019-02-15,163.3500,164.1900,162.2100,163.4800,163.0518,1209375,0.0000,1.0000
2019-02-14,161.6300,162.4700,160.8300,161.6100,161.1867,805691,0.0000,1.0000
2019-02-13,162.9300,163.7800,162.2900,162.6500,162.2239,965699,0.0000,1.0000
2019-02-12,160.9800,162.6199,160.1100,162.3800,161.9547,915233,0.0000,1.0000
2019-02-11,159.3900,160.4900,159.0200,160.1000,159.6806,827877,0.0000,1.0000
2019-02-08,158.0700,159.1900,157.1900,159.1700,158.7531,747205,0.0000,1.0000
2019-02-07,158.2900,159.0700,157.2001,158.6100,158.1945,698653,0.0000,1.0000
2019-02-06,158.2200,159.6000,158.1800,159.1700,158.7531,1142558,0.0000,1.0000
2019-02-05,161.1100,162.3800,158.3300,158.6600,158.2444,2036434,0.0000,1.0000
2019-02-04,158.9500,159.5200,157.1100,159.1800,158.7630,851989,0.0000,1.0000
2019-02-01,158.4900,159.5100,157.9900,158.9600,158.5436,1222006,0.0000,1.0000
2019-01-31,156.2600,158.8700,155.5900,158.1700,157.7557,2186597,0.0000,1.0000
2019-01-30,155.6000,157.2900,155.0700,156.8800,156.4691,729664,0.0000,1.0000
2019-01-29,155.0700,155.9300,154.6400,155.0100,154.6040,887659,0.0000,1.0000
2019-01-28,153.1500,154.9900,153.1141,154.9800,154.5740,708570,0.0000,1.0000
2019-01-25,152.9100,155.0800,152.9100,153.8900,153.4869,722031,0.0000,1.0000
2019-01-24,152.5300,153.1400,151.1800,151.9200,151.5221,793529,0.0000,1.0000
2019-01-23,153.3400,153.7300,151.2400,152.9700,152.5693,686253,0.0000,1.0000
2019-01-22,154.1300,154.5800,151.7000,152.9200,152.5194,956002,0.0000,1.0000
2019-01-18,153.6600,155.1900,152.7300,154.5000,154.0953,1202010,0.0000,1.0000
2019-01-17,150.5800,152.8000,150.2400,152.5200,152.1205,1064324,0.0000,1.0000
2019-01-16,150.4800,151.1300,149.6300,150.2600,149.8664,623211,0.0000,1.0000
2019-01-15,148.0000,150.0900,148.0000,150.0300,149.6370,588522,0.0000,1.0000
2019-01-14,148.8100,150.4200,148.3150,148.7600,148.3703,1241355,0.0000,1.0000
2019-01-11,148.7200,149.6600,148.3700,149.5700,149.1782,703875,0.0000,1.0000
2019-01-10,147.5800,149.7400,147.5800,149.6300,149.2381,957154,0.0000,1.0000
2019-01-09,149.5300,150.2100,147.9000,148.7100,148.3205,902660,0.0000,1.0000
2019-01-08,148.0900,149.0700,147.1600,148.8900,148.5000,1092382,0.0000,1.0000
2019-01-07,146.5800,148.9200,146.2000,147.1000,146.7147,871368,0.0000,1.0000
2019-01-04,143.7400,147.7700,142.5900,146.6700,146.2858,1238598,0.0000,1.0000
2019-01-03,144.6600,145.3500,141.3000,141.5400,141.1692,1238649,0.0000,1.0000
2019-01-02,145.5000,146.3100,143.5389,144.9200,144.5404,1429895,0.0000,1.0000
2018-12-31,144.8700,147.5800,144.4800,147.3500,146.9640,1199425,0.0000,1.0000
2018-12-28,145.4100,146.2900,143.7800,144.3700,143.9918,841759,0.0000,1.0000
2018-12-27,141.2600,144.9000,140.0500,144.9000,144.5204,1039140,0.0000,1.0000
2018-12-26,138.2100,142.8300,135.7700,142.8300,142.4559,1492164,0.0000,1.0000
2018-12-24,143.3800,143.3800,137.8950,137.9000,137.5388,850561,0.0000,1.0000
2018-12-21,145.4200,149.0000,143.4111,143.9600,143.5829,2722373,0.0000,1.0000
2018-12-20,147.3300,147.9600,143.5400,145.7100,145.3283,1394747,0.0000,1.0000
2018-12-19,149.4800,151.5000,146.4500,147.4200,147.0338,1144685,0.0000,1.0000
2018-12-18,150.4000,151.2400,147.8700,148.9900,148.5997,1198852,0.0000,1.0000
2018-12-17,153.3500,153.8000,148.6400,149.6400,149.2480,1306189,0.4600,1.0000
2018-12-14,154.0100,154.9050,153.3000,154.4700,153.5932,1052717,0.0000,1.0000
2018-12-13,155.2200,156.5700,153.8000,155.0400,154.1600,1017236,0.0000,1.0000
2018-12-12,157.3600,157.8300,154.7600,154.9000,154.0208,1189601,0.0000,1.0000
2018-12-11,156.4300,157.1750,155.0000,155.2700,154.3887,1016217,0.0000,1.0000
2018-12-10,153.6800,155.1300,151.8500,154.6000,153.7225,871095,0.0000,1.0000
2018-12-07,157.4700,157.9400,153.0000,154.0700,153.1955,877509,0.0000,1.0000
2018-12-06,155.5700,157.6400,153.1400,157.5500,156.6557,1408130,0.0000,1.0000
2018-12-04,159.0500,160.5000,156.5300,156.7400,155.8503,1263823,0.0000,1.0000
2018-12-03,162.3700,162.9100,157.3900,159.5200,158.6146,1406377,0.0000,1.0000
2018-11-30,158.3100,160.9200,158.3100,160.4900,159.5791,2510572,0.0000,1.0000
2018-11-29,156.4500,159.3200,156.4500,158.3900,157.4910,1025677,0.0000,1.0000
2018-11-28,154.3500,156.3700,153.9800,156.2500,155.3631,1301154,0.0000,1.0000
2018-11-27,153.9800,155.2300,153.3700,153.9500,153.0762,1159295,0.0000,1.0000
2018-11-26,154.6000,155.7600,152.9100,154.7500,153.8716,1251837,0.0000,1.0000
2018-11-23,154.0300,155.2500,153.1400,153.2400,152.3702,704452,0.0000,1.0000
2018-11-21,154.9800,155.9500,154.0000,155.0200,154.1401,1143598,0.0000,1.0000
2018-11-20,159.0300,159.5850,155.0200,156.0600,155.1742,1791570,0.0000,1.0000
2018-11-19,159.3100,160.6636,157.5500,160.3000,159.3901,1225507,0.0000,1.0000
2018-11-16,157.1800,159.6650,156.4900,159.3600,158.4555,986601,0.0000,1.0000
2018-11-15,156.2900,158.6900,155.5727,158.3100,157.4114,856506,0.0000,1.0000
2018-11-14,158.2600,159.1000,155.9100,156.9200,156.0293,816169,0.0000,1.0000
2018-11-13,157.9700,159.0556,156.5400,157.5200,156.6259,723860,0.0000,1.0000
2018-11-12,159.5000,160.4800,157.5400,158.0000,157.1032,1060086,0.0000,1.0000
2018-11-09,158.9700,159.7600,157.6300,159.3300,158.4256,736204,0.0000,1.0000
2018-11-08,160.0100,160.6100,158.7450,159.4800,158.5748,1000296,0.0000,1.0000
2018-11-07,157.9800,160.5500,157.4700,160.3800,159.4697,1259243,0.0000,1.0000
2018-11-06,156.1500,157.1800,154.5701,156.8700,155.9796,1144868,0.0000,1.0000
2018-11-05,154.9500,156.5700,154.6245,155.9700,155.0847,829786,0.0000,1.0000
2018-11-02,154.0500,155.9600,152.2250,154.5900,153.7125,1269368,0.0000,1.0000
2018-11-01,153.2700,153.5800,151.6100,152.7300,151.8631,1564519,0.0000,1.0000
2018-10-31,151.0100,153.9300,149.9200,153.1500,152.2807,2396310,0.0000,1.0000
2018-10-30,137.7000,149.8600,137.7000,149.0000,148.1543,2967235,0.0000,1.0000
2018-10-29,149.2800,150.6300,144.5400,146.5600,145.7281,2317688,0.0000,1.0000
2018-10-26,148.7350,149.3400,146.4200,147.3400,146.5037,1936384,0.0000,1.0000
2018-10-25,148.5600,151.3700,148.3400,150.1000,149.2480,1836101,0.0000,1.0000
2018-10-24,148.9000,149.9808,147.4100,147.6600,146.8219,1583988,0.0000,1.0000
2018-10-23,146.2200,148.7500,144.9975,147.9900,147.1500,1559117,0.0000,1.0000
2018-10-22,148.9000,149.2300,146.2600,147.0000,146.1656,931764,0.0000,1.0000
2018-10-19,148.0800,149.1500,147.9000,148.5500,147.7068,913370,0.0000,1.0000
2018-10-18,148.0000,149.6900,146.8850,147.5000,146.6628,951882,0.0000,1.0000
2018-10-17,148.1000,149.2600,147.3800,148.5200,147.6770,1271537,0.0000,1.0000
2018-10-16,147.2800,148.5300,145.6800,148.4700,147.6273,1159786,0.0000,1.0000
2018-10-15,145.8100,147.9900,145.6900,146.3500,145.5193,938576,0.0000,1.0000
2018-10-12,147.7500,148.3600,144.2800,145.9800,145.1514,1491852,0.0000,1.0000
2018-10-11,150.2800,150.7100,145.8500,145.9500,145.1216,2256538,0.0000,1.0000
2018-10-10,155.0400,155.9900,150.6900,150.8100,149.9540,1657858,0.0000,1.0000
2018-10-09,156.5300,157.9300,154.5400,154.9600,154.0804,966732,0.0000,1.0000
2018-10-08,157.5900,158.1000,157.0500,157.3700,156.4768,1128186,0.0000,1.0000
2018-10-05,156.2700,157.7900,156.0000,157.5900,156.6955,935362,0.0000,1.0000
2018-10-04,155.6200,156.3400,154.8700,156.1100,155.2239,885576,0.0000,1.0000
2018-10-03,157.6500,158.1187,155.9100,156.1100,155.2239,891617,0.0000,1.0000
2018-10-02,157.6600,157.7300,156.5200,157.2200,156.3276,732307,0.0000,1.0000
2018-10-01,157.5700,158.0400,156.4900,157.4000,156.5066,530716,0.0000,1.0000
2018-09-28,156.5000,157.6099,155.6800,156.7800,155.8901,1153658,0.0000,1.0000
2018-09-27,156.8200,157.9400,156.4800,156.8300,155.9398,539645,0.0000,1.0000
2018-09-26,157.2300,157.7700,155.5800,156.8500,155.9597,848363,0.0000,1.0000
2018-09-25,158.4000,158.6200,156.8735,157.3200,156.4270,754610,0.0000,1.0000
2018-09-24,159.0000,159.1500,157.2605,157.9800,157.0833,866244,0.0000,1.0000
2018-09-21,159.9200,159.9200,158.7700,159.4000,158.4952,2139706,0.0000,1.0000
2018-09-20,158.1700,159.4000,158.0900,159.2000,158.2964,983494,0.0000,1.0000
2018-09-19,156.9000,158.0700,156.6100,157.8300,156.9342,789686,0.0000,1.0000
2018-09-18,156.4700,157.1100,155.3300,156.6500,155.7608,684523,0.0000,1.0000
2018-09-17,156.8100,157.2000,155.9100,156.2400,155.3532,657683,0.4100,1.0000
2018-09-14,156.6600,157.2300,156.0400,157.1200,155.8193,726801,0.0000,1.0000
2018-09-13,156.0000,156.7100,155.1950,156.5400,155.2441,906173,0.0000,1.0000
2018-09-12,154.9800,156.3000,154.6600,155.7200,154.4309,763367,0.0000,1.0000
