timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,34.9900,35.1900,34.8000,34.8500,34.8500,2967964,0.0000,1.0000
2019-04-17,35.0100,35.3400,34.7500,34.9100,34.9100,2606235,0.0000,1.0000
2019-04-16,35.0000,35.1000,34.8100,34.8800,34.8800,2269604,0.0000,1.0000
2019-04-15,35.1400,35.1500,34.7250,34.9600,34.9600,2183882,0.0000,1.0000
2019-04-12,34.8800,35.0600,34.7600,35.0100,35.0100,2093361,0.0000,1.0000
2019-04-11,34.4200,34.6950,34.3600,34.6000,34.6000,1487034,0.0000,1.0000
2019-04-10,34.2900,34.4800,34.2600,34.4000,34.4000,1457843,0.0000,1.0000
2019-04-09,34.5300,34.6179,34.2300,34.2900,34.2900,2017333,0.0000,1.0000
2019-04-08,34.6100,34.6900,34.2800,34.6800,34.6800,1812465,0.0000,1.0000
2019-04-05,34.7200,34.9700,34.6400,34.6900,34.6900,2201289,0.0000,1.0000
2019-04-04,34.3100,34.7450,34.2900,34.6100,34.6100,3184189,0.0000,1.0000
2019-04-03,34.3800,34.6500,34.2650,34.3800,34.3800,4114523,0.0000,1.0000
2019-04-02,34.0100,34.1500,33.9100,34.0200,34.0200,2914102,0.0000,1.0000
2019-04-01,33.4200,34.0400,33.3200,33.9200,33.9200,5225270,0.0000,1.0000
2019-03-29,33.0500,33.3200,32.9500,33.1000,33.1000,4370032,0.0000,1.0000
2019-03-28,33.2800,33.4850,32.8900,32.9000,32.9000,4129605,0.0000,1.0000
2019-03-27,33.6100,33.7300,33.1000,33.2400,33.2400,3687143,0.0000,1.0000
2019-03-26,34.0400,34.1500,33.3243,33.6100,33.6100,3616644,0.0000,1.0000
2019-03-25,33.7500,33.9850,33.4400,33.7400,33.7400,2462072,0.0000,1.0000
2019-03-22,34.6900,34.7500,33.7600,33.8300,33.8300,3371369,0.0000,1.0000
2019-03-21,34.1600,34.9400,34.1000,34.7900,34.7900,3172166,0.0000,1.0000
2019-03-20,34.6100,34.6200,33.9210,34.2200,34.2200,2753558,0.0000,1.0000
2019-03-19,34.5000,34.8800,34.4500,34.6100,34.6100,3330640,0.0000,1.0000
2019-03-18,34.6100,34.7100,34.2200,34.3500,34.3500,3171765,0.0000,1.0000
2019-03-15,34.2200,34.5400,34.1650,34.5200,34.5200,6019244,0.0000,1.0000
2019-03-14,34.2500,34.2500,33.9000,34.2200,34.2200,2970549,0.0000,1.0000
2019-03-13,34.3400,34.5100,34.2250,34.3100,34.3100,2537079,0.0000,1.0000
2019-03-12,34.3200,34.3300,34.1200,34.2000,34.2000,2375940,0.0000,1.0000
2019-03-11,34.0000,34.3050,33.8950,34.2000,34.2000,2937344,0.0000,1.0000
2019-03-08,33.6600,33.8500,33.5000,33.8000,33.8000,2805072,0.0000,1.0000
2019-03-07,34.5200,34.5200,33.8100,33.9700,33.9700,3357141,0.0000,1.0000
2019-03-06,34.6900,34.7488,34.5000,34.5100,34.5100,2588758,0.0000,1.0000
2019-03-05,34.9000,34.9600,34.6900,34.6900,34.6900,3155454,0.0000,1.0000
2019-03-04,35.0400,35.2500,34.4400,34.8800,34.8800,3195071,0.0000,1.0000
2019-03-01,35.0400,35.2400,34.8300,34.9300,34.9300,3692436,0.0000,1.0000
2019-02-28,34.5500,34.9225,34.5100,34.8100,34.8100,4663936,0.0000,1.0000
2019-02-27,34.5900,34.7100,34.2541,34.6900,34.6900,2607582,0.2000,1.0000
2019-02-26,35.0400,35.2200,34.9000,34.9100,34.7099,3656143,0.0000,1.0000
2019-02-25,35.0000,35.3150,34.9000,35.0800,34.8789,5160742,0.0000,1.0000
2019-02-22,34.6700,34.9300,34.5897,34.8500,34.6502,2528335,0.0000,1.0000
2019-02-21,34.5400,34.6600,34.3600,34.5000,34.3022,2762029,0.0000,1.0000
2019-02-20,34.2600,34.8000,34.0900,34.6600,34.4613,4175830,0.0000,1.0000
2019-02-19,34.3400,34.4600,34.1400,34.2000,34.0040,3378303,0.0000,1.0000
2019-02-15,34.0300,34.5400,33.9890,34.5100,34.3122,4470613,0.0000,1.0000
2019-02-14,33.8500,33.9300,33.6400,33.7300,33.5366,2951507,0.0000,1.0000
2019-02-13,34.2000,34.2000,33.7700,34.0400,33.8449,3878223,0.0000,1.0000
2019-02-12,33.5800,34.2100,33.5200,34.0200,33.8250,4938298,0.0000,1.0000
2019-02-11,33.4600,33.6200,33.2300,33.3600,33.1688,2536147,0.0000,1.0000
2019-02-08,32.9600,33.3900,32.8600,33.3900,33.1986,4516994,0.0000,1.0000
2019-02-07,33.4800,33.8900,33.0450,33.2100,33.0196,4403671,0.0000,1.0000
2019-02-06,33.4600,33.9700,33.4400,33.7700,33.5764,4369311,0.0000,1.0000
2019-02-05,33.5500,33.7050,33.3500,33.5500,33.3577,4218191,0.0000,1.0000
2019-02-04,33.0700,33.6850,33.0100,33.5500,33.3577,5859400,0.0000,1.0000
2019-02-01,33.4000,33.4800,32.8700,33.0900,32.9003,5166778,0.0000,1.0000
2019-01-31,33.4400,33.4700,32.9150,33.2600,33.0693,11838258,0.0000,1.0000
2019-01-30,33.8300,33.8700,33.1600,33.5200,33.3279,8807963,0.0000,1.0000
2019-01-29,32.1000,33.9700,32.0000,33.7200,33.5267,16592300,0.0000,1.0000
2019-01-28,29.9500,30.5200,29.8100,30.3600,30.1860,8101370,0.0000,1.0000
2019-01-25,30.3100,30.7899,30.1400,30.3600,30.1860,8560105,0.0000,1.0000
2019-01-24,29.4600,30.0600,29.4200,29.8600,29.6888,7361128,0.0000,1.0000
2019-01-23,29.4600,29.7100,28.9300,29.3100,29.1420,9897674,0.0000,1.0000
