timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,90.3800,90.3800,88.5300,88.7800,88.7800,1172896,0.0000,1.0000
2019-04-17,89.5800,90.5700,87.2049,90.1800,90.1800,1037062,0.0000,1.0000
2019-04-16,88.0900,89.7100,88.0800,89.6800,89.6800,1011756,0.0000,1.0000
2019-04-15,87.5800,88.0400,87.4750,87.9100,87.9100,719566,0.0000,1.0000
2019-04-12,86.1400,87.6200,86.0400,87.5700,87.5700,953561,0.0000,1.0000
2019-04-11,85.8900,86.2700,85.3600,85.8500,85.8500,527957,0.0000,1.0000
2019-04-10,85.1600,85.8300,84.8100,85.6000,85.6000,568932,0.0000,1.0000
2019-04-09,86.3700,86.3700,84.7500,85.1500,85.1500,1356614,0.0000,1.0000
2019-04-08,86.2700,86.6550,86.0397,86.5300,86.5300,541241,0.0000,1.0000
2019-04-05,86.2500,86.6700,86.0800,86.5600,86.5600,589931,0.0000,1.0000
2019-04-04,85.2300,86.3550,85.0000,86.0300,86.0300,1303770,0.0000,1.0000
2019-04-03,85.4100,86.0400,84.6100,85.2600,85.2600,745549,0.0000,1.0000
2019-04-02,85.5700,85.7400,84.9600,85.1200,85.1200,569286,0.0000,1.0000
2019-04-01,85.4600,85.8629,85.0200,85.6800,85.6800,925697,0.0000,1.0000
2019-03-29,85.8200,85.8900,84.9600,85.0200,85.0200,1204385,0.0000,1.0000
2019-03-28,85.0500,85.7500,84.9800,85.5600,85.5600,778377,0.0000,1.0000
2019-03-27,84.7200,85.4300,84.0000,84.8700,84.8700,801695,0.0000,1.0000
2019-03-26,84.4400,84.8900,83.9700,84.6800,84.6800,622362,0.0000,1.0000
2019-03-25,83.2900,84.1500,83.0400,83.9600,83.9600,653259,0.0000,1.0000
2019-03-22,84.8200,85.0000,82.8700,83.5100,83.5100,1100570,0.0000,1.0000
2019-03-21,85.1800,85.3300,84.2900,84.9700,84.9700,942855,0.0000,1.0000
2019-03-20,86.6800,87.3402,85.5100,85.8100,85.8100,617462,0.0000,1.0000
2019-03-19,87.1700,88.1400,86.6000,86.9300,86.9300,566933,0.0000,1.0000
2019-03-18,86.8100,87.5950,86.3500,87.1000,87.1000,694803,0.0000,1.0000
2019-03-15,86.6200,87.2600,86.4000,86.7200,86.7200,1393899,0.0000,1.0000
2019-03-14,86.9500,87.3400,86.4500,86.5100,86.5100,624958,0.0000,1.0000
2019-03-13,86.8300,87.5100,86.6100,86.8300,86.8300,1016520,0.0000,1.0000
2019-03-12,87.0000,87.3300,86.0700,86.6500,86.6500,1181373,0.0000,1.0000
2019-03-11,87.2200,87.4675,86.8100,87.0800,87.0800,979880,0.0000,1.0000
2019-03-08,86.3800,87.2800,85.9600,87.0500,87.0500,808390,0.0000,1.0000
2019-03-07,87.7400,87.8027,86.2300,86.7000,86.7000,1230318,0.0000,1.0000
2019-03-06,88.4200,89.0300,87.9600,88.0900,88.0900,662744,0.0000,1.0000
2019-03-05,88.9000,89.3600,88.4400,88.5100,88.5100,711585,0.0000,1.0000
2019-03-04,88.6300,90.0400,87.8100,88.6600,88.6600,1375056,0.0000,1.0000
2019-03-01,85.7900,88.2400,85.7000,88.0200,88.0200,1880740,0.0000,1.0000
2019-02-28,84.3000,85.1200,82.8800,84.9000,84.9000,2428642,0.0000,1.0000
2019-02-27,84.1500,85.0900,84.1500,84.4800,84.4800,1408309,0.0000,1.0000
2019-02-26,85.9100,86.3000,84.5900,84.6400,84.6400,906237,0.0000,1.0000
2019-02-25,86.5100,86.8900,85.6200,86.1700,86.1700,959278,0.0000,1.0000
2019-02-22,86.3300,86.5800,85.6800,86.0000,86.0000,1745863,0.0000,1.0000
2019-02-21,86.6500,86.9451,86.0900,86.2900,86.2900,960376,0.0000,1.0000
2019-02-20,87.5600,87.5600,86.1700,86.9200,86.9200,1307230,0.0000,1.0000
2019-02-19,86.4500,87.5000,85.8100,87.4600,87.4600,1550630,0.0000,1.0000
2019-02-15,90.2400,90.2400,83.5300,86.4000,86.4000,4487907,0.0000,1.0000
2019-02-14,89.6400,90.0700,88.8560,89.7500,89.7500,862953,0.0000,1.0000
2019-02-13,89.5600,90.2700,88.7500,89.9700,89.9700,1346421,0.0000,1.0000
2019-02-12,89.3800,90.6300,89.1400,89.5700,89.5700,1412951,0.0000,1.0000
2019-02-11,90.4900,90.6800,88.2500,88.8800,88.8800,1702064,0.0000,1.0000
2019-02-08,89.6600,93.1900,85.5500,89.3900,89.3900,6386405,0.0000,1.0000
2019-02-07,90.6000,90.6300,88.8900,90.2500,90.2500,2076464,0.0000,1.0000
2019-02-06,91.4200,91.4700,90.4600,91.0000,91.0000,1143230,0.0000,1.0000
2019-02-05,91.5800,91.9800,90.9400,91.5000,91.5000,1039749,0.0000,1.0000
2019-02-04,90.5800,91.8100,90.3356,91.3500,91.3500,1122335,0.0000,1.0000
2019-02-01,90.5400,91.0100,89.6600,90.7800,90.7800,1454230,0.0000,1.0000
2019-01-31,90.5400,91.3800,89.3530,90.5600,90.5600,969754,0.6300,1.0000
2019-01-30,90.9800,91.5400,90.0400,91.0500,90.4210,747513,0.0000,1.0000
2019-01-29,90.7000,90.9200,89.9600,90.6300,90.0039,885922,0.0000,1.0000
2019-01-28,89.1100,90.8800,89.1100,90.7300,90.1032,665857,0.0000,1.0000
2019-01-25,89.9600,90.4900,89.3300,90.1300,89.5073,932554,0.0000,1.0000
2019-01-24,88.2600,89.5500,87.7900,89.4000,88.7824,814320,0.0000,1.0000
2019-01-23,89.1400,89.2900,87.8400,88.2000,87.5907,1092532,0.0000,1.0000
2019-01-22,88.6600,89.3000,87.3400,89.0600,88.4447,856508,0.0000,1.0000
2019-01-18,88.7000,89.1900,87.9400,88.8500,88.2362,1030049,0.0000,1.0000
2019-01-17,86.9200,88.6500,86.8400,88.3900,87.7793,889985,0.0000,1.0000
2019-01-16,87.6600,87.9000,86.6900,87.0800,86.4784,759382,0.0000,1.0000
2019-01-15,86.3500,87.8050,86.0000,87.7500,87.1438,802235,0.0000,1.0000
2019-01-14,86.6500,87.7500,85.7950,86.4900,85.8925,996414,0.0000,1.0000
2019-01-11,85.0800,86.9700,84.9000,86.9200,86.3195,873145,0.0000,1.0000
2019-01-10,84.5000,85.5500,83.7800,85.2500,84.6610,973315,0.0000,1.0000
2019-01-09,85.4100,86.3400,83.6300,85.1700,84.5816,942487,0.0000,1.0000
2019-01-08,84.1600,85.8200,84.1600,85.4100,84.8199,1888119,0.0000,1.0000
2019-01-07,80.7500,83.8700,80.3000,83.2900,82.7146,1951587,0.0000,1.0000
2019-01-04,79.2500,82.3100,78.0900,80.7900,80.2318,2072355,0.0000,1.0000
2019-01-03,79.5800,80.0800,77.3400,77.9000,77.3618,1472655,0.0000,1.0000
2019-01-02,79.8900,81.0500,79.2600,79.9800,79.4274,1758976,0.0000,1.0000
2018-12-31,81.2900,81.6300,80.1400,81.2500,80.6887,1147096,0.0000,1.0000
2018-12-28,81.4500,82.1750,80.7600,81.1300,80.5695,749392,0.0000,1.0000
2018-12-27,79.6700,81.4400,78.3800,81.3900,80.8277,843292,0.0000,1.0000
2018-12-26,78.8400,81.1400,78.1800,81.0700,80.5099,992771,0.0000,1.0000
2018-12-24,78.2000,78.9900,76.8400,78.0200,77.4810,630286,0.0000,1.0000
2018-12-21,79.3000,81.1000,77.7900,78.1100,77.5704,1983688,0.0000,1.0000
2018-12-20,80.0800,80.7700,78.0100,79.0900,78.5436,1413740,0.0000,1.0000
2018-12-19,82.2400,82.7289,79.2100,80.5000,79.9439,1768849,0.0000,1.0000
2018-12-18,83.8800,84.1400,81.8200,82.3000,81.7314,1294184,0.0000,1.0000
2018-12-17,83.8300,85.4500,82.8600,83.5900,83.0125,1713719,0.0000,1.0000
2018-12-14,83.0200,84.8600,82.5100,84.0600,83.4793,1172350,0.0000,1.0000
2018-12-13,84.8100,85.3800,83.5700,83.7600,83.1813,1058708,0.0000,1.0000
2018-12-12,85.0000,85.7000,84.5300,84.8300,84.2439,869529,0.0000,1.0000
2018-12-11,85.0500,85.9300,83.4900,83.8600,83.2806,1096717,0.0000,1.0000
2018-12-10,83.5800,84.1200,81.8100,84.0000,83.4197,1349777,0.0000,1.0000
2018-12-07,86.6700,87.9800,83.2900,83.9300,83.3502,1589856,0.0000,1.0000
2018-12-06,87.3500,87.8300,85.3700,87.4900,86.8856,2250854,0.0000,1.0000
2018-12-04,89.5400,90.2400,87.9500,88.4100,87.7992,1668530,0.0000,1.0000
2018-12-03,91.4700,91.5100,88.6000,89.8700,89.2491,4108988,0.0000,1.0000
2018-11-30,96.9800,97.4500,90.9700,91.0000,90.3713,3746829,0.0000,1.0000
2018-11-29,95.9600,97.4400,95.4200,96.8500,96.1809,777110,0.0000,1.0000
2018-11-28,95.8000,96.9500,95.3600,96.4800,95.8135,881723,0.0000,1.0000
2018-11-27,96.9900,97.4500,94.6200,95.6000,94.9395,948831,0.0000,1.0000
2018-11-26,97.1100,98.2800,96.5100,97.5300,96.8562,1346101,0.0000,1.0000
2018-11-23,93.6800,96.5500,93.6500,96.0300,95.3666,375564,0.0000,1.0000
2018-11-21,94.3600,95.4500,93.9320,94.2000,93.5492,662776,0.0000,1.0000
2018-11-20,94.3200,95.0400,93.4750,93.9600,93.3109,1048520,0.0000,1.0000
2018-11-19,97.7500,98.0394,94.5100,94.8900,94.2344,1274101,0.0000,1.0000
2018-11-16,97.0000,97.9900,96.6800,97.7100,97.0350,1201082,0.0000,1.0000
2018-11-15,95.9300,98.0900,95.1650,97.5600,96.8860,1109924,0.0000,1.0000
2018-11-14,96.2100,97.9000,95.7650,96.6900,96.0220,854629,0.0000,1.0000
2018-11-13,96.0000,97.2500,95.3100,95.5600,94.8998,674458,0.0000,1.0000
2018-11-12,97.0900,97.1900,95.5800,95.6600,94.9991,845786,0.0000,1.0000
2018-11-09,98.2100,98.9300,96.7000,97.3200,96.6476,1109712,0.0000,1.0000
2018-11-08,100.1500,100.8200,98.2500,98.4000,97.7202,1044715,0.0000,1.0000
