timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-02-27,54.3500,54.7100,52.2200,52.2200,52.2200,3189636,0.0000,1.0000
2018-02-26,54.6100,54.6700,53.4200,54.4000,54.4000,2582150,0.0000,1.0000
2018-02-23,53.9100,54.4100,53.0600,54.4100,54.4100,2638932,0.0000,1.0000
2018-02-22,53.8200,55.0600,53.1140,53.7400,53.7400,3324065,0.0000,1.0000
2018-02-21,54.9000,55.0500,53.8500,53.9900,53.9900,3416275,0.0000,1.0000
2018-02-20,55.5100,56.1000,54.7900,54.8000,54.8000,2626558,0.0000,1.0000
2018-02-16,55.3000,56.4400,55.2521,55.7900,55.7900,4025070,0.0000,1.0000
2018-02-15,54.3700,55.5800,54.2000,55.1700,55.1700,2907145,0.0000,1.0000
2018-02-14,54.5400,54.7200,53.4300,54.1500,54.1500,3242832,0.0000,1.0000
2018-02-13,54.3600,55.3200,53.6300,55.0800,55.0800,3832935,0.0000,1.0000
2018-02-12,54.8300,54.9700,53.0000,54.2700,54.2700,4112924,0.8700,1.0000
2018-02-09,54.6300,56.0000,53.6600,55.4800,54.6046,4297357,0.0000,1.0000
2018-02-08,56.3600,57.2100,54.6600,54.6700,53.8074,3863098,0.0000,1.0000
2018-02-07,57.1100,58.1000,56.4300,56.5500,55.6578,3238025,0.0000,1.0000
2018-02-06,55.9100,57.2799,55.2900,57.2100,56.3073,3853840,0.0000,1.0000
2018-02-05,58.3700,58.8600,56.4100,56.5300,55.6381,3513489,0.0000,1.0000
2018-02-02,57.5700,58.8200,56.8900,58.4500,57.5278,2821263,0.0000,1.0000
2018-02-01,60.0000,60.2900,57.9400,58.0400,57.1242,2608406,0.0000,1.0000
2018-01-31,58.6500,60.0100,58.6000,59.9700,59.0238,4248709,0.0000,1.0000
2018-01-30,59.4400,59.8900,58.5300,58.5300,57.6065,2415852,0.0000,1.0000
2018-01-29,60.1500,60.2300,58.9900,59.5200,58.5809,2044891,0.0000,1.0000
2018-01-26,60.9700,60.9900,60.0900,60.5900,59.6340,2171322,0.0000,1.0000
2018-01-25,60.5300,60.9100,60.4100,60.8400,59.8801,2133343,0.0000,1.0000
2018-01-24,60.2700,60.9400,60.1450,60.5400,59.5848,2355891,0.0000,1.0000
2018-01-23,59.6700,60.5100,59.2800,60.3200,59.3683,2740074,0.0000,1.0000
2018-01-22,59.2600,59.7100,59.0100,59.3300,58.3939,2817882,0.0000,1.0000
2018-01-19,59.2900,59.3210,58.2400,59.2900,58.3545,3010988,0.0000,1.0000
2018-01-18,59.9000,59.9000,58.9600,59.2900,58.3545,3449603,0.0000,1.0000
2018-01-17,59.5800,60.1900,59.0100,60.1100,59.1616,4694960,0.0000,1.0000
2018-01-16,59.3000,60.7200,59.2000,59.2600,58.3250,3144839,0.0000,1.0000
2018-01-12,60.3100,60.3100,58.9800,59.1600,58.2266,2682151,0.0000,1.0000
2018-01-11,61.0400,61.4300,60.1400,60.1700,59.2206,2404917,0.0000,1.0000
2018-01-10,61.0800,61.2000,60.7000,60.7100,59.7521,3046684,0.0000,1.0000
2018-01-09,62.5000,62.6200,61.3000,61.3700,60.4017,2016259,0.0000,1.0000
2018-01-08,62.4000,62.8400,62.3300,62.5900,61.6025,1617417,0.0000,1.0000
2018-01-05,62.8400,62.9800,62.2100,62.3700,61.3859,1993651,0.0000,1.0000
2018-01-04,64.1100,64.1450,62.7300,62.7600,61.7698,1982055,0.0000,1.0000
2018-01-03,64.3000,64.6800,63.9500,64.1400,63.1280,1827003,0.0000,1.0000
2018-01-02,63.9100,64.5000,63.6700,64.0300,63.0197,1992357,0.0000,1.0000
2017-12-29,63.7000,64.2920,63.5100,63.7700,62.7638,1367448,0.0000,1.0000
2017-12-28,63.2800,63.7400,63.0600,63.7200,62.7146,1268521,0.0000,1.0000
2017-12-27,63.7100,63.7500,63.1167,63.2700,62.2717,1542207,0.0000,1.0000
2017-12-26,63.3500,64.0800,63.1500,63.4900,62.4883,1799705,0.0000,1.0000
2017-12-22,63.5400,63.8700,63.2800,63.4000,62.3997,1585070,0.0000,1.0000
2017-12-21,63.5550,63.9700,63.2600,63.4800,62.4784,1852399,0.0000,1.0000
2017-12-20,64.4800,65.1200,63.6500,63.6600,62.6556,2169566,0.0000,1.0000
2017-12-19,67.0200,67.2400,64.1100,64.4800,63.4626,4079613,0.0000,1.0000
2017-12-18,67.2700,67.7959,67.0700,67.3400,66.2775,1603811,0.0000,1.0000
2017-12-15,66.6300,67.2500,66.3900,66.9400,65.8838,3935064,0.0000,1.0000
2017-12-14,66.2850,66.6300,66.0800,66.2900,65.2441,1894633,0.0000,1.0000
2017-12-13,66.3400,66.8700,66.2600,66.4100,65.3622,2318409,0.0000,1.0000
2017-12-12,65.9700,66.4500,65.5850,66.1200,65.0768,2457286,0.0000,1.0000
2017-12-11,66.2800,66.3000,65.6900,65.9200,64.8799,2101122,0.0000,1.0000
2017-12-08,66.2900,66.6300,66.1300,66.3200,65.2736,2003350,0.0000,1.0000
2017-12-07,66.2900,67.0000,65.9900,66.1900,65.1457,2545938,0.0000,1.0000
2017-12-06,66.1200,66.6700,65.7500,66.2900,65.2441,2226111,0.0000,1.0000
2017-12-05,66.9900,67.2500,65.9700,66.1200,65.0768,2671671,0.0000,1.0000
2017-12-04,68.0900,68.2100,66.7700,67.1300,66.0708,2461535,0.0000,1.0000
2017-12-01,67.7100,68.2200,67.1100,67.9600,66.8877,2051724,0.0000,1.0000
