timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,114.5300,114.9450,113.3300,113.4600,113.4600,12501949,0.0000,1.0000
2019-04-17,111.7000,114.6600,111.0100,114.3000,114.3000,17791890,0.0000,1.0000
2019-04-16,109.9000,111.3900,109.8600,111.1000,111.1000,11583232,0.0000,1.0000
2019-04-15,110.9200,111.0000,109.1200,109.9400,109.9400,15163815,0.0000,1.0000
2019-04-12,109.4400,111.8500,108.8800,111.2100,111.2100,25834073,0.0000,1.0000
2019-04-11,105.7100,106.7300,105.5600,106.2300,106.2300,11183845,0.0000,1.0000
2019-04-10,105.1300,105.7150,104.4700,105.3400,105.3400,10882304,0.0000,1.0000
2019-04-09,105.0800,105.2000,104.2500,104.8700,104.8700,9092188,0.0000,1.0000
2019-04-08,105.1100,105.6500,104.9100,105.6500,105.6500,8056282,0.0000,1.0000
2019-04-05,105.8000,106.1100,104.9900,105.3100,105.3100,9933660,0.0000,1.0000
2019-04-04,104.5500,105.7300,104.4500,105.5600,105.5600,11952078,0.8000,1.0000
2019-04-03,105.8100,106.3600,104.7850,105.3500,104.5576,11499209,0.0000,1.0000
2019-04-02,104.6000,105.4400,104.3300,105.1400,104.3492,10295539,0.0000,1.0000
2019-04-01,102.1500,104.6800,102.1200,104.6400,103.8529,17499280,0.0000,1.0000
2019-03-29,101.5400,101.9900,100.5850,101.2300,100.4686,14523395,0.0000,1.0000
2019-03-28,100.0000,100.8000,99.7400,100.7100,99.9525,12454070,0.0000,1.0000
2019-03-27,99.8800,100.4499,99.0800,99.5800,98.8310,12753234,0.0000,1.0000
2019-03-26,99.8200,100.4000,98.8200,99.9200,99.1684,15987129,0.0000,1.0000
2019-03-25,99.5900,100.5700,98.0900,98.9300,98.1859,21032295,0.0000,1.0000
2019-03-22,101.8200,102.3200,99.5200,99.7600,99.0096,31115189,0.0000,1.0000
2019-03-21,103.4900,103.4900,102.2804,102.8700,102.0963,19751044,0.0000,1.0000
2019-03-20,106.4300,106.6500,104.4100,104.5200,103.7338,14920658,0.0000,1.0000
2019-03-19,108.2000,108.4000,106.5500,106.8000,105.9967,12889267,0.0000,1.0000
2019-03-18,106.5500,107.7850,106.5000,107.1900,106.3838,12935514,0.0000,1.0000
2019-03-15,105.4100,106.8000,105.2300,106.5500,105.7486,24811730,0.0000,1.0000
2019-03-14,104.5000,105.8700,104.4600,105.3400,104.5477,10926470,0.0000,1.0000
2019-03-13,104.1900,104.9800,103.9500,104.3900,103.6048,13022241,0.0000,1.0000
2019-03-12,104.5900,104.7900,103.7544,104.0400,103.2575,10219100,0.0000,1.0000
2019-03-11,103.9800,104.5450,103.6600,104.3500,103.5651,9763235,0.0000,1.0000
2019-03-08,101.9900,103.2300,101.9900,103.0100,102.2352,10582371,0.0000,1.0000
2019-03-07,103.2500,103.4700,102.1600,102.9700,102.1955,12705739,0.0000,1.0000
2019-03-06,103.8600,104.5700,103.5500,103.7200,102.9399,9070782,0.0000,1.0000
2019-03-05,104.1300,104.5500,103.2600,104.1100,103.3269,10856646,0.0000,1.0000
2019-03-04,104.9200,105.9155,103.2668,104.1900,103.4063,12466285,0.0000,1.0000
2019-03-01,105.1000,105.9050,104.2000,104.4300,103.6445,13813310,0.0000,1.0000
2019-02-28,105.0100,105.2100,104.1800,104.3600,103.5750,15156850,0.0000,1.0000
2019-02-27,105.1800,105.3800,104.5050,105.1600,104.3690,9968822,0.0000,1.0000
2019-02-26,104.5000,105.4700,103.9400,105.2900,104.4980,15465393,0.0000,1.0000
2019-02-25,105.7500,107.2700,105.6900,106.1000,105.3020,11230679,0.0000,1.0000
2019-02-22,105.7000,106.0900,104.7750,105.0000,104.2102,10647258,0.0000,1.0000
2019-02-21,105.4500,105.9900,104.9600,105.4700,104.6767,8400075,0.0000,1.0000
