timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,58.2500,58.5900,57.7200,58.4500,58.4500,1208839,0.0000,1.0000
2019-04-17,58.5400,58.5400,57.6550,58.0900,58.0900,1228734,0.0000,1.0000
2019-04-16,58.3000,58.8700,58.0400,58.3900,58.3900,1941593,0.0000,1.0000
2019-04-15,57.6900,58.3900,57.4600,58.3500,58.3500,1597253,0.0000,1.0000
2019-04-12,57.3600,57.8500,57.2800,57.5700,57.5700,1710055,0.0000,1.0000
2019-04-11,57.7700,57.9000,56.8900,57.3500,57.3500,1841575,0.0000,1.0000
2019-04-10,57.2400,57.5600,56.8400,57.5500,57.5500,2873153,0.0000,1.0000
2019-04-09,57.3700,57.5900,56.7500,57.1600,57.1600,2285226,0.0000,1.0000
2019-04-08,56.7400,57.5700,56.7400,57.5000,57.5000,1909414,0.0000,1.0000
2019-04-05,56.3200,56.8200,56.1000,56.8000,56.8000,1703964,0.0000,1.0000
2019-04-04,56.7100,56.8800,56.2475,56.4500,56.4500,1479801,0.0000,1.0000
2019-04-03,56.2100,56.7900,55.9630,56.6600,56.6600,2496603,0.0000,1.0000
2019-04-02,56.2200,56.6100,55.9115,56.3500,56.3500,4093084,0.0000,1.0000
2019-04-01,57.5000,57.6500,55.5000,56.0200,56.0200,3181976,0.0000,1.0000
2019-03-29,56.8900,57.4900,56.8450,57.3800,57.3800,1573799,0.0000,1.0000
2019-03-28,57.1600,57.5600,56.8050,56.9700,56.9700,1079439,0.0000,1.0000
2019-03-27,57.4700,57.8100,56.6900,56.9400,56.9400,2436557,0.0000,1.0000
2019-03-26,56.7100,57.6100,56.7100,57.5700,57.5700,2135944,0.0000,1.0000
2019-03-25,56.7900,56.9231,56.3200,56.6700,56.6700,2025962,0.0000,1.0000
2019-03-22,56.3400,57.2500,56.3000,56.7400,56.7400,3192137,0.0000,1.0000
2019-03-21,54.2600,56.7500,54.1000,56.4800,56.4800,4174506,0.0000,1.0000
2019-03-20,54.5600,54.8500,54.0500,54.1100,54.1100,2832527,0.0000,1.0000
2019-03-19,54.1700,54.7700,54.1000,54.4100,54.4100,2475402,0.0000,1.0000
2019-03-18,54.2700,54.5100,54.0600,54.2700,54.2700,1567968,0.0000,1.0000
