timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,124.0400,125.9200,123.1700,125.0300,125.0300,2825198,0.0000,1.0000
2019-04-17,121.2500,123.8900,119.1000,122.8100,122.8100,2295734,0.0000,1.0000
2019-04-16,117.5900,118.5700,116.6800,117.9900,117.9900,1094464,0.0000,1.0000
2019-04-15,118.2300,118.6300,117.2600,117.6100,117.6100,739473,0.0000,1.0000
2019-04-12,118.0000,118.9500,117.5900,118.3800,118.3800,671179,0.0000,1.0000
2019-04-11,117.1400,117.3900,115.8550,117.1300,117.1300,701874,0.0000,1.0000
2019-04-10,116.4100,117.1800,115.2300,117.1200,117.1200,679676,0.0000,1.0000
2019-04-09,116.9300,117.0000,116.0300,116.4600,116.4600,593196,0.0000,1.0000
2019-04-08,117.5000,117.7400,116.7000,117.6000,117.6000,510571,0.0000,1.0000
2019-04-05,117.2100,117.9300,116.8000,117.3900,117.3900,732505,0.0000,1.0000
2019-04-04,116.4800,117.8200,115.6700,117.1800,117.1800,1028227,0.0000,1.0000
2019-04-03,117.5700,117.9900,116.1500,116.5500,116.5500,1220617,0.0000,1.0000
2019-04-02,117.5100,117.7800,116.2500,116.8300,116.8300,955789,0.0000,1.0000
2019-04-01,116.4900,118.6500,116.3500,117.7900,117.7900,1137392,0.0000,1.0000
2019-03-29,117.0700,118.3300,115.6700,115.9800,115.9800,1572767,0.0000,1.0000
2019-03-28,114.6500,116.2700,114.6500,116.1400,116.1400,654459,0.0000,1.0000
2019-03-27,113.5200,114.9500,113.4000,114.7600,114.7600,1003204,0.0000,1.0000
2019-03-26,113.3900,114.0700,112.6450,113.7400,113.7400,634162,0.0000,1.0000
2019-03-25,112.7900,114.7100,112.1800,112.5900,112.5900,1343834,0.0000,1.0000
2019-03-22,114.5800,115.5200,111.3700,112.4600,112.4600,1928055,0.0000,1.0000
2019-03-21,113.9100,116.9000,112.9200,116.5100,116.5100,1304253,0.0000,1.0000
2019-03-20,115.2000,115.2600,111.2700,112.9500,112.9500,2259697,0.0000,1.0000
2019-03-19,116.1100,116.9200,114.9700,115.1400,115.1400,1272722,0.0000,1.0000
2019-03-18,114.7800,116.2200,114.6200,116.0600,116.0600,861487,0.0000,1.0000
2019-03-15,114.9200,115.9500,113.8300,114.5000,114.5000,1340458,0.0000,1.0000
2019-03-14,114.8400,115.2200,114.0900,114.9400,114.9400,711014,0.0000,1.0000
2019-03-13,113.6400,115.2350,113.2800,114.4800,114.4800,839350,0.0000,1.0000
2019-03-12,114.8500,114.9600,112.9800,113.3400,113.3400,858829,0.0000,1.0000
2019-03-11,111.4600,114.8950,111.0900,114.6000,114.6000,1241497,0.0000,1.0000
2019-03-08,110.9200,111.4300,109.3686,111.3000,111.3000,1686872,0.3600,1.0000
2019-03-07,111.3200,112.3400,110.4200,112.0500,111.6887,1240697,0.0000,1.0000
2019-03-06,110.2100,112.0700,110.2100,111.5000,111.1405,1001924,0.0000,1.0000
2019-03-05,110.4400,112.1800,109.6500,110.1300,109.7749,1408341,0.0000,1.0000
2019-03-04,108.7700,111.7100,108.7700,110.4000,110.0441,1524631,0.0000,1.0000
2019-03-01,109.8200,109.8200,107.8900,108.0600,107.7116,990220,0.0000,1.0000
2019-02-28,108.6300,108.7600,107.6100,108.6400,108.2897,1161726,0.0000,1.0000
2019-02-27,109.5000,109.9900,108.4200,108.6400,108.2897,914014,0.0000,1.0000
2019-02-26,111.3100,111.5600,109.4600,109.5100,109.1569,1020101,0.0000,1.0000
2019-02-25,111.8900,112.7225,110.9600,111.5000,111.1405,1225475,0.0000,1.0000
2019-02-22,111.8500,112.7000,111.0600,111.3500,110.9910,968927,0.0000,1.0000
2019-02-21,110.6400,112.3450,110.3700,111.7500,111.3897,1554580,0.0000,1.0000
2019-02-20,111.0000,112.7800,109.8301,111.0600,110.7019,1693876,0.0000,1.0000
2019-02-19,107.2900,110.1300,106.9000,109.5500,109.1968,1462264,0.0000,1.0000
2019-02-15,105.7100,107.6100,105.6300,107.5400,107.1933,1200081,0.0000,1.0000
