timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,187.8000,189.5400,187.2850,189.0600,189.0600,627275,0.0000,1.0000
2019-04-17,190.6800,191.3000,187.9700,187.9700,187.9700,708124,0.0000,1.0000
2019-04-16,189.2700,190.7800,188.9000,190.5400,190.5400,717982,0.0000,1.0000
2019-04-15,187.1400,189.4900,187.1400,189.2100,189.2100,609323,0.0000,1.0000
2019-04-12,186.9000,187.2700,185.8400,187.1100,187.1100,679801,0.0000,1.0000
2019-04-11,185.6100,185.6200,184.5700,185.2500,185.2500,862321,0.0000,1.0000
2019-04-10,186.8200,187.8300,184.7850,185.2800,185.2800,1051327,0.0000,1.0000
2019-04-09,186.2500,187.0200,185.4100,186.6600,186.6600,771658,0.0000,1.0000
2019-04-08,186.7000,187.8200,185.6300,187.1700,187.1700,954585,0.0000,1.0000
2019-04-05,187.6900,188.5100,186.5900,187.2400,187.2400,652142,0.0000,1.0000
2019-04-04,186.7800,187.6500,185.7100,186.8300,186.8300,546618,0.0000,1.0000
2019-04-03,186.4500,187.3000,185.5000,186.2200,186.2200,767442,0.0000,1.0000
2019-04-02,184.8900,185.4850,183.4100,185.0500,185.0500,1245530,0.0000,1.0000
2019-04-01,182.7900,184.5800,182.6700,184.4800,184.4800,739575,0.0000,1.0000
2019-03-29,180.9900,181.6100,179.9700,181.0900,181.0900,1052336,0.0000,1.0000
2019-03-28,178.2000,179.8200,177.9300,179.3900,179.3900,655972,0.0000,1.0000
2019-03-27,178.0000,178.5000,176.3550,177.8400,177.8400,973885,0.0000,1.0000
2019-03-26,179.3100,179.3600,175.9200,177.9100,177.9100,1108847,0.0000,1.0000
2019-03-25,177.8100,178.6500,176.5000,177.4100,177.4100,826688,0.0000,1.0000
2019-03-22,180.5100,180.9700,177.6900,177.8900,177.8900,990215,0.0000,1.0000
2019-03-21,176.3300,182.5300,176.3300,181.9900,181.9900,1706060,0.0000,1.0000
2019-03-20,178.2700,178.3100,176.3600,177.2500,177.2500,1269835,0.0000,1.0000
2019-03-19,179.0000,179.4300,178.0100,178.6300,178.6300,647656,0.0000,1.0000
2019-03-18,177.0000,178.1400,176.5450,177.9700,177.9700,821927,0.0000,1.0000
2019-03-15,175.1300,177.1200,174.6300,176.6900,176.6900,1188449,0.0000,1.0000
2019-03-14,173.7700,175.0800,173.1400,174.9800,174.9800,949468,0.0000,1.0000
2019-03-13,173.1700,174.5600,172.4100,173.5600,173.5600,957245,0.0000,1.0000
2019-03-12,172.0000,173.5500,171.7100,172.4300,172.4300,987030,0.0000,1.0000
2019-03-11,170.0800,172.0500,170.0800,171.5400,171.5400,802005,0.0000,1.0000
2019-03-08,168.1900,170.1000,167.7800,169.9400,169.9400,681858,0.0000,1.0000
2019-03-07,169.5400,170.3700,168.2000,169.3600,169.3600,904368,0.0000,1.0000
2019-03-06,171.0500,171.5700,169.0300,170.1500,170.1500,925976,0.0000,1.0000
2019-03-05,172.2400,173.6600,170.7700,171.0600,171.0600,910550,0.0000,1.0000
2019-03-04,175.5500,177.0000,170.5400,172.2400,172.2400,1295445,0.0000,1.0000
2019-03-01,174.8600,176.0000,174.6300,175.6700,175.6700,780910,0.0000,1.0000
2019-02-28,173.9000,174.8700,172.7650,173.1200,173.1200,822696,0.0000,1.0000
2019-02-27,171.9400,173.8125,171.6700,173.6000,173.6000,618530,0.0000,1.0000
2019-02-26,172.1000,173.6900,171.5200,172.4900,172.4900,715610,0.0000,1.0000
2019-02-25,173.5000,175.0800,172.0800,172.5000,172.5000,946199,0.0000,1.0000
2019-02-22,170.8800,172.9400,170.6500,172.7000,172.7000,862309,0.5000,1.0000
2019-02-21,169.7400,170.7700,168.7400,170.6000,170.1075,1209835,0.0000,1.0000
2019-02-20,168.4400,169.6500,167.9800,169.4600,168.9708,837386,0.0000,1.0000
2019-02-19,168.8500,169.6400,166.0100,167.9600,167.4751,978525,0.0000,1.0000
2019-02-15,169.9900,171.9800,166.8200,169.2600,168.7714,2228820,0.0000,1.0000
2019-02-14,163.4400,164.5600,162.5700,163.7300,163.2573,1378886,0.0000,1.0000
2019-02-13,164.2000,165.8000,163.8100,164.6100,164.1348,564840,0.0000,1.0000
2019-02-12,163.0000,163.3500,161.8000,163.1500,162.6790,652435,0.0000,1.0000
2019-02-11,161.6800,162.5400,160.8500,161.8000,161.3329,583815,0.0000,1.0000
2019-02-08,159.6800,161.1900,159.0300,161.0300,160.5651,940765,0.0000,1.0000
2019-02-07,159.4700,161.1100,158.7200,160.7600,160.2959,958565,0.0000,1.0000
2019-02-06,161.9900,162.4800,160.3800,161.7000,161.2332,1369494,0.0000,1.0000
2019-02-05,160.7800,163.0300,160.7800,162.7700,162.3001,1023692,0.0000,1.0000
2019-02-04,160.0400,161.0000,158.8900,160.6700,160.2062,615303,0.0000,1.0000
2019-02-01,158.7600,161.2700,158.7600,160.2000,159.7375,778795,0.0000,1.0000
2019-01-31,155.7300,159.1900,155.0900,158.5100,158.0524,1067715,0.0000,1.0000
2019-01-30,155.2100,156.9400,154.6000,156.4700,156.0183,836288,0.0000,1.0000
2019-01-29,155.6300,156.3900,154.8800,155.1400,154.6921,604631,0.0000,1.0000
2019-01-28,154.7600,156.6900,154.7300,155.8800,155.4300,906083,0.0000,1.0000
2019-01-25,155.5200,157.0400,154.7600,156.5300,156.0781,859709,0.0000,1.0000
2019-01-24,154.4200,155.1500,153.6900,154.1200,153.6751,941747,0.0000,1.0000
2019-01-23,155.7500,156.2800,153.5600,154.8100,154.3631,901114,0.0000,1.0000
2019-01-22,158.6300,159.3100,154.4200,155.4800,155.0312,1496165,0.0000,1.0000
2019-01-18,159.1600,160.0200,158.1100,159.4000,158.9398,1003095,0.0000,1.0000
2019-01-17,154.5400,158.3900,154.5326,157.8600,157.4043,966281,0.0000,1.0000
2019-01-16,154.0900,156.0600,153.5800,155.4000,154.9514,1068286,0.0000,1.0000
2019-01-15,149.3500,153.5700,149.1700,153.2300,152.7877,976631,0.0000,1.0000
2019-01-14,147.5900,149.6700,147.5200,149.2200,148.7892,756697,0.0000,1.0000
2019-01-11,148.1900,149.5800,147.3800,148.9700,148.5399,933704,0.0000,1.0000
2019-01-10,145.6800,149.2300,145.0200,149.0400,148.6097,929846,0.0000,1.0000
2019-01-09,145.8800,148.1400,145.7900,146.3900,145.9674,1017061,0.0000,1.0000
2019-01-08,142.3700,145.9500,141.4900,145.9000,145.4788,1437454,0.0000,1.0000
2019-01-07,142.7800,145.4300,142.5800,143.8100,143.3948,941332,0.0000,1.0000
2019-01-04,138.5500,143.8200,138.4700,143.2800,142.8664,1139239,0.0000,1.0000
2019-01-03,140.3800,140.7300,135.9200,136.1800,135.7869,1064476,0.0000,1.0000
2019-01-02,137.4200,142.1800,137.4200,140.8500,140.4434,1196393,0.0000,1.0000
2018-12-31,140.1600,140.8200,138.7800,140.0400,139.6357,679283,0.0000,1.0000
2018-12-28,140.6100,141.2400,138.2400,139.3500,138.9477,769774,0.0000,1.0000
2018-12-27,135.6400,139.9700,134.2200,139.9500,139.5460,1126833,0.0000,1.0000
