timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,71.7300,71.9500,71.2200,71.4400,71.4400,2353110,0.0000,1.0000
2019-04-17,71.6600,72.2100,71.0850,71.1200,71.1200,1205000,0.0000,1.0000
2019-04-16,70.5100,71.5500,69.9100,71.4300,71.4300,1641406,0.0000,1.0000
2019-04-15,70.5900,70.8500,70.2000,70.3600,70.3600,1141372,0.0000,1.0000
2019-04-12,70.0000,70.7300,69.8000,70.5000,70.5000,1328483,0.0000,1.0000
2019-04-11,68.9700,69.7650,68.6220,69.7100,69.7100,1395765,0.0000,1.0000
2019-04-10,68.5700,68.9100,68.1700,68.7800,68.7800,1103033,0.0000,1.0000
2019-04-09,68.5200,68.7650,67.9500,68.4000,68.4000,1341159,0.0000,1.0000
2019-04-08,68.8400,69.0900,68.4900,68.9400,68.9400,1076814,0.0000,1.0000
2019-04-05,69.3200,69.4300,68.8300,69.0200,69.0200,1221438,0.0000,1.0000
2019-04-04,68.2500,69.4125,68.0100,69.0200,69.0200,3534756,0.0000,1.0000
2019-04-03,68.6700,68.9500,68.0250,68.3300,68.3300,2630611,0.0000,1.0000
2019-04-02,69.1000,69.1000,68.2000,68.4200,68.4200,4759517,0.0000,1.0000
2019-04-01,68.8100,69.2400,68.3400,69.0500,69.0500,2669493,0.0000,1.0000
2019-03-29,68.7900,68.9500,68.0300,68.1400,68.1400,2319981,0.0000,1.0000
2019-03-28,67.9300,68.8600,67.7100,68.2700,68.2700,1159213,0.0000,1.0000
2019-03-27,67.4800,68.0600,67.3700,67.8200,67.8200,1020971,0.0000,1.0000
2019-03-26,67.7200,68.1500,67.1550,67.4200,67.4200,1230892,0.0000,1.0000
2019-03-25,67.4350,67.8200,67.1000,67.4000,67.4000,1171288,0.0000,1.0000
2019-03-22,67.7900,68.0900,66.8500,67.0300,67.0300,2087912,0.0000,1.0000
2019-03-21,67.3300,68.3300,67.3300,68.1900,68.1900,1206402,0.0000,1.0000
2019-03-20,67.9300,68.4199,67.4200,67.7400,67.7400,1312019,0.0000,1.0000
2019-03-19,68.7600,68.9900,67.8300,68.1000,68.1000,1369791,0.0000,1.0000
2019-03-18,67.5800,68.4800,67.4900,68.4100,68.4100,1785668,0.0000,1.0000
2019-03-15,68.4600,68.8600,67.5800,67.6500,67.6500,3013377,0.0000,1.0000
2019-03-14,68.5300,68.7300,68.0950,68.4500,68.4500,2392273,0.0000,1.0000
2019-03-13,68.5900,69.0100,68.2050,68.7400,68.7400,2979852,0.0000,1.0000
2019-03-12,68.2400,68.3100,67.8800,68.2400,68.2400,2261590,0.0000,1.0000
2019-03-11,67.3900,68.2200,67.1500,68.1500,68.1500,1800814,0.0000,1.0000
2019-03-08,66.5000,67.3700,66.2000,67.3100,67.3100,1858239,0.0000,1.0000
2019-03-07,67.0100,67.2345,65.9200,67.1200,67.1200,2102745,0.0000,1.0000
