timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,58.9500,60.3100,57.8700,58.8700,58.8700,7421492,0.0000,1.0000
2019-04-17,58.6900,58.8205,58.3500,58.7100,58.7100,2623999,0.0000,1.0000
2019-04-16,60.0100,60.3200,58.5200,58.7500,58.7500,2022279,0.0000,1.0000
2019-04-15,59.9900,60.2900,59.7700,59.9900,59.9900,1889581,0.0000,1.0000
2019-04-12,59.4200,59.9200,58.9300,59.8900,59.8900,2436873,0.0000,1.0000
2019-04-11,59.5500,59.8100,59.3200,59.5300,59.5300,1970498,0.0000,1.0000
2019-04-10,59.7500,60.3600,59.3300,59.4700,59.4700,2297282,0.0000,1.0000
2019-04-09,59.1800,59.7850,59.0100,59.6000,59.6000,2972381,0.0000,1.0000
2019-04-08,59.5500,59.7300,59.0900,59.2500,59.2500,1737859,0.0000,1.0000
2019-04-05,59.2600,59.7000,59.0100,59.7000,59.7000,2611802,0.0000,1.0000
2019-04-04,59.1000,59.5000,58.7100,59.3000,59.3000,3443899,0.0000,1.0000
2019-04-03,59.1000,59.1200,58.5400,58.8300,58.8300,2089675,0.0000,1.0000
2019-04-02,58.6900,59.0950,58.2700,59.0500,59.0500,2768337,0.0000,1.0000
2019-04-01,59.3200,59.3200,58.1200,58.5400,58.5400,2898843,0.0000,1.0000
2019-03-29,58.8800,59.4650,58.5900,59.4100,59.4100,2613401,0.0000,1.0000
2019-03-28,59.2600,59.4000,58.5700,58.7900,58.7900,2298140,0.0000,1.0000
2019-03-27,59.9100,59.9950,59.1100,59.2800,59.2800,1991787,0.0000,1.0000
2019-03-26,59.6800,59.9200,59.4800,59.9200,59.9200,2573371,0.0000,1.0000
2019-03-25,59.7200,59.7300,59.3900,59.5800,59.5800,1611569,0.0000,1.0000
2019-03-22,59.6500,60.0850,59.4800,59.6300,59.6300,1903664,0.0000,1.0000
2019-03-21,58.9200,59.5900,58.7600,59.4800,59.4800,1808552,0.0000,1.0000
2019-03-20,59.2000,59.3950,58.7200,58.8900,58.8900,2676859,0.0000,1.0000
2019-03-19,59.4400,59.5900,58.8800,59.1200,59.1200,2539009,0.0000,1.0000
2019-03-18,59.8300,59.8700,59.3150,59.6100,59.6100,2643854,0.0000,1.0000
2019-03-15,59.6100,59.9200,59.4000,59.7300,59.7300,7124277,0.0000,1.0000
2019-03-14,59.5400,59.9500,59.3100,59.6400,59.6400,2420781,0.0000,1.0000
2019-03-13,59.2300,59.5900,58.9500,59.5100,59.5100,4637016,0.0000,1.0000
2019-03-12,58.7900,59.2100,58.5450,59.1300,59.1300,2847452,0.0000,1.0000
2019-03-11,58.8400,59.0200,58.5400,58.6700,58.6700,3506029,0.0000,1.0000
2019-03-08,59.0700,59.1600,58.4200,58.8800,58.8800,2883648,0.0000,1.0000
2019-03-07,58.9500,59.2200,58.5400,59.0000,59.0000,4472629,0.4700,1.0000
2019-03-06,59.4400,59.6500,58.9800,59.1600,58.6924,4228220,0.0000,1.0000
2019-03-05,59.5700,59.6800,59.2900,59.3300,58.8611,4108182,0.0000,1.0000
2019-03-04,59.4200,59.6100,58.9400,59.5800,59.1091,3374689,0.0000,1.0000
2019-03-01,58.9200,59.3450,58.7450,59.2500,58.7817,3221569,0.0000,1.0000
2019-02-28,58.5000,59.0500,58.3500,58.8100,58.3452,4503572,0.0000,1.0000
2019-02-27,58.3000,58.9300,57.7300,58.5600,58.0972,3402431,0.0000,1.0000
2019-02-26,57.4500,57.5700,57.0000,57.3200,56.8670,5450271,0.0000,1.0000
2019-02-25,57.3800,57.5700,56.8800,57.3300,56.8769,4385167,0.0000,1.0000
2019-02-22,57.0500,57.6300,56.7400,57.3000,56.8471,3060874,0.0000,1.0000
2019-02-21,56.2900,56.9500,56.1000,56.9100,56.4602,3939288,0.0000,1.0000
2019-02-20,56.2700,56.7100,55.9900,56.6100,56.1626,3958715,0.0000,1.0000
2019-02-19,55.3500,56.2900,55.3500,56.2200,55.7757,4177367,0.0000,1.0000
2019-02-15,56.2000,56.4500,56.0500,56.3200,55.8749,3005564,0.0000,1.0000
2019-02-14,55.9800,56.2800,55.6900,55.9300,55.4880,2847450,0.0000,1.0000
2019-02-13,55.8300,56.0100,55.6500,55.9900,55.5475,3026360,0.0000,1.0000
2019-02-12,56.0300,56.2400,55.5600,56.0000,55.5574,2685376,0.0000,1.0000
2019-02-11,55.9000,56.1200,55.7200,55.9800,55.5376,2890030,0.0000,1.0000
2019-02-08,55.6400,55.8900,55.2600,55.8800,55.4384,3049943,0.0000,1.0000
2019-02-07,55.0000,55.6900,54.7600,55.6900,55.2499,3339772,0.0000,1.0000
2019-02-06,54.7500,55.1000,54.6800,55.0000,54.5653,2733862,0.0000,1.0000
2019-02-05,54.8700,55.0500,54.4950,54.9000,54.4661,3384602,0.0000,1.0000
2019-02-04,54.3100,55.0000,53.9100,54.9700,54.5356,2583846,0.0000,1.0000
2019-02-01,54.4900,54.6300,54.0500,54.5100,54.0792,2809766,0.0000,1.0000
2019-01-31,53.1800,54.6800,52.9300,54.5500,54.1189,3429102,0.0000,1.0000
2019-01-30,52.5000,53.4800,52.5000,53.2500,52.8292,2390093,0.0000,1.0000
2019-01-29,52.5800,52.9100,52.4550,52.7700,52.3530,2496819,0.0000,1.0000
2019-01-28,52.6400,52.9300,52.0800,52.4000,51.9859,2447673,0.0000,1.0000
2019-01-25,53.0000,53.3400,52.5900,52.6500,52.2339,2559082,0.0000,1.0000
2019-01-24,53.2800,53.2800,52.7300,53.2400,52.8192,2327055,0.0000,1.0000
2019-01-23,52.6400,53.3800,52.6400,53.3300,52.9085,2906915,0.0000,1.0000
2019-01-22,52.0200,52.8100,51.9800,52.7200,52.3033,3704375,0.0000,1.0000
2019-01-18,52.0900,52.3400,51.6800,51.9400,51.5295,4101888,0.0000,1.0000
2019-01-17,51.5200,52.3000,51.4600,52.2100,51.7974,4598260,0.0000,1.0000
2019-01-16,51.3200,51.6700,51.1400,51.4500,51.0434,2908560,0.0000,1.0000
2019-01-15,50.6800,51.6300,50.5900,51.4700,51.0632,3568973,0.0000,1.0000
2019-01-14,51.5300,51.5300,49.9700,50.7500,50.3489,4364153,0.0000,1.0000
2019-01-11,51.8900,52.1900,51.5600,51.8800,51.4700,3800509,0.0000,1.0000
2019-01-10,51.3900,52.0900,51.2700,52.0000,51.5890,2884480,0.0000,1.0000
2019-01-09,51.4900,51.9200,51.0600,51.2900,50.8846,2750150,0.0000,1.0000
2019-01-08,51.5600,51.7900,51.2600,51.6800,51.2716,2977465,0.0000,1.0000
2019-01-07,51.1200,51.9100,51.0400,51.4800,51.0731,3534185,0.0000,1.0000
2019-01-04,50.5900,51.5300,50.5900,51.3700,50.9640,4473129,0.0000,1.0000
2019-01-03,50.8700,51.6300,50.7900,50.8200,50.4184,3263960,0.0000,1.0000
