timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,188.3300,190.2500,187.5600,189.9200,189.9200,477384,0.0000,1.0000
2019-04-17,189.9100,190.6500,187.3900,188.1500,188.1500,806994,0.0000,1.0000
2019-04-16,188.5500,188.8200,187.4600,188.6200,188.6200,949306,0.0000,1.0000
2019-04-15,188.1200,188.6100,186.8800,187.8600,187.8600,827297,0.0000,1.0000
2019-04-12,186.8500,189.0200,186.8500,188.6400,188.6400,885071,0.0000,1.0000
2019-04-11,183.3800,186.1600,182.5100,185.8700,185.8700,783618,0.0000,1.0000
2019-04-10,180.4300,183.5700,180.4300,183.0500,183.0500,803320,0.0000,1.0000
2019-04-09,183.0600,183.0600,180.4700,180.9100,180.9100,911133,0.0000,1.0000
2019-04-08,182.2800,184.5800,181.1150,184.5600,184.5600,618282,0.0000,1.0000
2019-04-05,181.9300,183.6800,181.0000,183.4000,183.4000,970219,0.0000,1.0000
2019-04-04,179.5900,181.7400,179.0650,181.6700,181.6700,619086,0.0000,1.0000
2019-04-03,178.8000,180.7446,178.4300,179.4700,179.4700,1126357,0.0000,1.0000
2019-04-02,177.7500,178.2900,176.3700,177.5200,177.5200,678505,0.0000,1.0000
2019-04-01,173.7700,178.2400,173.7700,177.8700,177.8700,960612,0.0000,1.0000
2019-03-29,171.2400,172.3600,170.8600,171.6200,171.6200,799322,0.0000,1.0000
2019-03-28,167.3100,170.7550,167.3100,169.5600,169.5600,833319,0.0000,1.0000
2019-03-27,165.6300,167.1000,164.1900,166.6000,166.6000,997189,0.0000,1.0000
2019-03-26,165.1100,166.5300,164.4300,165.3700,165.3700,574752,0.0000,1.0000
2019-03-25,162.8800,165.0900,162.4700,163.7200,163.7200,731188,0.0000,1.0000
2019-03-22,168.5000,168.5000,162.3000,163.3900,163.3900,1268538,0.0000,1.0000
2019-03-21,167.9600,170.7800,167.7300,169.5100,169.5100,1193612,0.0000,1.0000
