timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,217.0200,218.4400,216.0000,217.4500,217.4500,866330,0.0000,1.0000
2019-04-17,217.9100,218.0800,215.7500,216.6900,216.6900,673149,0.0000,1.0000
2019-04-16,220.6400,221.2300,216.1900,217.4400,217.4400,685645,0.0000,1.0000
2019-04-15,222.0100,222.4800,219.3400,220.5500,220.5500,513591,0.0000,1.0000
2019-04-12,219.1100,221.7900,217.8700,221.7600,221.7600,553353,0.0000,1.0000
2019-04-11,219.5600,221.0600,218.6000,219.6400,219.6400,450681,0.0000,1.0000
2019-04-10,220.3800,220.3800,218.4700,219.5000,219.5000,563027,0.0000,1.0000
2019-04-09,220.0900,220.8050,219.0100,219.4000,219.4000,791214,0.0000,1.0000
2019-04-08,218.4200,218.4500,216.6550,218.0000,218.0000,604875,0.0000,1.0000
2019-04-05,217.5700,218.7300,217.2000,218.5700,218.5700,679142,0.0000,1.0000
2019-04-04,219.4900,219.4900,216.9500,217.7200,217.7200,734295,0.0000,1.0000
2019-04-03,219.2700,220.1400,216.9900,218.9100,218.9100,577224,0.0000,1.0000
2019-04-02,218.5500,219.6300,216.4874,219.4300,219.4300,695864,0.0000,1.0000
2019-04-01,217.3500,218.5400,216.1000,218.3100,218.3100,777919,0.0000,1.0000
2019-03-29,219.0200,219.4300,217.5300,217.7800,217.7800,1043651,0.0000,1.0000
2019-03-28,219.6600,220.3500,218.6500,219.0000,219.0000,959475,0.0000,1.0000
2019-03-27,220.1200,220.7700,217.7700,219.2000,219.2000,1262102,0.0000,1.0000
2019-03-26,221.0100,222.3750,219.6700,220.2200,220.2200,1109324,0.0000,1.0000
2019-03-25,222.6300,224.9500,222.1400,224.2400,224.2400,739777,0.0000,1.0000
2019-03-22,222.4400,226.0600,222.0150,222.1200,222.1200,1197644,0.0000,1.0000
2019-03-21,218.7800,222.1200,218.0600,222.0200,222.0200,783002,0.0000,1.0000
2019-03-20,217.8300,220.3000,216.5700,218.8500,218.8500,1213830,0.0000,1.0000
2019-03-19,215.5400,217.6100,215.2900,217.4800,217.4800,970875,0.0000,1.0000
2019-03-18,217.3200,218.3200,216.5500,217.7600,217.7600,833235,0.0000,1.0000
2019-03-15,218.6100,218.7100,215.9900,217.6200,217.6200,1677944,0.0000,1.0000
2019-03-14,219.7500,220.1350,218.2900,218.5700,218.5700,1518080,0.0000,1.0000
2019-03-13,218.7400,220.2600,217.9300,219.1400,219.1400,836113,0.0000,1.0000
2019-03-12,217.5200,218.7800,216.6300,218.2700,218.2700,1415919,2.0000,1.0000
2019-03-11,214.7300,218.8700,214.7300,218.8400,216.8530,956733,0.0000,1.0000
2019-03-08,214.5300,215.9895,212.9700,214.3200,212.3740,1057713,0.0000,1.0000
2019-03-07,213.8400,215.0700,213.4200,214.1700,212.2254,1025517,0.0000,1.0000
2019-03-06,213.4500,214.4480,212.3000,213.2100,211.2741,838447,0.0000,1.0000
2019-03-05,211.5800,213.9300,211.5800,213.1500,211.2146,594995,0.0000,1.0000
2019-03-04,212.5300,212.9000,209.4700,212.3500,210.4219,1048071,0.0000,1.0000
2019-03-01,211.0400,212.7500,209.2500,212.0000,210.0751,1001498,0.0000,1.0000
2019-02-28,209.5100,213.0500,208.6500,211.4900,209.5697,1813937,0.0000,1.0000
2019-02-27,203.2000,210.4500,202.6800,209.6100,207.7068,1908572,0.0000,1.0000
2019-02-26,201.9300,203.2100,200.7700,202.7000,200.8595,818758,0.0000,1.0000
2019-02-25,201.3600,202.0100,199.5875,201.4100,199.5812,945655,0.0000,1.0000
2019-02-22,200.8300,202.5300,199.8100,201.1400,199.3137,780210,0.0000,1.0000
2019-02-21,203.1000,203.5200,199.5300,200.4800,198.6597,1306305,0.0000,1.0000
2019-02-20,207.8100,207.8100,204.3100,205.6200,203.7530,898013,0.0000,1.0000
2019-02-19,208.0000,208.2200,206.9700,207.9100,206.0222,774608,0.0000,1.0000
2019-02-15,208.9800,209.0400,207.1800,207.7400,205.8538,641769,0.0000,1.0000
2019-02-14,208.3100,208.9200,206.7000,208.1500,206.2600,454857,0.0000,1.0000
2019-02-13,207.3000,208.5950,206.1950,207.9600,206.0718,608590,0.0000,1.0000
2019-02-12,210.2300,210.3200,207.3900,207.7400,205.8538,1013868,0.0000,1.0000
2019-02-11,210.0400,211.1400,209.4900,210.5100,208.5986,748496,0.0000,1.0000
2019-02-08,209.7300,212.5000,209.2500,210.5700,208.6581,1148265,0.0000,1.0000
2019-02-07,208.5400,209.9800,207.5241,209.8400,207.9347,1286319,0.0000,1.0000
2019-02-06,209.5100,209.5100,207.7500,208.5400,206.6465,868700,0.0000,1.0000
