timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,127.4000,128.3200,127.2800,127.4100,127.4100,2243084,0.0000,1.0000
2019-04-17,127.3600,128.1100,126.6800,127.2900,127.2900,1469465,0.0000,1.0000
2019-04-16,128.6700,129.2500,127.0400,127.2700,127.2700,2417099,0.0000,1.0000
2019-04-15,129.9600,130.0000,128.1700,128.5600,128.5600,1678094,0.0000,1.0000
2019-04-12,127.8600,129.9300,127.5900,129.8500,129.8500,1813524,0.0000,1.0000
2019-04-11,127.4200,128.2000,126.8100,128.1000,128.1000,1578140,0.0000,1.0000
2019-04-10,128.3400,128.9500,127.0400,127.4300,127.4300,1666580,0.0000,1.0000
2019-04-09,128.0500,128.0500,127.1700,127.8900,127.8900,1647484,0.0000,1.0000
2019-04-08,128.0200,128.2500,127.6600,127.7900,127.7900,1695003,0.0000,1.0000
2019-04-05,127.3300,128.2500,127.0400,128.2400,128.2400,1669395,0.0000,1.0000
2019-04-04,127.6000,127.6000,126.6100,127.0200,127.0200,1669342,0.0000,1.0000
2019-04-03,126.7800,127.7400,126.1450,127.2400,127.2400,1682469,0.0000,1.0000
2019-04-02,126.7100,127.2600,125.9100,127.2400,127.2400,2154399,0.0000,1.0000
2019-04-01,125.9700,126.7500,125.0200,126.6300,126.6300,1927505,0.0000,1.0000
2019-03-29,124.2900,126.1800,124.1000,125.8600,125.8600,2090595,0.0000,1.0000
2019-03-28,125.8900,125.9600,123.7900,124.4700,124.4700,1452250,0.0000,1.0000
2019-03-27,125.4300,125.6500,124.1100,125.4100,125.4100,2478974,0.0000,1.0000
2019-03-26,124.9700,125.9200,124.8350,125.4800,125.4800,1173469,0.0000,1.0000
2019-03-25,126.0500,126.0900,124.8700,125.0400,125.0400,1547017,0.0000,1.0000
2019-03-22,126.0000,126.8600,125.7300,126.0700,126.0700,1100129,0.0000,1.0000
2019-03-21,124.0700,125.9400,123.9200,125.8700,125.8700,1745943,0.9675,1.0000
2019-03-20,124.3300,125.5131,123.4900,125.0500,124.0961,1873581,0.0000,1.0000
2019-03-19,124.7300,125.0700,123.3600,123.9300,122.9847,1670897,0.0000,1.0000
2019-03-18,124.5500,124.9500,123.7600,124.6500,123.6992,1519599,0.0000,1.0000
2019-03-15,124.5350,125.4650,124.1500,124.6200,123.6694,2517978,0.0000,1.0000
2019-03-14,124.3400,125.0703,123.4900,124.4500,123.5007,1039019,0.0000,1.0000
2019-03-13,123.4500,124.8100,123.4500,124.3400,123.3916,1405223,0.0000,1.0000
2019-03-12,123.5000,124.4300,123.0800,124.0000,123.0541,1184021,0.0000,1.0000
2019-03-11,122.4300,123.3200,122.4300,123.1900,122.2503,1243288,0.0000,1.0000
2019-03-08,121.8700,122.3600,121.0000,122.3000,121.3671,1102998,0.0000,1.0000
2019-03-07,121.5000,122.5500,121.2100,121.7000,120.7717,1228635,0.0000,1.0000
2019-03-06,121.2300,121.7500,120.4000,120.9700,120.0473,891502,0.0000,1.0000
2019-03-05,121.3500,121.9900,120.8100,121.0800,120.1564,1154562,0.0000,1.0000
2019-03-04,121.9900,122.0000,120.0600,121.3300,120.4045,1158796,0.0000,1.0000
2019-03-01,120.3700,121.3700,119.9400,121.2600,120.3350,1471178,0.0000,1.0000
2019-02-28,120.2000,121.0500,119.2700,120.4400,119.5213,1726531,0.0000,1.0000
2019-02-27,118.9000,121.6100,117.9800,120.3300,119.4121,1965376,0.0000,1.0000
2019-02-26,119.3800,120.1800,117.7400,118.9000,117.9930,1859010,0.0000,1.0000
2019-02-25,118.6000,118.6000,117.2600,117.5900,116.6930,1639014,0.0000,1.0000
2019-02-22,118.0300,118.8400,117.6400,118.4800,117.5762,993410,0.0000,1.0000
2019-02-21,116.3900,117.8500,116.3600,117.6700,116.7724,1337196,0.0000,1.0000
