timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,106.6500,108.2900,105.9000,107.1200,107.1200,1127119,0.0000,1.0000
2019-04-17,107.5900,107.7500,105.6000,106.1800,106.1800,1280941,0.0000,1.0000
2019-04-16,106.1500,107.6800,106.0001,107.2300,107.2300,919617,0.0000,1.0000
2019-04-15,105.8600,106.1500,104.5600,105.8700,105.8700,1099995,0.0000,1.0000
2019-04-12,106.4900,107.1100,106.0600,106.1800,106.1800,1160180,0.0000,1.0000
2019-04-11,106.4600,106.4600,105.0800,106.0400,106.0400,1195880,0.0000,1.0000
2019-04-10,105.7800,106.4700,105.0700,105.8800,105.8800,1301582,0.0000,1.0000
2019-04-09,106.2200,106.2400,105.1400,105.7200,105.7200,1068830,0.0000,1.0000
2019-04-08,107.2600,107.6600,106.3900,106.6200,106.6200,2038615,0.0000,1.0000
2019-04-05,107.9900,108.3200,107.0400,107.5000,107.5000,1988951,0.0000,1.0000
2019-04-04,107.4500,107.5762,106.6400,107.3000,107.3000,1985027,0.0000,1.0000
2019-04-03,106.9000,107.5000,106.0300,106.9000,106.9000,2189917,0.0000,1.0000
2019-04-02,106.3600,106.7500,105.7000,106.2100,106.2100,2364068,0.0000,1.0000
2019-04-01,106.0000,106.1050,105.0800,105.8100,105.8100,1682811,0.0000,1.0000
2019-03-29,105.1100,105.9000,104.3100,105.5500,105.5500,2855595,0.0000,1.0000
2019-03-28,105.2400,106.3700,103.4701,104.7900,104.7900,2230525,0.0000,1.0000
2019-03-27,103.1000,105.0650,103.1000,104.4200,104.4200,1787680,0.0000,1.0000
2019-03-26,103.4900,104.1800,102.1300,103.1300,103.1300,1578461,0.0000,1.0000
2019-03-25,103.2100,103.7800,102.0900,102.8000,102.8000,2352022,0.0000,1.0000
2019-03-22,97.8400,104.2000,97.3000,103.2100,103.2100,6379844,0.0000,1.0000
2019-03-21,96.4900,100.7900,96.4900,100.0600,100.0600,2793125,0.0000,1.0000
2019-03-20,96.4500,97.8300,95.4801,97.0700,97.0700,1736714,0.0000,1.0000
2019-03-19,97.3500,98.2900,96.6500,97.0200,97.0200,1368464,0.5500,1.0000
2019-03-18,96.6700,97.4600,96.3000,97.3500,96.8012,1554836,0.0000,1.0000
2019-03-15,95.8700,97.1800,95.6300,96.5600,96.0157,1671387,0.0000,1.0000
2019-03-14,96.7400,96.8600,94.8800,95.4700,94.9318,1075313,0.0000,1.0000
2019-03-13,96.4900,97.4300,95.5200,96.5500,96.0057,1495811,0.0000,1.0000
2019-03-12,96.1600,96.8600,95.4200,95.8700,95.3296,1223496,0.0000,1.0000
2019-03-11,94.4200,96.4600,94.3300,96.2800,95.7373,956471,0.0000,1.0000
2019-03-08,93.5100,94.4100,92.7000,94.3300,93.7983,910989,0.0000,1.0000
2019-03-07,94.6100,95.1700,94.0500,94.4900,93.9574,1014523,0.0000,1.0000
2019-03-06,95.0900,95.4000,94.2700,94.7900,94.2557,858632,0.0000,1.0000
2019-03-05,94.8400,95.7700,94.4700,94.8700,94.3352,925383,0.0000,1.0000
2019-03-04,96.0800,96.2900,93.8000,94.6000,94.0667,1149551,0.0000,1.0000
2019-03-01,95.9200,97.2300,94.8900,95.9300,95.3892,1444994,0.0000,1.0000
2019-02-28,95.3600,95.5200,93.9150,95.0400,94.5043,2456537,0.0000,1.0000
2019-02-27,94.6400,96.0300,94.5600,95.7800,95.2401,2238189,0.0000,1.0000
2019-02-26,94.1000,95.0500,93.7050,94.8900,94.3551,1788897,0.0000,1.0000
2019-02-25,93.2700,94.7800,93.2700,94.0100,93.4801,2922849,0.0000,1.0000
2019-02-22,92.0100,92.7900,91.5300,92.7000,92.1775,1047423,0.0000,1.0000
2019-02-21,91.4600,92.5400,91.0800,91.4900,90.9743,1197843,0.0000,1.0000
2019-02-20,90.4600,92.0300,90.4600,91.6200,91.1035,1877515,0.0000,1.0000
2019-02-19,90.4900,90.7200,89.3901,90.3800,89.8705,1095555,0.0000,1.0000
2019-02-15,90.9600,91.1000,89.9700,90.8300,90.3180,1648042,0.0000,1.0000
2019-02-14,90.2700,90.7400,88.8600,90.3300,89.8208,1444823,0.0000,1.0000
2019-02-13,90.2000,91.1000,89.9500,90.9300,90.4174,1057322,0.0000,1.0000
2019-02-12,88.7700,90.2900,88.6250,89.7300,89.2242,949346,0.0000,1.0000
2019-02-11,88.0800,88.2950,87.0500,87.8500,87.3548,1074604,0.0000,1.0000
2019-02-08,87.8700,88.5700,87.6800,88.0800,87.5835,1137389,0.0000,1.0000
2019-02-07,89.2400,89.8900,87.8500,88.5700,88.0707,878257,0.0000,1.0000
2019-02-06,89.5200,90.0300,89.0300,89.6600,89.1546,925639,0.0000,1.0000
2019-02-05,88.7800,90.3500,88.3800,89.6300,89.1248,1487478,0.0000,1.0000
2019-02-04,88.1700,88.5200,86.0300,88.3800,87.8818,1378329,0.0000,1.0000
2019-02-01,88.9500,89.2500,87.6400,88.2000,87.7028,1282777,0.0000,1.0000
2019-01-31,88.4800,88.8600,87.3150,88.7300,88.2298,1516996,0.0000,1.0000
2019-01-30,87.8600,88.6100,86.6800,87.9800,87.4841,1447525,0.0000,1.0000
2019-01-29,87.8400,87.9000,85.6000,87.6000,87.1062,1754242,0.0000,1.0000
2019-01-28,88.2600,88.4500,87.4600,88.1900,87.6929,1220619,0.0000,1.0000
