timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,55.0500,55.4800,54.9400,55.1200,55.1200,3577233,0.0000,1.0000
2019-04-17,54.8700,55.2433,54.7400,55.0600,55.0600,4945317,0.0000,1.0000
2019-04-16,54.4400,54.7900,54.3400,54.4900,54.4900,3639973,0.0000,1.0000
2019-04-15,54.0200,54.4100,53.9950,54.2400,54.2400,4026873,0.0000,1.0000
2019-04-12,53.9000,54.4600,53.9000,53.9700,53.9700,5209401,0.0000,1.0000
2019-04-11,54.4400,54.4400,53.7950,53.8900,53.8900,5013749,0.0000,1.0000
2019-04-10,53.9800,54.5500,53.8550,54.4400,54.4400,4676841,0.0000,1.0000
2019-04-09,54.0600,54.4059,53.7400,53.8200,53.8200,4155307,0.0000,1.0000
2019-04-08,54.0800,54.6000,54.0200,54.3300,54.3300,4571956,0.0000,1.0000
2019-04-05,54.2700,54.8050,54.0200,54.1100,54.1100,6679793,0.0000,1.0000
2019-04-04,53.1700,54.2600,53.0900,54.2500,54.2500,5155914,0.0000,1.0000
2019-04-03,53.4600,53.5900,53.0300,53.1700,53.1700,4359405,0.0000,1.0000
2019-04-02,53.2100,53.4350,52.9100,53.0800,53.0800,3930976,0.0000,1.0000
2019-04-01,53.5600,53.5600,52.9900,53.2100,53.2100,4849719,0.0000,1.0000
2019-03-29,53.1700,53.2900,52.9000,53.2100,53.2100,5887832,0.0000,1.0000
2019-03-28,53.3300,53.5100,52.9499,53.0600,53.0600,4448100,0.0000,1.0000
2019-03-27,52.8500,53.3100,52.6100,53.0600,53.0600,4804803,0.0000,1.0000
2019-03-26,53.0300,53.2800,52.6000,52.8400,52.8400,4507206,0.0000,1.0000
2019-03-25,52.2700,53.2450,52.1740,52.7900,52.7900,7067760,0.0000,1.0000
2019-03-22,52.3800,52.7300,52.0450,52.3400,52.3400,5132721,0.0000,1.0000
2019-03-21,52.3500,52.7450,52.3100,52.4900,52.4900,4127002,0.0000,1.0000
2019-03-20,52.1600,52.6400,51.8600,52.5400,52.5400,6271332,0.0000,1.0000
2019-03-19,52.4000,52.6400,51.9300,52.2200,52.2200,6264305,0.0000,1.0000
2019-03-18,51.7600,52.4600,51.6500,52.3500,52.3500,6956352,0.0000,1.0000
2019-03-15,52.1300,52.2900,51.5800,51.7700,51.7700,8431159,0.0000,1.0000
2019-03-14,52.3000,52.3500,51.8300,52.1000,52.1000,5546506,0.0000,1.0000
2019-03-13,52.1600,52.7300,51.9400,52.4800,52.4800,6512241,0.0000,1.0000
2019-03-12,51.8800,52.0400,51.4750,51.9400,51.9400,5653717,0.0000,1.0000
2019-03-11,50.8100,51.8700,50.7800,51.7000,51.7000,5823112,0.0000,1.0000
