timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,55.2200,55.3800,54.5800,54.6300,54.6300,7991280,0.0000,1.0000
2019-04-17,55.0000,55.2500,54.0800,55.1400,55.1400,10103126,0.0000,1.0000
2019-04-16,54.5700,54.9600,53.9656,54.8400,54.8400,7912125,0.0000,1.0000
2019-04-15,53.5700,54.4600,53.5700,54.2400,54.2400,5963520,0.0000,1.0000
2019-04-12,53.7800,54.0000,53.4000,53.4500,53.4500,7298779,0.0000,1.0000
2019-04-11,54.5900,54.8000,53.3200,53.4400,53.4400,8194351,0.0000,1.0000
2019-04-10,54.5100,54.7298,54.3600,54.5100,54.5100,5483516,0.0000,1.0000
2019-04-09,54.7800,55.0300,54.3600,54.5000,54.5000,8987701,0.0000,1.0000
2019-04-08,54.7200,55.4000,54.5000,55.0600,55.0600,7120975,0.0000,1.0000
2019-04-05,54.3600,55.2200,54.2975,54.6900,54.6900,10509479,0.0000,1.0000
2019-04-04,54.8100,55.0000,53.8500,54.1500,54.1500,14150542,0.0000,1.0000
2019-04-03,55.5400,55.7000,54.4800,54.8400,54.8400,17901916,0.0000,1.0000
2019-04-02,55.8400,56.4400,55.0000,55.3600,55.3600,36877784,0.0000,1.0000
2019-04-01,63.5500,64.1050,63.1400,63.4900,63.4900,6328561,0.0000,1.0000
2019-03-29,62.7500,63.7550,62.6400,63.2700,63.2700,4993295,0.0000,1.0000
2019-03-28,62.3400,63.4500,62.2900,62.5100,62.5100,5768320,0.0000,1.0000
2019-03-27,61.7000,62.3100,61.1400,62.2300,62.2300,5180928,0.0000,1.0000
2019-03-26,61.8600,62.7700,61.6200,61.9200,61.9200,5582592,0.0000,1.0000
2019-03-25,62.3300,62.4000,61.3500,61.6900,61.6900,4567241,0.0000,1.0000
2019-03-22,63.6300,63.9400,62.3850,62.4100,62.4100,4855388,0.0000,1.0000
2019-03-21,62.7000,63.8100,62.4400,63.6000,63.6000,3795214,0.0000,1.0000
2019-03-20,63.6300,63.7900,62.5200,62.7900,62.7900,5171965,0.0000,1.0000
2019-03-19,63.4500,64.1800,63.2900,63.7700,63.7700,5880901,0.0000,1.0000
2019-03-18,62.7100,63.0900,62.3135,63.0800,63.0800,5296760,0.0000,1.0000
2019-03-15,61.9600,62.6900,61.7100,62.6300,62.6300,9773491,0.0000,1.0000
2019-03-14,62.0300,62.3700,61.4700,61.8200,61.8200,5792349,0.0000,1.0000
2019-03-13,61.4000,61.9700,61.0200,61.9000,61.9000,5720008,0.0000,1.0000
2019-03-12,60.9700,61.2300,60.6750,61.0000,61.0000,5638423,0.0000,1.0000
2019-03-11,60.1900,61.0901,59.8400,60.6800,60.6800,5638000,0.0000,1.0000
2019-03-08,59.8700,60.8200,59.3300,59.9000,59.9000,9909549,0.0000,1.0000
2019-03-07,60.9700,61.1600,59.5700,59.7900,59.7900,9695792,0.0000,1.0000
2019-03-06,63.5200,63.7500,60.8900,61.1000,61.1000,15392508,0.0000,1.0000
2019-03-05,64.8600,65.0500,62.9700,63.4000,63.4000,11956148,0.0000,1.0000
2019-03-04,66.9600,67.0000,64.2900,64.7400,64.7400,10870908,0.0000,1.0000
2019-03-01,70.8500,71.1800,66.0750,66.6100,66.6100,10299296,0.0000,1.0000
2019-02-28,71.4100,71.8800,70.9650,71.1900,71.1900,7774999,0.0000,1.0000
2019-02-27,71.0900,71.5900,70.8900,71.3700,71.3700,3959924,0.0000,1.0000
2019-02-26,71.5100,71.7200,70.8800,71.4800,71.4800,3498712,0.0000,1.0000
2019-02-25,70.9300,71.6600,70.7400,71.3100,71.3100,4308174,0.0000,1.0000
2019-02-22,70.4300,70.6000,69.8200,70.4300,70.4300,4928907,0.0000,1.0000
2019-02-21,71.6200,71.7000,70.2600,70.4700,70.4700,4482189,0.0000,1.0000
2019-02-20,72.9800,73.2600,71.5400,71.8000,71.8000,7882414,0.0000,1.0000
2019-02-19,73.4900,74.9450,73.4000,74.4300,74.4300,6374589,0.0000,1.0000
2019-02-15,72.9100,73.8300,72.6600,73.4300,73.4300,4670444,0.0000,1.0000
2019-02-14,71.6800,72.4500,71.2900,72.1100,72.1100,3855079,0.4400,1.0000
2019-02-13,71.8500,72.7100,71.7500,72.4300,71.9907,3856855,0.0000,1.0000
2019-02-12,71.1600,71.9800,70.7000,71.5600,71.1260,3980398,0.0000,1.0000
2019-02-11,70.2500,70.5400,70.0300,70.4700,70.0426,3482350,0.0000,1.0000
2019-02-08,70.8000,70.9000,69.5301,70.1200,69.6947,4139420,0.0000,1.0000
2019-02-07,71.1500,71.3700,70.3800,71.2000,70.7682,4631206,0.0000,1.0000
2019-02-06,71.0000,71.7070,70.8800,71.4700,71.0365,4336554,0.0000,1.0000
2019-02-05,71.3800,71.7300,70.8350,71.3100,70.8775,7128649,0.0000,1.0000
2019-02-04,71.8300,71.8800,70.9000,71.4600,71.0266,5444342,0.0000,1.0000
2019-02-01,72.3800,72.5500,71.5250,71.8800,71.4441,4642537,0.0000,1.0000
2019-01-31,71.5000,72.5900,71.5000,72.2600,71.8218,8390779,0.0000,1.0000
2019-01-30,71.4100,72.0300,71.1800,71.6100,71.1757,4122089,0.0000,1.0000
2019-01-29,71.5500,71.8000,70.8801,71.5000,71.0664,3367103,0.0000,1.0000
2019-01-28,71.3700,71.6700,70.4700,71.5800,71.1459,4088558,0.0000,1.0000
2019-01-25,71.9100,72.4198,71.5800,71.8900,71.4540,5221801,0.0000,1.0000
2019-01-24,71.7300,71.8000,70.8600,71.3200,70.8875,4152741,0.0000,1.0000
2019-01-23,72.1000,72.4000,71.0100,71.7100,71.2751,4187719,0.0000,1.0000
2019-01-22,72.1200,72.3200,71.1000,71.5900,71.1558,5578261,0.0000,1.0000
2019-01-18,72.4200,72.8800,71.9600,72.4300,71.9907,5539866,0.0000,1.0000
2019-01-17,71.3400,72.2700,71.2900,71.9900,71.5534,3625470,0.0000,1.0000
2019-01-16,72.0100,72.5859,71.8400,72.0000,71.5633,3785442,0.0000,1.0000
2019-01-15,70.9700,71.9800,70.8000,71.7900,71.3546,4259874,0.0000,1.0000
2019-01-14,71.4000,71.5000,70.3500,70.6500,70.2215,5997658,0.0000,1.0000
2019-01-11,72.6000,72.6200,71.1300,71.7100,71.2751,5684660,0.0000,1.0000
2019-01-10,72.0300,72.7500,71.2500,72.4800,72.0404,5130543,0.0000,1.0000
2019-01-09,71.8200,72.6500,71.5300,72.2300,71.7919,6317999,0.0000,1.0000
2019-01-08,70.5200,71.6700,70.1400,71.3700,70.9372,6548096,0.0000,1.0000
