timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-04-18,103.1100,103.8000,102.8900,103.1800,103.1800,3727937,0.0000,1.0000
2019-04-17,103.0000,103.4000,102.4064,103.1600,103.1600,3729215,0.0000,1.0000
2019-04-16,102.8900,103.3900,102.5400,102.9300,102.9300,4828391,0.0000,1.0000
2019-04-15,101.3000,102.9100,101.2600,102.4300,102.4300,5112159,0.0000,1.0000
2019-04-12,101.0000,102.0200,101.0000,101.5600,101.5600,5162002,0.0000,1.0000
2019-04-11,99.7000,100.8300,99.4700,100.8000,100.8000,5606861,0.0000,1.0000
2019-04-10,98.5100,99.7200,98.5000,99.6000,99.6000,4091128,0.0000,1.0000
2019-04-09,98.8000,99.2300,98.1500,98.6900,98.6900,4367535,0.0000,1.0000
2019-04-08,98.4500,99.2500,98.2600,99.2300,99.2300,5422422,0.0000,1.0000
2019-04-05,98.2500,99.2000,98.1600,98.8300,98.8300,4656424,0.0000,1.0000
2019-04-04,97.2500,98.2800,97.2400,98.1100,98.1100,4026268,0.0000,1.0000
2019-04-03,97.1200,97.4000,96.7900,97.1900,97.1900,5687476,0.0000,1.0000
2019-04-02,97.7600,98.3100,96.9000,96.9400,96.9400,6274042,0.0000,1.0000
2019-04-01,97.9700,98.3600,97.5600,97.8200,97.8200,8505756,0.0000,1.0000
2019-03-29,97.5900,97.6700,97.0400,97.5300,97.5300,7439899,0.0000,1.0000
2019-03-28,97.5900,97.8700,96.5300,97.1300,97.1300,8054324,0.0000,1.0000
2019-03-27,98.1400,98.8600,96.9600,97.2100,97.2100,8471172,0.0000,1.0000
2019-03-26,98.3600,98.8500,98.0300,98.3200,98.3200,4946289,0.0000,1.0000
2019-03-25,97.8000,98.6200,97.6300,98.1700,98.1700,5407425,0.0000,1.0000
2019-03-22,98.5800,99.5300,97.9400,98.2800,98.2800,6708131,0.0000,1.0000
2019-03-21,98.2500,99.1300,98.1000,99.0600,99.0600,6550976,0.0000,1.0000
2019-03-20,99.2000,99.5500,98.5400,98.6400,98.6400,6323122,0.0000,1.0000
2019-03-19,99.9900,100.4900,99.5700,99.8500,99.8500,5414427,0.0000,1.0000
2019-03-18,98.3000,99.7700,98.2600,99.6600,99.6600,5770121,0.0000,1.0000
2019-03-15,98.2800,98.5103,97.6000,98.4200,98.4200,14600045,0.0000,1.0000
2019-03-14,98.4100,98.4300,97.5900,98.2200,98.2200,4926120,0.5300,1.0000
2019-03-13,98.7000,99.3500,98.3900,99.0300,98.4985,5482267,0.0000,1.0000
2019-03-12,98.5300,98.7400,98.0500,98.3700,97.8420,5070769,0.0000,1.0000
2019-03-11,98.0400,98.5800,97.8200,98.4800,97.9514,5345255,0.0000,1.0000
2019-03-08,97.5500,98.4200,97.0000,97.5900,97.0662,5659344,0.0000,1.0000
2019-03-07,97.7100,98.2000,97.2350,97.4500,96.9270,6126558,0.0000,1.0000
2019-03-06,98.2700,99.0000,97.8600,98.2600,97.7326,4696686,0.0000,1.0000
2019-03-05,98.1300,99.1900,98.0908,98.3400,97.8122,6119520,0.0000,1.0000
2019-03-04,98.1200,98.5900,97.3700,97.8500,97.3248,7683837,0.0000,1.0000
2019-03-01,99.4700,99.5600,97.1200,97.9300,97.4044,10352471,0.0000,1.0000
2019-02-28,98.1100,99.4700,97.7700,98.9900,98.4587,11375927,0.0000,1.0000
2019-02-27,98.1200,98.3900,97.5900,98.1100,97.5834,7902307,0.0000,1.0000
2019-02-26,99.0200,99.0600,97.8700,98.6900,98.1603,8488088,0.0000,1.0000
2019-02-25,100.1200,100.1300,99.0500,99.1200,98.5880,9234970,0.0000,1.0000
2019-02-22,99.8200,100.1600,99.1400,99.5500,99.0157,8086946,0.0000,1.0000
2019-02-21,99.6600,99.9210,98.9100,99.3900,98.8566,6413163,0.0000,1.0000
2019-02-20,101.8100,102.3399,98.6500,99.8800,99.3439,17631790,0.0000,1.0000
2019-02-19,102.3800,104.1800,102.0700,102.2000,101.6515,20697252,0.0000,1.0000
2019-02-15,98.9800,100.0000,98.8550,99.9900,99.4533,9480983,0.0000,1.0000
2019-02-14,97.6800,99.2000,97.0200,98.5200,97.9912,7200761,0.0000,1.0000
2019-02-13,97.3000,98.0000,97.0900,97.9400,97.4143,5458532,0.0000,1.0000
2019-02-12,96.8200,97.1700,96.5000,96.9700,96.4496,5881252,0.0000,1.0000
2019-02-11,95.6500,96.3500,95.6400,96.2000,95.6837,5542761,0.0000,1.0000
2019-02-08,96.3400,96.6900,95.1400,95.5800,95.0670,6169180,0.0000,1.0000
2019-02-07,95.1100,96.8200,95.0000,96.7300,96.2108,7010368,0.0000,1.0000
2019-02-06,95.4300,96.0100,95.2200,95.6400,95.1267,4264855,0.0000,1.0000
2019-02-05,95.2500,95.9400,95.0200,95.6000,95.0869,6099857,0.0000,1.0000
2019-02-04,93.8600,94.7700,93.3500,94.7700,94.2614,7268629,0.0000,1.0000
2019-02-01,95.9200,96.0000,93.1100,93.8600,93.3562,12591922,0.0000,1.0000
2019-01-31,94.6300,96.8700,94.6300,95.8300,95.3157,14722988,0.0000,1.0000
2019-01-30,96.6800,96.8000,94.2600,94.8000,94.2912,11849337,0.0000,1.0000
2019-01-29,96.7700,97.1585,96.5100,96.7100,96.1909,5253370,0.0000,1.0000
2019-01-28,96.5300,97.0700,96.0800,97.0600,96.5391,5875781,0.0000,1.0000
2019-01-25,98.7500,98.9100,96.7500,96.9400,96.4197,7222089,0.0000,1.0000
2019-01-24,98.2000,98.4600,96.4300,98.3600,97.8321,7609746,0.0000,1.0000
2019-01-23,98.8700,99.3500,97.5300,98.7100,98.1802,8345750,0.0000,1.0000
2019-01-22,97.1500,98.4300,96.7800,97.4900,96.9668,8063202,0.0000,1.0000
2019-01-18,96.9500,98.1990,96.8500,97.7300,97.2055,6120643,0.0000,1.0000
2019-01-17,96.3200,97.2100,96.1600,96.7400,96.2208,5614489,0.0000,1.0000
2019-01-16,95.9300,96.8600,95.8250,96.3500,95.8329,5409950,0.0000,1.0000
2019-01-15,95.4700,96.6000,95.3800,96.2500,95.7334,7058230,0.0000,1.0000
2019-01-14,94.4800,95.4500,94.2800,94.9500,94.4404,7085094,0.0000,1.0000
2019-01-11,94.9900,95.2900,94.5500,94.8400,94.3310,5394592,0.0000,1.0000
2019-01-10,93.8800,94.9800,93.1201,94.9600,94.4503,9396271,0.0000,1.0000
